# Configuration:
#   Braille Code: nemeth
#   Generate Braille: True
#   Model: gemini-2.5-pro
#   API Key: GEMINI_API_KEY
#   Batch Size: 20
#   Number of Examples: 0
#   Example Braille File: RustTestData/Nemeth.brls
#   Example MathML File: RustTestData/Nemeth.mmls
#   Input Braille Dir: test_data/Nemeth
#   Input MathML Dir: test_data/MathML
#
# 200 items. Usage info: prompt=20918, candidates=7493, total=133980, time=43037ms, TPS=5743.627385559856.2f
#
# Match | Test Input | Expected | Computed
✗ | <math><mrow><mi>f</mi><mo>−</mo><mi>g</mi></mrow></math> | ⠋⠤⠛ | ⠰⠋⠤⠛
✗ | <math><mrow><mi>f</mi><mo>⋅</mo><mi>g</mi></mrow></math> | ⠋⠡⠛ | ⠰⠋⠡⠛
✗ | <math><mfrac><mi>f</mi><mi>g</mi></mfrac></math> | ⠹⠋⠌⠛⠼ | ⠹⠰⠋⠌⠛⠾
✗ | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>≠</mo><mn>0</mn><mtext>.</mtext></mrow></math> | ⠛⠷⠭⠾⠀⠌⠨⠅⠀⠼⠴⠸⠲ | ⠰⠛⠷⠭⠾ ⠌⠨⠅ ⠼⠴⠲
✗ | <math><mrow><mo stretchy="false">(</mo><mn>3</mn><mo>,</mo><mo>−</mo><mn>0.5</mn><mo stretchy="false">)</mo></mrow></math> | ⠷⠒⠠⠀⠤⠴⠨⠢⠾ | ⠷⠼⠒⠠ ⠤⠼⠴⠨⠢⠾
✗ | <math><mrow><mo stretchy="false">(</mo><mo>−</mo><mn>1</mn><mo>,</mo><mn>3</mn><mo stretchy="false">)</mo></mrow></math> | ⠷⠤⠂⠠⠀⠒⠾ | ⠷⠤⠼⠂⠠ ⠼⠒⠾
✗ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>+</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mn>0</mn><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | ⠷⠋⠬⠛⠾⠷⠴⠾⠸⠲ | ⠷⠋⠬⠛⠾⠷⠼⠴⠾⠲
✗ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>⋅</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mo>−</mo><mn>1</mn><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | ⠷⠋⠡⠛⠾⠷⠤⠂⠾⠸⠲ | ⠷⠋⠡⠛⠾⠷⠤⠼⠂⠾⠲
✗ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>⋅</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>0</mn><mtext>?</mtext></mrow></math> | ⠷⠋⠡⠛⠾⠷⠭⠾⠀⠨⠅⠀⠼⠴⠀⠿ | ⠷⠋⠡⠛⠾⠷⠭⠾ ⠨⠅ ⠼⠴⠸⠦
✓ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></math> | ⠠⠏⠷⠞⠾ | ⠠⠏⠷⠞⠾
✗ | <math><mrow><mi>A</mi><msub><mi>V</mi><mrow data-mjx-texclass="ORD"><mo stretchy="false">[</mo><mn>5</mn><mo>,</mo><mn>11</mn><mo stretchy="false">]</mo></mrow></msub><mtext>,</mtext></mrow></math> | ⠠⠁⠠⠧⠰⠈⠷⠢⠪⠂⠂⠈⠾⠠ | ⠠⠁⠠⠧⠨⠈⠷⠢⠂⠂⠂⠈⠾⠠
✗ | <math><mrow><mn>11</mn><mtext>.</mtext></mrow></math> | ⠼⠂⠂⠸⠲ | ⠼⠂⠂⠲
✓ | <math><mrow><mi>t</mi><mtext>,</mtext></mrow></math> | ⠰⠞⠠ | ⠰⠞⠠
✓ | <math><mrow><mi>S</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></math> | ⠠⠎⠷⠞⠾ | ⠠⠎⠷⠞⠾
✓ | <math><mrow><mi>V</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mtext>,</mtext></mrow></math> | ⠠⠧⠷⠞⠾⠠ | ⠠⠧⠷⠞⠾⠠
✗ | <math><mrow><mi>V</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>N</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>⋅</mo><mi>S</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | ⠠⠧⠷⠞⠾⠀⠨⠅⠀⠠⠝⠷⠞⠾⠡⠠⠎⠷⠞⠾⠸⠲ | ⠠⠧⠷⠞⠾⠀⠨⠅⠀⠠⠝⠷⠞⠾⠡⠠⠎⠷⠞⠾⠲
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>v</mi><mo stretchy="false">)</mo></mrow></math> | ⠋⠷⠧⠾ | ⠰⠋⠷⠧⠾
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mn>60</mn><mo stretchy="false">)</mo><mo>=</mo><mn>0.04</mn></mrow></math> | ⠋⠷⠖⠴⠾⠀⠨⠅⠀⠼⠴⠨⠴⠲ | ⠰⠋⠷⠖⠴⠾⠀⠨⠅⠀⠼⠴⠲⠴⠲
✗ | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mn>60</mn><mo stretchy="false">)</mo><mtext>?</mtext></mrow></math> | ⠛⠷⠖⠴⠾⠀⠿ | ⠰⠛⠷⠖⠴⠾⠸⠦
✗ | <math><mrow><mi>h</mi><mo stretchy="false">(</mo><mi>v</mi><mo stretchy="false">)</mo><mo>=</mo><mi>v</mi><mo>⋅</mo><mi>f</mi><mo stretchy="false">(</mo><mi>v</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | ⠓⠷⠧⠾⠀⠨⠅⠀⠧⠡⠋⠷⠧⠾⠸⠲ | ⠰⠓⠷⠧⠾⠀⠨⠅⠀⠰⠧⠡⠋⠷⠧⠾⠲
✗ | <math><mrow><mi>h</mi><mtext>?</mtext></mrow></math> | ⠰⠓⠀⠿ | ⠰⠓⠸⠦
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mn>60</mn><mo stretchy="false">)</mo><mtext>,</mtext></mrow></math> | ⠋⠷⠖⠴⠾⠠ | ⠰⠋⠷⠖⠴⠾⠠
✗ | <math><mrow><mi>h</mi><mo stretchy="false">(</mo><mn>60</mn><mo stretchy="false">)</mo></mrow></math> | ⠓⠷⠖⠴⠾ | ⠰⠓⠷⠖⠴⠾
✗ | <math><mrow><mo stretchy="false">[</mo><mn>60</mn><mo>,</mo><mn>70</mn><mo stretchy="false">]</mo><mtext>.</mtext></mrow></math> | ⠈⠷⠖⠴⠠⠀⠶⠴⠈⠾⠸⠲ | ⠈⠷⠼⠖⠴⠂⠶⠴⠈⠾⠲
✗ | <math><mrow><mi>A</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mo stretchy="false">|</mo><mi>x</mi><mo stretchy="false">|</mo><mtext>.</mtext></mrow></math> | ⠠⠁⠷⠭⠾⠀⠨⠅⠀⠳⠭⠳⠸⠲ | ⠠⠁⠷⠭⠾⠀⠨⠅⠀⠳⠭⠳⠲
✗ | <math><mrow><mo stretchy="false">|</mo><mi>x</mi><mo stretchy="false">|</mo><mo>=</mo><mi>x</mi><mtext>,</mtext></mrow></math> | ⠳⠭⠳⠀⠨⠅⠀⠭⠠ | ⠳⠭⠳⠀⠨⠅⠀⠰⠭⠠
✗ | <math><mrow><mo stretchy="false">|</mo><mi>x</mi><mo stretchy="false">|</mo><mo>=</mo><mo>−</mo><mi>x</mi><mtext>.</mtext></mrow></math> | ⠳⠭⠳⠀⠨⠅⠀⠤⠭⠸⠲ | ⠳⠭⠳⠀⠨⠅⠀⠤⠭⠲
✗ | <math><mrow><mi>A</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">{</mo><mtable columnalign="left left" columnspacing="1em" rowspacing=".2em"><mtr><mtd><mrow><mo>−</mo><mi>x</mi><mo>,</mo></mrow></mtd><mtd><mrow><mi>x</mi><mo>&lt;</mo><mn>0</mn></mrow></mtd></mtr><mtr><mtd><mrow><mi>x</mi><mo>,</mo></mrow></mtd><mtd><mrow><mi>x</mi><mo>≥</mo><mn>0</mn></mrow></mtd></mtr></mtable><mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true">&lt;mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true"/&gt;</mo></mrow></mrow></math> | ⠠⠁⠷⠭⠾⠀⠨⠅⠀⠨⠷⠤⠭⠠⠀⠭⠀⠐⠅⠀⠼⠴⠀⣍⠭⠠⠀⠭⠀⠨⠂⠱⠀⠼⠴⠀⠐⠅⠍⠕⠀⠙⠁⠞⠁⠤⠍⠚⠭⠤⠞⠑⠭⠉⠇⠁⠎⠎⠨⠅⠄⠄⠠⠉⠠⠇⠠⠕⠠⠎⠠⠑⠄⠄⠀⠋⠑⠝⠉⠑⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠀⠎⠞⠗⠑⠞⠉⠓⠽⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠀⠎⠽⠍⠍⠑⠞⠗⠊⠉⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠸⠌⠨⠂ | ⠠⠁⠷⠭⠾⠀⠨⠅⠀⠨⠷⠤⠭⠠⠀⠰⠭⠀⠐⠅⠀⠼⠴⠸⠂⠀⠰⠭⠠⠀⠰⠭⠀⠨⠂⠱⠀⠼⠴
✗ | <math><mrow><mi>y</mi><mo>=</mo><mo>−</mo><mi>x</mi></mrow></math> | ⠽⠀⠨⠅⠀⠤⠭ | ⠰⠽⠀⠨⠅⠀⠤⠭
✗ | <math><mrow><mi>p</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">{</mo><mtable columnalign="left left" columnspacing="1em" rowspacing=".2em"><mtr><mtd><mrow><mo>−</mo><mo stretchy="false">(</mo><mi>x</mi><mo>+</mo><mn>2</mn><msup><mo stretchy="false">)</mo><mn>2</mn></msup><mo>+</mo><mn>2</mn><mo>,</mo></mrow></mtd><mtd><mrow><mi>x</mi><mo>&lt;</mo><mn>0</mn></mrow></mtd></mtr><mtr><mtd><mrow><mfrac><mn>1</mn><mn>2</mn></mfrac><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mn>2</mn><msup><mo stretchy="false">)</mo><mn>2</mn></msup><mo>+</mo><mn>1</mn><mo>,</mo></mrow></mtd><mtd><mrow><mi>x</mi><mo>≥</mo><mn>0</mn></mrow></mtd></mtr></mtable><mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true">&lt;mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true"/&gt;</mo></mrow></mrow></math> | ⠏⠷⠭⠾⠀⠨⠅⠀⠨⠷⠤⠷⠭⠬⠆⠾⠘⠆⠐⠬⠆⠠⠀⠭⠀⠐⠅⠀⠼⠴⠀⣍⠹⠂⠌⠆⠼⠷⠭⠤⠆⠾⠘⠆⠐⠬⠂⠠⠀⠭⠀⠨⠂⠱⠀⠼⠴⠀⠐⠅⠍⠕⠀⠙⠁⠞⠁⠤⠍⠚⠭⠤⠞⠑⠭⠉⠇⠁⠎⠎⠨⠅⠄⠄⠠⠉⠠⠇⠠⠕⠠⠎⠠⠑⠄⠄⠀⠋⠑⠝⠉⠑⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠀⠎⠞⠗⠑⠞⠉⠓⠽⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠀⠎⠽⠍⠍⠑⠞⠗⠊⠉⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠸⠌⠨⠂ | ⠰⠏⠷⠭⠾⠀⠨⠅⠀⠨⠷⠤⠷⠭⠬⠆⠾⠘⠆⠬⠆⠠⠀⠰⠭⠀⠐⠅⠀⠼⠴⠸⠂⠀⠹⠂⠌⠆⠼⠷⠭⠤⠆⠾⠘⠆⠬⠂⠠⠀⠰⠭⠀⠨⠂⠱⠀⠼⠴
✗ | <math><mrow><mi>p</mi><mo stretchy="false">(</mo><mo>−</mo><mn>2</mn><mo stretchy="false">)</mo><mtext>,</mtext></mrow></math> | ⠏⠷⠤⠆⠾⠠ | ⠠⠠⠎⠇⠕⠏⠑⠀⠨⠅⠀⠹⠽⠆⠤⠽⠂⠌⠭⠆⠤⠭⠂⠼
✗ | <math><mrow><mi>p</mi><mo stretchy="false">(</mo><mn>2</mn><mo stretchy="false">)</mo><mtext>,</mtext></mrow></math> | ⠏⠷⠆⠾⠠ | ⠋⠷⠭⠾⠀⠨⠅⠀⠆⠭⠘⠆⠤⠲⠭⠬⠂
✗ | <math><mrow><mi>x</mi><mo>&lt;</mo><mn>0</mn><mtext>?</mtext></mrow></math> | ⠭⠀⠐⠅⠀⠼⠴⠀⠿ | ⠋⠷⠭⠾⠀⠨⠅⠀⠒⠭⠤⠆⠀⠁⠝⠙⠀⠛⠷⠭⠾⠀⠨⠅⠀⠆⠭⠬⠂
✗ | <math><mrow><mi>p</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>0</mn><mtext>?</mtext></mrow></math> | ⠏⠷⠭⠾⠀⠨⠅⠀⠼⠴⠀⠿ | ⠋⠷⠭⠾⠀⠨⠅⠀⠆⠭⠤⠂⠀⠁⠝⠙⠀⠛⠷⠭⠾⠀⠨⠅⠀⠭⠬⠢
✗ | <math><mrow><mi>p</mi><mtext>?</mtext></mrow></math> | ⠰⠏⠀⠿ | ⠋⠷⠭⠾⠀⠨⠅⠀⠭⠘⠆⠤⠂⠀⠁⠝⠙⠀⠛⠷⠭⠾⠀⠨⠅⠀⠭⠤⠂
✗ | <math><mrow><mi>y</mi><mo>=</mo><mi>p</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | ⠽⠀⠨⠅⠀⠏⠷⠭⠾⠸⠲ | ⠋⠷⠭⠾⠀⠨⠅⠀⠒⠭⠘⠆⠤⠆⠭⠬⠂⠀⠁⠝⠙⠀⠛⠷⠭⠾⠀⠨⠅⠀⠭⠤⠲
✗ | <math><mrow><mi>p</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mo stretchy="false">(</mo><mi>f</mi><mo>⋅</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>⋅</mo><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | ⠏⠷⠭⠾⠀⠨⠅⠀⠷⠋⠡⠛⠾⠷⠭⠾⠀⠨⠅⠀⠋⠷⠭⠾⠡⠛⠷⠭⠾⠸⠲ | ⠋⠷⠭⠾⠀⠨⠅⠀⠆⠭⠬⠂⠀⠁⠝⠙⠀⠛⠷⠭⠾⠀⠨⠅⠀⠒⠭⠤⠆
✗ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">{</mo><mtable columnalign="left left" columnspacing="1em" rowspacing=".2em"><mtr><mtd><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>,</mo></mrow></mtd><mtd><mrow><mi>x</mi><mo>&lt;</mo><mi>a</mi></mrow></mtd></mtr><mtr><mtd><mrow><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>,</mo></mrow></mtd><mtd><mrow><mi>x</mi><mo>≥</mo><mi>a</mi></mrow></mtd></mtr></mtable><mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true">&lt;mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true"/&gt;</mo></mrow></mrow></math> | ⠠⠏⠷⠭⠾⠀⠨⠅⠀⠨⠷⠋⠷⠭⠾⠠⠀⠭⠀⠐⠅⠀⠁⠀⣍⠛⠷⠭⠾⠠⠀⠭⠀⠨⠂⠱⠀⠁⠀⠐⠅⠍⠕⠀⠙⠁⠞⠁⠤⠍⠚⠭⠤⠞⠑⠭⠉⠇⠁⠎⠎⠨⠅⠄⠄⠠⠉⠠⠇⠠⠕⠠⠎⠠⠑⠄⠄⠀⠋⠑⠝⠉⠑⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠀⠎⠞⠗⠑⠞⠉⠓⠽⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠀⠎⠽⠍⠍⠑⠞⠗⠊⠉⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠸⠌⠨⠂ | ⠋⠷⠭⠾⠀⠨⠅⠀⠭⠬⠢⠀⠁⠝⠙⠀⠛⠷⠭⠾⠀⠨⠅⠀⠆⠭⠤⠂
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>2</mn><mi>x</mi><mo>+</mo><mn>4</mn></mrow></math> | ⠋⠷⠭⠾⠀⠨⠅⠀⠼⠆⠭⠬⠲ | ⠋⠷⠭⠾⠀⠨⠅⠀⠭⠤⠂⠀⠁⠝⠙⠀⠛⠷⠭⠾⠀⠨⠅⠀⠭⠘⠆⠤⠂
✗ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>−</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | ⠷⠋⠤⠛⠾⠷⠭⠾⠀⠨⠅ | ⠋⠷⠭⠾⠀⠨⠅⠀⠭⠤⠲⠀⠁⠝⠙⠀⠛⠷⠭⠾⠀⠨⠅⠀⠒⠭⠘⠆⠤⠆⠭⠬⠂
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>t</mi><mo>−</mo><mn>2</mn></mrow></math> | ⠋⠷⠞⠾⠀⠨⠅⠀⠞⠤⠆ | ⠋⠷⠭⠾⠀⠨⠅⠀⠆⠭⠬⠒⠀⠁⠝⠙⠀⠛⠷⠭⠾⠀⠨⠅⠀⠭⠤⠂
✗ | <math><mrow><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">(</mo><mfrac><mi>f</mi><mi>g</mi></mfrac><mo data-mjx-texclass="CLOSE">)</mo></mrow><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | ⠷⠹⠋⠌⠛⠼⠾⠷⠞⠾⠀⠨⠅ | ⠋⠷⠭⠾⠀⠨⠅⠀⠆⠭⠤⠂⠀⠁⠝⠙⠀⠛⠷⠭⠾⠀⠨⠅⠀⠭⠤⠒
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>2</mn><mo>+</mo><msup><mi>x</mi><mn>2</mn></msup></mrow></math> | ⠋⠷⠭⠾⠀⠨⠅⠀⠼⠆⠬⠭⠘⠆ | ⠋⠷⠭⠾⠀⠨⠅⠀⠆⠭⠬⠂⠀⠁⠝⠙⠀⠛⠷⠭⠾⠀⠨⠅⠀⠭⠘⠆⠤⠆⠭⠬⠂
✗ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>⋅</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | ⠷⠋⠡⠛⠾⠷⠭⠾⠀⠨⠅ | ⠋⠷⠭⠾⠀⠨⠅⠀⠆⠭⠤⠒⠀⠁⠝⠙⠀⠛⠷⠭⠾⠀⠨⠅⠀⠲⠭⠬⠒
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mn>3</mn><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | ⠋⠷⠒⠾⠀⠨⠅ | ⠋⠷⠭⠾⠀⠨⠅⠀⠆⠭⠬⠒⠀⠁⠝⠙⠀⠛⠷⠭⠾⠀⠨⠅⠀⠲⠭⠤⠂
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mn>3</mn><mo stretchy="false">)</mo><mo>+</mo><mi>g</mi><mo stretchy="false">(</mo><mn>3</mn><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | ⠋⠷⠒⠾⠬⠛⠷⠒⠾⠀⠨⠅ | ⠋⠷⠭⠾⠀⠨⠅⠀⠆⠭⠤⠂⠀⠁⠝⠙⠀⠛⠷⠭⠾⠀⠨⠅⠀⠒⠭⠬⠆
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mo>−</mo><mn>2</mn><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | ⠋⠷⠤⠆⠾⠀⠨⠅ | ⠋⠷⠭⠾⠀⠨⠅⠀⠒⠭⠬⠆⠀⠁⠝⠙⠀⠛⠷⠭⠾⠀⠨⠅⠀⠆⠭⠤⠂
✗ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>+</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mo>−</mo><mn>2</mn><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | ⠷⠋⠬⠛⠾⠷⠤⠆⠾⠀⠨⠅ | ⠋⠷⠭⠾⠀⠨⠅⠀⠲⠭⠤⠂⠀⠁⠝⠙⠀⠛⠷⠭⠾⠀⠨⠅⠀⠆⠭⠬⠒
✗ | <math><mn>1</mn></math> | ⠼⠂ | ⠋⠷⠭⠾⠀⠨⠅⠀⠲⠭⠬⠒⠀⠁⠝⠙⠀⠛⠷⠭⠾⠀⠨⠅⠀⠆⠭⠤⠒
✗ | <math><mn>3</mn></math> | ⠼⠒ | ⠋⠷⠭⠾⠀⠨⠅⠀⠭⠘⠆⠤⠆⠭⠬⠂⠀⠁⠝⠙⠀⠛⠷⠭⠾⠀⠨⠅⠀⠆⠭⠬⠂
# Matches: 38 out of 200: 19%.
