# Configuration:
#   Braille Code: nemeth
#   Generate Braille: False
#   Model: gpt-5.2
#   API Key: OPENAI_API_KEY
#   Batch Size: 70
#   Number of Examples: 312
#   Example Braille File: RustTestData/Nemeth.brls
#   Example MathML File: RustTestData/Nemeth.mmls
#   Input Braille Dir: test_data/Nemeth
#   Input MathML Dir: test_data/MathML
#
# 200 items. Usage info: prompt=107334, candidates=10127, total=117461, time=231326ms, TPS=22842.500246864816.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✗ | ⠋⠷⠞⠾⠀⠨⠅⠀⠁⠃⠘⠞ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>a</mi> <mo>⁢</mo> <msup> <mi>b</mi> <mi>t</mi> </msup> </mrow> </mrow> </math> | <math><mrow><mi>f</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mi>a</mi><mi>b</mi><msup><mi>t</mi><mn>2</mn></msup></mrow></math>
✗ | ⠉⠎⠉⠀⠷⠨⠁⠾⠀⠨⠅⠀⠹⠢⠌⠒⠼⠠ | <math> <mrow> <mrow> <mrow> <mi>csc</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>α</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mn>5</mn> <mn>3</mn> </mfrac> </mrow> <mo>,</mo> </mrow> </math> | <math><mrow><mi>csc</mi><mo>&#x2061;</mo><mo>(</mo><mi>α</mi><mo>)</mo><mo>=</mo><mfrac><mn>5</mn><mn>3</mn></mfrac></mrow></math>
✗ | ⠼⠢⠠ | <math> <mrow> <mn>5</mn> <mo>,</mo> </mrow> </math> | <math><mn>5</mn></math>
✗ | ⠼⠲⠠ | <math> <mrow> <mn>4</mn> <mo>,</mo> </mrow> </math> | <math><mn>4</mn></math>
✓ | ⠎⠊⠝⠀⠷⠨⠁⠾⠀⠨⠅⠀⠹⠒⠌⠢⠼ | <math> <mrow> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>α</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mn>3</mn> <mn>5</mn> </mfrac> </mrow> </math> | <math><mrow><mi>sin</mi><mo>&#x2061;</mo><mo>(</mo><mi>α</mi><mo>)</mo><mo>=</mo><mfrac><mn>3</mn><mn>5</mn></mfrac></mrow></math>
✓ | ⠹⠒⠌⠢⠼⠸⠲ | <math> <mrow> <mfrac> <mn>3</mn> <mn>5</mn> </mfrac> <mo>.</mo> </mrow> </math> | <math><mfrac><mn>3</mn><mn>5</mn></mfrac><mo>.</mo></math>
✗ | ⠹⠜⠆⠻⠌⠆⠼⠠ | <math> <mrow> <mfrac> <msqrt> <mn>2</mn> </msqrt> <mn>2</mn> </mfrac> <mo>,</mo> </mrow> </math> | <math><mrow><mfrac><msqrt><mn>2</mn></msqrt><mn>2</mn></mfrac><mo>=</mo></mrow></math>
✓ | ⠨⠃ | <math> <mi>β</mi> </math> | <math><mi>β</mi></math>
✓ | ⠨⠃⠸⠲ | <math> <mrow> <mi>β</mi> <mo>.</mo> </mrow> </math> | <math><mi>β</mi><mo>.</mo></math>
✗ | ⠉⠕⠎⠀⠷⠞⠾⠀⠨⠅⠀⠼⠴⠠ | <math> <mrow> <mrow> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0</mn> </mrow> <mo>,</mo> </mrow> </math> | <math><mrow><mi>cos</mi><mo>&#x2061;</mo><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mn>0</mn></mrow></math>
✓ | ⠳⠉⠕⠎⠀⠷⠞⠾⠳⠀⠐⠅⠱⠀⠼⠂ | <math> <mrow> <mrow> <mo>|</mo> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>|</mo> </mrow> <mo>≤</mo> <mn>1</mn> </mrow> </math> | <math><mrow><mo>|</mo><mi>cos</mi><mo>&#x2061;</mo><mo>(</mo><mi>t</mi><mo>)</mo><mo>|</mo><mo>≤</mo><mn>1</mn></mrow></math>
✓ | ⠼⠴ | <math> <mn>0</mn> </math> | <math><mn>0</mn></math>
✓ | ⠹⠨⠏⠌⠲⠼ | <math> <mfrac> <mi>π</mi> <mn>4</mn> </mfrac> </math> | <math><mfrac><mi>π</mi><mn>4</mn></mfrac></math>
✗ | ⠋⠷⠞⠾⠀⠨⠅⠀⠁⠃⠘⠞ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mi>a</mi><mi>b</mi><msup><mi>t</mi><mn> </mn></msup></mrow></math>
✗ | ⠛⠷⠞⠾⠀⠨⠅⠀⠁⠃⠘⠞⠐⠬⠉ | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup><mo>+</mo><mi>c</mi></mrow></math> | <math><mrow><mi>g</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mrow><mi>t</mi><mo>+</mo><mi>c</mi></mrow></msup></mrow></math>
✓ | ⠼⠂⠴ | <math><mn>10</mn></math> | <math><mn>10</mn></math>
✓ | ⠼⠆⠬⠒⠀⠨⠅⠀⠼⠢⠸⠒ | <math><mrow><mn>2</mn><mo>+</mo><mn>3</mn><mo>=</mo><mn>5</mn><mtext>:</mtext></mrow></math> | <math><mrow><mn>2</mn><mo>+</mo><mn>3</mn><mo>=</mo><mn>5</mn><mo>:</mo></mrow></math>
✓ | ⠼⠆ | <math><mn>2</mn></math> | <math><mn>2</mn></math>
✗ | ⠼⠆⠡⠒⠀⠨⠅⠀⠼⠖⠸⠲ | <math><mrow><mn>2</mn><mo>⋅</mo><mn>3</mn><mo>=</mo><mn>6</mn><mtext>.</mtext></mrow></math> | <math><mrow><mn>2</mn><mo>·</mo><mn>3</mn><mo>=</mo><mn>6</mn><mo>.</mo></mrow></math>
✗ | ⠰⠋⠸⠒⠀⠠⠃⠀⠫⠕⠀⠠⠉⠠ | <math><mrow><mi>f</mi><mo>:</mo><mi>B</mi><mo accent="false" stretchy="false">→</mo><mi>C</mi><mtext>,</mtext></mrow></math> | <math><mrow><mi>f</mi><mo>:</mo><mi>B</mi><mo>→</mo><mi>C</mi></mrow></math>
✓ | ⠷⠋⠨⠡⠛⠾⠷⠭⠾⠀⠨⠅⠀⠋⠷⠛⠷⠭⠾⠾⠸⠲ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>∘</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mi>f</mi><mo stretchy="false">(</mo><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mrow><mo>(</mo><mi>f</mi><mo>∘</mo><mi>g</mi><mo>)</mo><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mi>f</mi><mo>(</mo><mi>g</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>)</mo><mo>.</mo></mrow></math>
✓ | ⠰⠛ | <math><mi>g</mi></math> | <math><mi>g</mi></math>
✓ | ⠰⠋ | <math><mi>f</mi></math> | <math><mi>f</mi></math>
✓ | ⠰⠟ | <math><mi>q</mi></math> | <math><mi>q</mi></math>
✗ | ⠰⠟⠠ | <math><mrow><mi>q</mi><mtext>,</mtext></mrow></math> | <math><mi>q</mi></math>
✓ | ⠰⠏⠸⠲ | <math><mrow><mi>p</mi><mtext>.</mtext></mrow></math> | <math><mi>p</mi><mo>.</mo></math>
✓ | ⠋⠷⠭⠾ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow></math>
✓ | ⠰⠛⠸⠲ | <math><mrow><mi>g</mi><mtext>.</mtext></mrow></math> | <math><mi>g</mi><mo>.</mo></math>
✓ | ⠓⠷⠭⠾⠀⠨⠅⠀⠋⠷⠭⠾⠬⠛⠷⠭⠾⠸⠲ | <math><mrow><mi>h</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>+</mo><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mrow><mi>h</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>+</mo><mi>g</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>.</mo></mrow></math>
✓ | ⠗⠷⠭⠾⠀⠨⠅⠀⠏⠷⠭⠾⠤⠟⠷⠭⠾⠸⠲ | <math><mrow><mi>r</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mi>p</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>−</mo><mi>q</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mrow><mi>r</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mi>p</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>−</mo><mi>q</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>.</mo></mrow></math>
✓ | ⠗⠷⠭⠾⠀⠨⠅⠀⠼⠴⠀⠿ | <math><mrow><mi>r</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>0</mn><mtext>?</mtext></mrow></math> | <math><mrow><mi>r</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>0</mn><mo>?</mo></mrow></math>
✓ | ⠅⠷⠴⠾⠸⠲ | <math><mrow><mi>k</mi><mo stretchy="false">(</mo><mn>0</mn><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mrow><mi>k</mi><mo>(</mo><mn>0</mn><mo>)</mo><mo>.</mo></mrow></math>
✓ | ⠎⠷⠂⠾ | <math><mrow><mi>s</mi><mo stretchy="false">(</mo><mn>1</mn><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>s</mi><mo>(</mo><mn>1</mn><mo>)</mo></mrow></math>
✓ | ⠎⠷⠭⠾ | <math><mrow><mi>s</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>s</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow></math>
✓ | ⠼⠒⠭⠤⠲⠽⠀⠨⠅⠀⠼⠶⠀⠿ | <math><mrow><mn>3</mn><mi>x</mi><mo>−</mo><mn>4</mn><mi>y</mi><mo>=</mo><mn>7</mn><mtext>?</mtext></mrow></math> | <math><mrow><mn>3</mn><mi>x</mi><mo>-</mo><mn>4</mn><mi>y</mi><mo>=</mo><mn>7</mn><mo>?</mo></mrow></math>
✓ | ⠭⠀⠨⠅⠀⠤⠼⠆⠀⠿ | <math><mrow><mi>x</mi><mo>=</mo><mo>−</mo><mn>2</mn><mtext>?</mtext></mrow></math> | <math><mrow><mi>x</mi><mo>=</mo><mo>-</mo><mn>2</mn><mo>?</mo></mrow></math>
✓ | ⠟⠷⠭⠾⠀⠨⠅⠀⠤⠼⠒⠭⠘⠆⠐⠬⠢⠭⠤⠶ | <math><mrow><mi>q</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mo>−</mo><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>5</mn><mi>x</mi><mo>−</mo><mn>7</mn></mrow></math> | <math><mrow><mi>q</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mo>-</mo><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>5</mn><mi>x</mi><mo>-</mo><mn>7</mn></mrow></math>
✓ | ⠎⠷⠭⠾⠀⠨⠅⠀⠼⠢⠭ | <math><mrow><mi>s</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>5</mn><mi>x</mi></mrow></math> | <math><mrow><mi>s</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>5</mn><mi>x</mi></mrow></math>
✗ | ⠍⠀⠨⠅⠀⠼⠢⠠ | <math><mrow><mi>m</mi><mo>=</mo><mn>5</mn><mtext>,</mtext></mrow></math> | <math><mrow><mi>m</mi><mo>=</mo><mn>5</mn></mrow></math>
✗ | ⠰⠉⠠ | <math><mrow><mi>c</mi><mtext>,</mtext></mrow></math> | <math><mi>c</mi></math>
✓ | ⠰⠺ | <math><mi>w</mi></math> | <math><mi>w</mi></math>
✓ | ⠋⠷⠭⠾⠀⠨⠅⠀⠼⠒⠭⠘⠆⠐⠬⠲ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>4</mn></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>4</mn></mrow></math>
✓ | ⠋⠬⠛ | <math><mrow><mi>f</mi><mo>+</mo><mi>g</mi></mrow></math> | <math><mrow><mi>f</mi><mo>+</mo><mi>g</mi></mrow></math>
✓ | ⠋⠤⠛ | <math><mrow><mi>f</mi><mo>−</mo><mi>g</mi></mrow></math> | <math><mrow><mi>f</mi><mo>-</mo><mi>g</mi></mrow></math>
✓ | ⠋⠡⠛ | <math><mrow><mi>f</mi><mo>⋅</mo><mi>g</mi></mrow></math> | <math><mrow><mi>f</mi><mo>&#x22C5;</mo><mi>g</mi></mrow></math>
✓ | ⠹⠋⠌⠛⠼ | <math><mfrac><mi>f</mi><mi>g</mi></mfrac></math> | <math><mfrac><mi>f</mi><mi>g</mi></mfrac></math>
✓ | ⠛⠷⠭⠾⠀⠌⠨⠅⠀⠼⠴⠸⠲ | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>≠</mo><mn>0</mn><mtext>.</mtext></mrow></math> | <math><mrow><mi>g</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>&#x2260;</mo><mn>0</mn><mo>.</mo></mrow></math>
✓ | ⠷⠒⠠⠀⠤⠴⠨⠢⠾ | <math><mrow><mo stretchy="false">(</mo><mn>3</mn><mo>,</mo><mo>−</mo><mn>0.5</mn><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mo>(</mo><mn>3</mn><mo>,</mo><mo>-</mo><mn>0</mn><mo>.</mo><mn>5</mn><mo>)</mo></mrow></math>
✓ | ⠷⠤⠂⠠⠀⠒⠾ | <math><mrow><mo stretchy="false">(</mo><mo>−</mo><mn>1</mn><mo>,</mo><mn>3</mn><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mo>(</mo><mo>-</mo><mn>1</mn><mo>,</mo><mn>3</mn><mo>)</mo></mrow></math>
✓ | ⠷⠋⠬⠛⠾⠷⠴⠾⠸⠲ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>+</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mn>0</mn><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mrow><mo>(</mo><mi>f</mi><mo>+</mo><mi>g</mi><mo>)</mo><mo>(</mo><mn>0</mn><mo>)</mo><mo>.</mo></mrow></math>
✓ | ⠷⠋⠡⠛⠾⠷⠤⠂⠾⠸⠲ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>⋅</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mo>−</mo><mn>1</mn><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mrow><mo>(</mo><mi>f</mi><mo>&#x22C5;</mo><mi>g</mi><mo>)</mo><mo>(</mo><mo>-</mo><mn>1</mn><mo>)</mo><mo>.</mo></mrow></math>
✓ | ⠷⠋⠡⠛⠾⠷⠭⠾⠀⠨⠅⠀⠼⠴⠀⠿ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>⋅</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>0</mn><mtext>?</mtext></mrow></math> | <math><mrow><mo>(</mo><mi>f</mi><mo>&#x22C5;</mo><mi>g</mi><mo>)</mo><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>0</mn><mo>?</mo></mrow></math>
✓ | ⠠⠏⠷⠞⠾ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>P</mi><mo>(</mo><mi>t</mi><mo>)</mo></mrow></math>
✗ | ⠠⠁⠠⠧⠰⠈⠷⠢⠪⠂⠂⠈⠾⠠ | <math><mrow><mi>A</mi><msub><mi>V</mi><mrow data-mjx-texclass="ORD"><mo stretchy="false">[</mo><mn>5</mn><mo>,</mo><mn>11</mn><mo stretchy="false">]</mo></mrow></msub><mtext>,</mtext></mrow></math> | <math><mrow><mi>A</mi><mi>v</mi><mo>[</mo><mn>5</mn><mo>,</mo><mn>11</mn><mo>]</mo></mrow></math>
✓ | ⠼⠂⠂⠸⠲ | <math><mrow><mn>11</mn><mtext>.</mtext></mrow></math> | <math><mn>11</mn><mo>.</mo></math>
✗ | ⠰⠞⠠ | <math><mrow><mi>t</mi><mtext>,</mtext></mrow></math> | <math><mi>t</mi></math>
✓ | ⠠⠎⠷⠞⠾ | <math><mrow><mi>S</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>S</mi><mo>(</mo><mi>t</mi><mo>)</mo></mrow></math>
✗ | ⠠⠧⠷⠞⠾⠠ | <math><mrow><mi>V</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mtext>,</mtext></mrow></math> | <math><mrow><mi>V</mi><mo>(</mo><mi>t</mi><mo>)</mo></mrow></math>
✓ | ⠠⠧⠷⠞⠾⠀⠨⠅⠀⠠⠝⠷⠞⠾⠡⠠⠎⠷⠞⠾⠸⠲ | <math><mrow><mi>V</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>N</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>⋅</mo><mi>S</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mrow><mi>V</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mi>N</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>&#x22C5;</mo><mi>S</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>.</mo></mrow></math>
✓ | ⠋⠷⠧⠾ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>v</mi><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mi>v</mi><mo>)</mo></mrow></math>
✗ | ⠋⠷⠖⠴⠾⠀⠨⠅⠀⠼⠴⠨⠴⠲ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mn>60</mn><mo stretchy="false">)</mo><mo>=</mo><mn>0.04</mn></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mn>60</mn><mo>)</mo><mo>=</mo><mn>0</mn><mo>.</mo><mn>4</mn></mrow></math>
✓ | ⠛⠷⠖⠴⠾⠀⠿ | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mn>60</mn><mo stretchy="false">)</mo><mtext>?</mtext></mrow></math> | <math><mrow><mi>g</mi><mo>(</mo><mn>60</mn><mo>)</mo><mo>?</mo></mrow></math>
✓ | ⠓⠷⠧⠾⠀⠨⠅⠀⠧⠡⠋⠷⠧⠾⠸⠲ | <math><mrow><mi>h</mi><mo stretchy="false">(</mo><mi>v</mi><mo stretchy="false">)</mo><mo>=</mo><mi>v</mi><mo>⋅</mo><mi>f</mi><mo stretchy="false">(</mo><mi>v</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mrow><mi>h</mi><mo>(</mo><mi>v</mi><mo>)</mo><mo>=</mo><mi>v</mi><mo>&#x22C5;</mo><mi>f</mi><mo>(</mo><mi>v</mi><mo>)</mo><mo>.</mo></mrow></math>
✓ | ⠰⠓⠀⠿ | <math><mrow><mi>h</mi><mtext>?</mtext></mrow></math> | <math><mrow><mi>h</mi><mo>&#xA0;</mo><mo>?</mo></mrow></math>
✗ | ⠋⠷⠖⠴⠾⠠ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mn>60</mn><mo stretchy="false">)</mo><mtext>,</mtext></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mn>60</mn><mo>)</mo></mrow></math>
✓ | ⠓⠷⠖⠴⠾ | <math><mrow><mi>h</mi><mo stretchy="false">(</mo><mn>60</mn><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>h</mi><mo>(</mo><mn>60</mn><mo>)</mo></mrow></math>
✓ | ⠈⠷⠖⠴⠠⠀⠶⠴⠈⠾⠸⠲ | <math><mrow><mo stretchy="false">[</mo><mn>60</mn><mo>,</mo><mn>70</mn><mo stretchy="false">]</mo><mtext>.</mtext></mrow></math> | <math><mrow><mo>[</mo><mn>60</mn><mo>,</mo><mn>70</mn><mo>]</mo><mo>.</mo></mrow></math>
✓ | ⠠⠁⠷⠭⠾⠀⠨⠅⠀⠳⠭⠳⠸⠲ | <math><mrow><mi>A</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mo stretchy="false">|</mo><mi>x</mi><mo stretchy="false">|</mo><mtext>.</mtext></mrow></math> | <math><mrow><mi>A</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mrow><mo>|</mo><mi>x</mi><mo>|</mo></mrow><mo>.</mo></mrow></math>
✗ | ⠳⠭⠳⠀⠨⠅⠀⠭⠠ | <math><mrow><mo stretchy="false">|</mo><mi>x</mi><mo stretchy="false">|</mo><mo>=</mo><mi>x</mi><mtext>,</mtext></mrow></math> | <math><mrow><mo>|</mo><mi>x</mi><mo>|</mo><mo>=</mo><mi>X</mi></mrow></math>
✓ | ⠳⠭⠳⠀⠨⠅⠀⠤⠭⠸⠲ | <math><mrow><mo stretchy="false">|</mo><mi>x</mi><mo stretchy="false">|</mo><mo>=</mo><mo>−</mo><mi>x</mi><mtext>.</mtext></mrow></math> | <math><mrow><mo>|</mo><mi>x</mi><mo>|</mo><mo>=</mo><mo>-</mo><mi>x</mi><mo>.</mo></mrow></math>
✗ | ⠠⠁⠷⠭⠾⠀⠨⠅⠀⠨⠷⠤⠭⠠⠀⠭⠀⠐⠅⠀⠼⠴⠀⣍⠭⠠⠀⠭⠀⠨⠂⠱⠀⠼⠴⠀⠐⠅⠍⠕⠀⠙⠁⠞⠁⠤⠍⠚⠭⠤⠞⠑⠭⠉⠇⠁⠎⠎⠨⠅⠄⠄⠠⠉⠠⠇⠠⠕⠠⠎⠠⠑⠄⠄⠀⠋⠑⠝⠉⠑⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠀⠎⠞⠗⠑⠞⠉⠓⠽⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠀⠎⠽⠍⠍⠑⠞⠗⠊⠉⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠸⠌⠨⠂ | <math><mrow><mi>A</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">{</mo><mtable columnalign="left left" columnspacing="1em" rowspacing=".2em"><mtr><mtd><mrow><mo>−</mo><mi>x</mi><mo>,</mo></mrow></mtd><mtd><mrow><mi>x</mi><mo>&lt;</mo><mn>0</mn></mrow></mtd></mtr><mtr><mtd><mrow><mi>x</mi><mo>,</mo></mrow></mtd><mtd><mrow><mi>x</mi><mo>≥</mo><mn>0</mn></mrow></mtd></mtr></mtable><mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true">&lt;mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true"/&gt;</mo></mrow></mrow></math> | <math><mrow><mi>A</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mo>{</mo><mrow><mo>-</mo><mi>x</mi></mrow><mtext>&#xA0;</mtext><mi>x</mi><mo>&lt;</mo><mn>0</mn><mo>,</mo><mtext>&#xA0;</mtext><mi>x</mi><mo>&#x2265;</mo><mn>0</mn><mtext>&#xA0;</mtext><mtext>kmo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true"/</mrow></mo></mrow></math>
✓ | ⠽⠀⠨⠅⠀⠤⠭ | <math><mrow><mi>y</mi><mo>=</mo><mo>−</mo><mi>x</mi></mrow></math> | <math><mrow><mi>y</mi><mo>=</mo><mo>-</mo><mi>x</mi></mrow></math>
