# Configuration:
#   Braille Code: Nemeth
#   Generate Braille: False
#   Model: gpt-5.2
#   API Key: OPENAI_API_KEY
#   Batch Size: 20
#   Number of Examples: 0
#   Example Braille File: RustTestData/Nemeth.brls
#   Example MathML File: RustTestData/Nemeth.mmls
#   Input Braille Dir: test_data/Nemeth
#   Input MathML Dir: test_data/MathML
#   Instructions: You are an expert braille translator specializing in Nemeth braille for mathematics and chemistry notation. The user will number the input and follow it with {braille_code} braille to be translated into MathML. Your task is to translate each sequence of Nemeth braille characters into valid MathML code. Remember that the MathML starts with a '<math>' tag and ends with a '</math>' tag. For each braille input, output ONLY the raw MathML string starting with <math> and ending with </math>. Every element in the MathML must be properly closed and nested. Do not include markdown formatting, explanations, or any other text. Do not include any newlines or carriage returns. Do not include any braille unicode characters in the MathML output. Add '|next-item|' between each MathML output. 
#
# 200 items. Usage info: prompt=10471, candidates=12065, total=22536, time=368354ms, TPS=30530.791545793618.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✗ | ⠋⠷⠞⠾⠀⠨⠅⠀⠁⠃⠘⠞ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mi>a</mi><mi>b</mi><msup><mi>t</mi><mo></mo></msup></mrow></math>
✗ | ⠼⠴⠯⠀⠨⠅⠀⠼⠂⠀⣍⠂⠯⠀⠨⠅⠀⠼⠂⠀⣍⠝⠯⠀⠨⠅⠀⠝⠷⠝⠤⠂⠾⠷⠝⠤⠆⠾⠄⠄⠄⠷⠆⠾⠷⠂⠾⠠⠀⠋⠕⠗⠀⠝⠀⠨⠂⠱⠀⠼⠆ | <math><mtable columnalign="left"><mtr><mtd><mrow><mn>0</mn><mo>!</mo><mo>=</mo><mn>1</mn></mrow></mtd></mtr><mtr><mtd><mrow><mn>1</mn><mo>!</mo><mo>=</mo><mn>1</mn></mrow></mtd></mtr><mtr><mtd><mrow><mi>n</mi><mo>!</mo><mo>=</mo><mi>n</mi><mrow><mo>(</mo><mrow><mi>n</mi><mo>−</mo><mn>1</mn></mrow><mo>)</mo></mrow><mrow><mo>(</mo><mrow><mi>n</mi><mo>−</mo><mn>2</mn></mrow><mo>)</mo></mrow><mo>⋯</mo><mrow><mo>(</mo><mn>2</mn><mo>)</mo></mrow><mrow><mo>(</mo><mn>1</mn><mo>)</mo></mrow><mtext>, for </mtext><mi>n</mi><mo>≥</mo><mn>2</mn></mrow></mtd></mtr></mtable></math> | <math><mrow><mn>4</mn><mi>k</mi><mo>&lt;</mo><mn>2</mn><mo>,</mo><mn>2</mn><mi>k</mi><mo>&lt;</mo><mn>2</mn><mo>,</mo><mi>nk</mi><mo>&lt;</mo><mrow><mo>(</mo><mi>n</mi><mo>-</mo><mn>2</mn><mo>)</mo></mrow><mrow><mo>(</mo><mi>n</mi><mo>-</mo><mn>3</mn><mo>)</mo></mrow><mo>…</mo><mrow><mo>(</mo><mn>3</mn><mo>)</mo></mrow><mrow><mo>(</mo><mn>2</mn><mo>)</mo></mrow><mi>for</mi><mi>n</mi><mo>≥</mo><mn>3</mn></mrow></math>
✗ | ⠁⠰⠝⠀⠨⠅⠀⠁⠂⠬⠙⠷⠝⠤⠂⠾ | <math><mtable columnalign="left"><mtr><mtd><mrow><msub><mi>a</mi><mi>n</mi></msub><mo>=</mo><msub><mi>a</mi><mn>1</mn></msub><mo>+</mo><mi>d</mi><mo stretchy="false">(</mo><mi>n</mi><mo>−</mo><mn>1</mn><mo stretchy="false">)</mo></mrow></mtd></mtr></mtable></math> | <math><mrow><msub><mi>a</mi><mi>n</mi></msub><mo>&lt;</mo><mrow><mi>a</mi><mo>+</mo><mi>d</mi><mrow><mo>(</mo><mi>n</mi><mo>-</mo><mn>2</mn><mo>)</mo></mrow></mrow></mrow></math>
✗ | ⠁⠰⠝⠀⠨⠅⠀⠗⠁⠰⠝⠤⠂⠠⠀⠝⠀⠨⠂⠱⠀⠼⠆ | <math><mrow><msub><mi>a</mi><mi>n</mi></msub><mo>=</mo><mi>r</mi><msub><mi>a</mi><mrow><mi>n</mi><mo>−</mo><mn>1</mn></mrow></msub><mo>,</mo><mi>n</mi><mo>≥</mo><mn>2</mn></mrow></math> | <math><mrow><msub><mi>a</mi><mi>n</mi></msub><mo>&lt;</mo><mrow><mi>r</mi><msub><mi>a</mi><mi>n</mi></msub><mo>-</mo><mn>2</mn></mrow><mi>n</mi><mo>≥</mo><mn>3</mn></mrow></math>
✗ | ⠰⠝ | <math><mi>n</mi></math> | <math><msub><mi>n</mi><mn></mn></msub></math>
✗ | ⠠⠎⠰⠝⠀⠨⠅⠀⠹⠁⠂⠷⠂⠤⠗⠘⠝⠐⠾⠌⠂⠤⠗⠼⠠⠀⠗⠀⠌⠨⠅⠀⠼⠂ | <math><mrow><msub><mi>S</mi><mi>n</mi></msub><mo>=</mo><mfrac><mrow><msub><mi>a</mi><mn>1</mn></msub><mo stretchy="false">(</mo><mn>1</mn><mo>−</mo><msup><mi>r</mi><mi>n</mi></msup><mo stretchy="false">)</mo></mrow><mrow><mn>1</mn><mo>−</mo><mi>r</mi></mrow></mfrac><mo>,</mo><mi>r</mi><mo>≠</mo><mn>1</mn></mrow></math> | <math><mrow><msub><mi>S</mi><mi>n</mi></msub><mo>&lt;</mo><mrow><mo>{</mo><mi>a</mi><mn>2</mn><mfrac><mrow><mo>-</mo><mi>r</mi><msup><mi>n</mi><mrow><mi>r</mi><mo>-</mo><mn>1</mn></mrow></msup></mrow><mrow><mo>-</mo><mi>r</mi></mrow></mfrac><mo>}</mo><mi>r</mi><mfrac><mn>1</mn><mo>&lt;</mo></mfrac><mn>2</mn></mrow></mrow></math>
✗ | ⠠⠎⠰⠝⠀⠨⠅⠀⠹⠁⠂⠌⠂⠤⠗⠼⠠⠀⠗⠀⠌⠨⠅⠀⠼⠂ | <math><mrow><msub><mi>S</mi><mi>n</mi></msub><mo>=</mo><mfrac><msub><mi>a</mi><mn>1</mn></msub><mrow><mn>1</mn><mo>−</mo><mi>r</mi></mrow></mfrac><mo>,</mo><mi>r</mi><mo>≠</mo><mn>1</mn></mrow></math> | <math><mrow><msub><mi>S</mi><mi>n</mi></msub><mo>&lt;</mo><mrow><mo>{</mo><mi>a</mi><mn>2</mn><mfrac><mrow><mo>-</mo><mi>r</mi></mrow><mrow><mo>-</mo><mi>r</mi></mrow></mfrac><mo>}</mo><mi>r</mi><mfrac><mn>1</mn><mo>&lt;</mo></mfrac><mn>2</mn></mrow></mrow></math>
✗ | ⠠⠏⠷⠝⠠⠀⠗⠾⠀⠨⠅⠀⠹⠝⠯⠌⠷⠝⠤⠗⠾⠯⠼ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>n</mi><mo>,</mo><mi>r</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mi>n</mi><mo>!</mo></mrow><mrow><mo stretchy="false">(</mo><mi>n</mi><mo>−</mo><mi>r</mi><mo stretchy="false">)</mo><mo>!</mo></mrow></mfrac></mrow></math> | <math><mrow><msub><mi>P</mi><mi>n</mi></msub><mi>r</mi><mo>&lt;</mo><mrow><mo>{</mo><mi>nk</mi><mfrac><mrow><mo>(</mo><mi>n</mi><mo>-</mo><mi>r</mi><mo>)</mo></mrow><mrow><mi>k</mi><mn>0</mn></mrow></mfrac><mo>}</mo></mrow></mrow></math>
✗ | ⠹⠝⠯⠌⠗⠂⠯⠗⠆⠯⠀⠄⠄⠄⠀⠗⠰⠅⠐⠯⠼ | <math><mfrac><mrow><mi>n</mi><mo>!</mo></mrow><mrow><msub><mi>r</mi><mn>1</mn></msub><mo>!</mo><msub><mi>r</mi><mn>2</mn></msub><mo>!</mo><mo>…</mo><msub><mi>r</mi><mi>k</mi></msub><mo>!</mo></mrow></mfrac></math> | <math><mrow><mo>{</mo><mi>nk</mi><msub><mi>r</mi><mn>2</mn></msub><msub><mi>r</mi><mn>3</mn></msub><mi>r</mi><mo>…</mo><mi>r</mi><mo>&lt;</mo><msub><mi>k</mi><mrow><mi>r</mi><mn>0</mn></mrow></msub><mi>k</mi><mn>0</mn><mo>}</mo></mrow></math>
✗ | ⠷⠗⠬⠂⠾⠞⠓ | <math><mrow><mo stretchy="false">(</mo><mi>r</mi><mo>+</mo><mn>1</mn><mo stretchy="false">)</mo><mi>t</mi><mi>h</mi></mrow></math> | <math><mrow><mo>(</mo><mi>r</mi><mo>+</mo><mn>2</mn><mo>)</mo><mi>th</mi></mrow></math>
✗ | ⠠⠏⠷⠠⠑⠾⠀⠨⠅⠀⠹⠝⠷⠠⠑⠾⠌⠝⠷⠠⠎⠾⠼ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>E</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mi>n</mi><mo stretchy="false">(</mo><mi>E</mi><mo stretchy="false">)</mo></mrow><mrow><mi>n</mi><mo stretchy="false">(</mo><mi>S</mi><mo stretchy="false">)</mo></mrow></mfrac></mrow></math> | <math><mrow><msub><mi>P</mi><mi>E</mi></msub><mo>&lt;</mo><mrow><mo>{</mo><msub><mi>n</mi><mi>E</mi></msub><mfrac><msub><mi>n</mi><mi>S</mi></msub><mn>0</mn></mfrac><mo>}</mo></mrow></mrow></math>
✗ | ⠠⠏⠷⠠⠑⠨⠬⠠⠋⠾⠀⠨⠅⠀⠠⠏⠷⠠⠑⠾⠬⠠⠏⠷⠠⠋⠾ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>E</mi><mo>∪</mo><mi>F</mi><mo stretchy="false">)</mo><mo>=</mo><mi>P</mi><mo stretchy="false">(</mo><mi>E</mi><mo stretchy="false">)</mo><mo>+</mo><mi>P</mi><mo stretchy="false">(</mo><mi>F</mi><mo stretchy="false">)</mo></mrow></math> | <math><mrow><msub><mi>P</mi><mrow><mi>E</mi><mo>+</mo><mi>F</mi></mrow></msub><mo>&lt;</mo><mrow><msub><mi>P</mi><mi>E</mi></msub><mo>+</mo><msub><mi>P</mi><mi>F</mi></msub></mrow></mrow></math>
✗ | ⠭⠀⠨⠅⠀⠹⠤⠃⠬⠤⠜⠃⠘⠆⠐⠤⠲⠁⠉⠻⠌⠆⠁⠼ | <math><mrow><mi>x</mi><mo>=</mo><mfrac><mrow><mo>−</mo><mi>b</mi><mo>±</mo><msqrt><mrow><msup><mi>b</mi><mn>2</mn></msup><mo>−</mo><mn>4</mn><mi>a</mi><mi>c</mi></mrow></msqrt></mrow><mrow><mn>2</mn><mi>a</mi></mrow></mfrac></mrow></math> | <math><mrow><mi>x</mi><mo>&lt;</mo><mrow><mo>{</mo><mo>-</mo><mi>b</mi><mo>+</mo><msqrt><msup><mi>b</mi><mn>3</mn></msup><mo>-</mo><mn>2</mn><mi>a</mi><mi>c</mi></msqrt><mo>}</mo></mrow><mfrac><mn>3</mn><mi>a</mi></mfrac></mrow></math>
✗ | ⠽⠤ | <math><mrow><mi>y</mi><mtext>-</mtext></mrow></math> | <math><msub><mi>y</mi><mo>-</mo></msub></math>
✓ | ⠋⠷⠁⠾⠀⠁⠝⠙⠀⠋⠷⠃⠾ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>a</mi><mo stretchy="false">)</mo><mo> </mo><mtext>and</mtext><mo> </mo><mi>f</mi><mo stretchy="false">(</mo><mi>b</mi><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>f</mi><mrow><mo>(</mo><mi>a</mi><mo>)</mo></mrow><mi>and</mi><mi>f</mi><mrow><mo>(</mo><mi>b</mi><mo>)</mo></mrow></mrow></math>
✗ | ⠰⠁ | <math><mi>a</mi></math> | <math><msub><mi>a</mi><mn></mn></msub></math>
✗ | ⠭⠤⠅⠸⠲ | <math><mrow><mi>x</mi><mo>−</mo><mi>k</mi><mo>.</mo></mrow></math> | <math><mi>x</mi><mo>&#x2212;</mo><mi>k</mi><mo>=</mo></math>
✓ | ⠋⠷⠭⠾ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math> | <math><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo></math>
✓ | ⠷⠭⠤⠅⠾ | <math><mrow><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mi>k</mi><mo stretchy="false">)</mo></mrow></math> | <math><mo>(</mo><mi>x</mi><mo>&#x2212;</mo><mi>k</mi><mo>)</mo></math>
✗ | ⠷⠭⠤⠉⠾⠠ | <math><mrow><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mi>c</mi><mo stretchy="false">)</mo><mo>,</mo></mrow></math> | <math><mo>(</mo><mi>x</mi><mo>&#x2212;</mo><mi>c</mi><mo>)</mo><mo>&#x2032;</mo></math>
✗ | ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠂⠌⠭⠼ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mn>1</mn><mi>x</mi></mfrac></mrow></math> | <math><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>&#x2260;</mo><mrow><mo>{</mo><mn>0</mn><mo>,</mo><mi>x</mi><mo>}</mo></mrow></math>
✗ | ⠭⠀⠨⠅⠀⠭⠂⠠⠀⠭⠆⠠⠀⠄⠄⠄⠠⠀⠭⠰⠝⠠ | <math><mrow><mi>x</mi><mo>=</mo><msub><mi>x</mi><mn>1</mn></msub><mo>,</mo><msub><mi>x</mi><mn>2</mn></msub><mo>,</mo><mo>…</mo><mo>,</mo><msub><mi>x</mi><mi>n</mi></msub><mo>,</mo></mrow></math> | <math><mi>x</mi><mo>&#x2260;</mo><mrow><mo>{</mo><mi>k</mi><mo>,</mo><mi>x</mi><mo>&#x2032;</mo><mo>,</mo><mi>x</mi><mo>&#x2033;</mo><mo>,</mo><mo>&#x2026;</mo><mo>,</mo><msup><mi>x</mi><mi>n</mi></msup><mo>}</mo></mrow></math>
✗ | ⠭⠰⠊⠀⠨⠅⠀⠁⠝⠽⠀⠧⠰⠚⠠ | <math><mrow><msub><mi>x</mi><mi>i</mi></msub><mo>=</mo><mtext>any </mtext><msub><mi>v</mi><mi>j</mi></msub><mo>,</mo></mrow></math> | <math><msup><mi>x</mi><mi>i</mi></msup><mo>&#x2260;</mo><mtext>any</mtext><msup><mi>v</mi><mi>j</mi></msup></math>
✗ | ⠋⠘⠤⠂ | <math><msup><mi>f</mi><mrow><mo>−</mo><mn>1</mn></mrow></msup></math> | <math><mi>f</mi><mo>&#x2212;</mo><mn>1</mn></math>
✗ | ⠰⠋ | <math><mi>f</mi></math> | <math><msup><mi>f</mi><mo>&#x2032;</mo></msup></math>
✗ | ⠰⠭⠠ | <math><mrow><mi>x</mi><mo>,</mo></mrow></math> | <math><msup><mi>x</mi><mo>&#x2032;</mo></msup></math>
✗ | ⠰⠭ | <math><mi>x</mi></math> | <math><msup><mi>x</mi><mo>&#x2032;</mo></msup></math>
✗ | ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠂⠢⠠⠴⠴⠴⠭⠤⠴⠨⠂⠭⠘⠆⠐⠬⠂⠴⠴⠴⠌⠭⠼ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mn>15,000</mn><mi>x</mi><mo>−</mo><mn>0.1</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>1000</mn></mrow><mi>x</mi></mfrac></mrow></math> | <math><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>&#x2260;</mo><mrow><mo>{</mo><mn>0</mn><mo>,</mo><mrow><mo>&#x2026;</mo><mi>x</mi><mo>&#x2212;</mo><mi>.</mi><mi>x</mi><mo>&#x2212;</mo><mn>2</mn><mo>,</mo><mo>&#x2026;</mo><mo>,</mo><mi>x</mi><mo>}</mo></mrow></math>
✗ | ⠷⠽⠀⠨⠅⠀⠼⠴⠾⠀⠁⠎⠀⠭⠀⠫⠕⠀⠤⠤⠠⠿⠸⠲ | <math><mrow><mo stretchy="false">(</mo><mi>y</mi><mo>=</mo><mn>0</mn><mo stretchy="false">)</mo><mo> </mo><mtext>as</mtext><mo> </mo><mi>x</mi><mo stretchy="false">→</mo><mo>–</mo><mi>∞</mi><mo>.</mo></mrow></math> | <math><mo>(</mo><mi>y</mi><mo>&#x2260;</mo><mn>0</mn><mo>)</mo><mtext>as</mtext><mi>x</mi><mo>&#x2192;</mo><mo>&#x2212;</mo><mo>&#x221E;</mo><mo>=</mo></math>
✗ | ⠷⠽⠀⠨⠅⠀⠼⠴⠾⠀⠁⠎⠀⠭⠀⠫⠕⠀⠠⠿⠸⠲ | <math><mrow><mo stretchy="false">(</mo><mi>y</mi><mo>=</mo><mn>0</mn><mo stretchy="false">)</mo><mo> </mo><mtext>as</mtext><mo> </mo><mi>x</mi><mo stretchy="false">→</mo><mi>∞</mi><mo>.</mo></mrow></math> | <math><mo>(</mo><mi>y</mi><mo>&#x2260;</mo><mn>0</mn><mo>)</mo><mtext>as</mtext><mi>x</mi><mo>&#x2192;</mo><mo>&#x221E;</mo><mo>=</mo></math>
✗ | ⠭⠀⠐⠅⠀⠁ | <math><mrow><mi>x</mi><mo>&lt;</mo><mi>a</mi></mrow></math> | <math><mi>x</mi><mo>,</mo><mi>k</mi><mo>,</mo><mi>a</mi></math>
✗ | ⠭⠀⠨⠂⠀⠁ | <math><mrow><mi>x</mi><mo>&gt;</mo><mi>a</mi></mrow></math> | <math><mi>x</mi><mo>&#x2192;</mo><mi>a</mi></math>
✓ | ⠭⠀⠫⠕⠀⠤⠠⠿ | <math><mrow><mi>x</mi><mo stretchy="false">→</mo><mo>−</mo><mi>∞</mi></mrow></math> | <math><mi>x</mi><mo>&#x2192;</mo><mo>&#x2212;</mo><mo>&#x221E;</mo></math>
✓ | ⠋⠷⠭⠾⠀⠫⠕⠀⠤⠠⠿ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mo>−</mo><mi>∞</mi></mrow></math> | <math><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>&#x2192;</mo><mo>&#x2212;</mo><mo>&#x221E;</mo></math>
✗ | ⠭⠀⠨⠅⠀⠼⠴⠸⠆ | <math><mrow><mi>x</mi><mo>=</mo><mn>0</mn><mo>;</mo></mrow></math> | <math><mi>x</mi><mo>&#x2260;</mo><msup><mn>0</mn><mo>&#x2032;</mo></msup></math>
✗ | ⠠⠁⠎⠀⠭⠀⠫⠕⠀⠼⠴⠘⠬⠠⠀⠋⠷⠭⠾⠀⠫⠕⠀⠠⠿⠸⠲ | <math><mrow><mtext>As </mtext><mi>x</mi><mo stretchy="false">→</mo><msup><mn>0</mn><mo>+</mo></msup><mo>,</mo><mo> </mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mi>∞</mi><mo>.</mo></mrow></math> | <math><mtext>As</mtext><mi>x</mi><mo>&#x2192;</mo><msup><mn>0</mn><mo>&#x2212;</mo></msup><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>&#x2192;</mo><mo>&#x221E;</mo><mo>=</mo></math>
✗ | ⠠⠁⠎⠀⠭⠀⠫⠕⠀⠁⠘⠤⠤⠠⠀⠋⠷⠭⠾⠀⠫⠕⠀⠬⠤⠠⠿⠀⠕⠗⠀⠭⠀⠫⠕⠀⠁⠘⠬⠠⠀⠋⠷⠭⠾⠀⠫⠕⠀⠬⠤⠠⠿⠸⠲ | <math><mrow><mtext>As </mtext><mi>x</mi><mo stretchy="false">→</mo><msup><mi>a</mi><mo>–</mo></msup><mo>,</mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mo>±</mo><mi>∞</mi><mtext> or </mtext><mi>x</mi><mo stretchy="false">→</mo><msup><mi>a</mi><mo>+</mo></msup><mo>,</mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mo>±</mo><mi>∞</mi><mo>.</mo></mrow></math> | <math><mrow><mtext>As</mtext><mi>x</mi><mo>&gt;</mo><mi>a</mi><mo>&#x2212;</mo><mrow><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>&gt;</mo><mrow><mo>&#x2212;</mo><mo>&#x221E;</mo></mrow><mtext>or</mtext><mi>x</mi><mo>&gt;</mo><mi>a</mi><mo>&#x2212;</mo><mrow><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>&gt;</mo><mrow><mo>&#x2212;</mo><mo>&#x221E;</mo></mrow><mo>.</mo></mrow></math>
✗ | ⠽⠀⠨⠅⠀⠼⠴⠨ | <math><mrow><mi>y</mi><mo>=</mo><mn>0.</mn></mrow></math> | <math><mrow><mi>y</mi><mo>=</mo><mn>4</mn></mrow></math>
✗ | ⠠⠁⠎⠀⠭⠀⠫⠕⠀⠠⠿⠕⠗⠀⠭⠀⠫⠕⠀⠤⠠⠿⠠⠀⠐⠅⠍⠞⠑⠭⠞⠸⠌⠨⠂⠋⠷⠭⠾⠀⠫⠕⠀⠃⠸⠲ | <math><mrow><mtext>As </mtext><mi>x</mi><mo stretchy="false">→</mo><mi>∞</mi><mspace width="0.5em"></mspace><mtext>or </mtext><mi>x</mi><mo stretchy="false">→</mo><mo>−</mo><mi>∞</mi><mo>,</mo><mspace width="0.5em"></mspace><mtext>&lt;mtext/&gt;</mtext><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mi>b</mi><mo>.</mo></mrow></math> | <math><mrow><mtext>As</mtext><mi>x</mi><mo>&gt;</mo><mo>&#x221E;</mo><mtext>or</mtext><mi>x</mi><mo>&gt;</mo><mrow><mo>&#x2212;</mo><mo>&#x221E;</mo></mrow><mtext>,</mtext><mrow><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>&gt;</mo><mi>b</mi><mo>.</mo></mrow></math>
✗ | ⠭⠀⠨⠅⠀⠼⠆⠨ | <math><mrow><mi>x</mi><mo>=</mo><mn>2.</mn></mrow></math> | <math><mrow><mi>x</mi><mo>=</mo><mn>6</mn></mrow></math>
✗ | ⠽⠀⠨⠅⠀⠼⠲⠨ | <math><mrow><mi>y</mi><mo>=</mo><mn>4.</mn></mrow></math> | <math><mrow><mi>y</mi><mo>=</mo><mn>0</mn></mrow></math>
✗ | ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠂⠌⠭⠬⠆⠼⠬⠒ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mn>1</mn><mrow><mi>x</mi><mo>+</mo><mn>2</mn></mrow></mfrac><mo>+</mo><mn>3</mn></mrow></math> | <math><mrow><mrow><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><mrow><mo>(</mo><mfrac><mrow><mi>x</mi><mo>&#x2212;</mo><mn>2</mn></mrow><mrow><mn>2</mn></mrow></mfrac><mo>)</mo></mrow></mrow></math>
✗ | ⠭⠀⠨⠅⠀⠤⠼⠆⠠ | <math><mrow><mi>x</mi><mo>=</mo><mn>−2</mn><mo>,</mo></mrow></math> | <math><mrow><mi>x</mi><mo>=</mo><mrow><mo>&#x2212;</mo><mn>6</mn></mrow></mrow></math>
✗ | ⠠⠁⠎⠀⠭⠀⠫⠕⠀⠤⠼⠆⠘⠤⠠⠀⠋⠷⠭⠾⠀⠫⠕⠀⠤⠠⠿⠠⠀⠁⠝⠙⠀⠁⠎⠀⠭⠀⠫⠕⠀⠤⠼⠆⠘⠬⠠⠀⠋⠷⠭⠾⠀⠫⠕⠀⠠⠿⠸⠲ | <math><mrow><mtext>As </mtext><mi>x</mi><mo stretchy="false">→</mo><mo>−</mo><msup><mn>2</mn><mo>−</mo></msup><mo>,</mo><mo> </mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mo>−</mo><mi>∞</mi><mo>,</mo><mtext>and as</mtext><mo> </mo><mi>x</mi><mo stretchy="false">→</mo><mo>−</mo><msup><mn>2</mn><mo>+</mo></msup><mo>,</mo><mo> </mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mi>∞</mi><mo>.</mo></mrow></math> | <math><mrow><mtext>As</mtext><mi>x</mi><mo>&gt;</mo><mrow><mo>&#x2212;</mo><mn>6</mn></mrow><mo>&#x2212;</mo><mrow><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>&gt;</mo><mrow><mo>&#x2212;</mo><mo>&#x221E;</mo></mrow><mtext>and</mtext><mtext>as</mtext><mi>x</mi><mo>&gt;</mo><mrow><mo>&#x2212;</mo><mn>6</mn></mrow><mo>&#x2212;</mo><mrow><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>&gt;</mo><mo>&#x221E;</mo><mo>.</mo></mrow></math>
✗ | ⠠⠁⠎⠀⠭⠀⠫⠕⠀⠬⠤⠠⠿⠠⠀⠋⠷⠭⠾⠀⠫⠕⠀⠼⠒⠨ | <math><mrow><mtext>As </mtext><mi>x</mi><mo stretchy="false">→</mo><mo>±</mo><mi>∞</mi><mo>,</mo><mo> </mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mn>3.</mn></mrow></math> | <math><mrow><mtext>As</mtext><mi>x</mi><mo>&gt;</mo><mrow><mo>&#x2212;</mo><mo>&#x221E;</mo></mrow><mrow><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>&gt;</mo><mn>2</mn></mrow></math>
✓ | ⠠⠏⠷⠭⠾⠀⠁⠝⠙⠀⠠⠟⠷⠭⠾⠸⠲ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo> </mo><mtext>and</mtext><mo> </mo><mi>Q</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>.</mo></mrow></math> | <math><mrow><mrow><mi>P</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mtext>and</mtext><mrow><mi>Q</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>.</mo></mrow></math>
✓ | ⠰⠞ | <math><mi>t</mi></math> | <math><mrow><mi>t</mi></mrow></math>
✓ | ⠰⠠⠉ | <math><mi>C</mi></math> | <math><mrow><mi>C</mi></mrow></math>
✓ | ⠠⠉⠷⠞⠾ | <math><mrow><mi>C</mi><mrow><mo>(</mo><mi>t</mi><mo>)</mo></mrow></mrow></math> | <math><mrow><mrow><mi>C</mi><mo>(</mo><mi>t</mi><mo>)</mo></mrow></mrow></math>
