# Configuration:
#   Braille Code: ueb
#   Generate Braille: True
#   Model: gemini-3-pro-preview 
#   API Key: GEMINI_PAID_API_KEY
#   Batch Size: 40
#   Number of Examples: 2352
#   Example Braille File: RustTestData/UEB.brls
#   Example MathML File: RustTestData/UEB.mmls
#   Input Braille Dir: test_data/UEB.brls
#   Input MathML Dir: test_data/mathml.mmls
#
# 320 items. Usage info: prompt=2471475, candidates=20134, total=2586930, time=98951ms, TPS=4914.622032383034.2f
#
# Match | Test Input | Expected | Computed
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>1</mn><mrow><mi>x</mi><mo>−</mo><mn>2</mn></mrow></mfrac></mstyle><mo>÷</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>2</mn><mi>x</mi></mfrac></mstyle></math> | ⠰⠷⠼⠁⠨⠌⠭⠐⠤⠼⠃⠾⠐⠌⠷⠼⠃⠨⠌⠭⠾ | ⠰⠷⠼⠁⠨⠌⠭⠐⠤⠼⠃⠾⠐⠌⠷⠼⠃⠨⠌⠭⠾
✗ | <math><mrow><mo>−</mo><mfrac><mi>b</mi><mrow><mn>2</mn><mi>a</mi></mrow></mfrac><mo>.</mo></mrow></math> | ⠰⠰⠐⠤⠷⠃⠨⠌⠼⠃⠰⠁⠾⠲ | ⠰⠐⠤⠷⠃⠨⠌⠼⠃⠁⠾⠲
✓ | <math><mrow><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><mn>−2</mn><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>8</mn><mi>x</mi><mo>−</mo><mn>3</mn></mrow></math> | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠐⠤⠼⠃⠭⠔⠼⠃⠐⠤⠼⠓⠭⠐⠤⠼⠉ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠐⠤⠼⠃⠭⠔⠼⠃⠐⠤⠼⠓⠭⠐⠤⠼⠉
✓ | <math><mfrac><mn>64</mn><mn>121</mn></mfrac></math> | ⠼⠋⠙⠌⠁⠃⠁ | ⠼⠋⠙⠌⠁⠃⠁
✗ | <math><mrow><mtext>$1.17</mtext><mo>?</mo></mrow></math> | ⠈⠎⠼⠁⠲⠼⠁⠛⠦ | ⠈⠎⠼⠁⠲⠁⠛⠦
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>b</mi></math> | ⠰⠃ | ⠰⠃
✗ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mfrac><mtext>total price</mtext><mtext>number of gallons</mtext></mfrac></mstyle><mtext>,</mtext></math> | ⠰⠰⠰⠷⠞⠕⠞⠁⠇⠀⠏⠗⠊⠉⠑⠨⠌⠝⠥⠍⠃⠑⠗⠀⠕⠋⠀⠛⠁⠇⠇⠕⠝⠎⠾⠂⠀⠰⠄ | ⠰⠰⠰⠷⠞⠕⠞⠁⠇⠀⠏⠗⠊⠉⠑⠨⠌⠝⠥⠍⠃⠑⠗⠀⠕⠋⠀⠛⠁⠇⠇⠕⠝⠎⠾⠂⠰⠄
✗ | <math xmlns="http://www.w3.org/1998/Math/MathML"><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>16</mn><mo>,</mo><mtext> </mtext><mtext> </mtext><mtext> </mtext><mtext> </mtext><mtext> </mtext><mtext> </mtext><mn>9</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>4</mn><msup><mi>y</mi><mn>2</mn></msup><mo>,</mo><mtext> </mtext><mtext> </mtext><mtext> </mtext><mtext> </mtext><mtext> </mtext><mtext> </mtext><mtext>and</mtext><mtext> </mtext><mtext> </mtext><mtext> </mtext><mtext> </mtext><mtext> </mtext><mtext> </mtext><mn>25</mn><msup><mi>y</mi><mn>4</mn></msup><mo>+</mo><msup><mi>w</mi><mn>4</mn></msup></math> | ⠭⠰⠔⠼⠃⠐⠖⠼⠁⠋⠂⠀⠬⠼⠊⠭⠔⠼⠃⠐⠖⠼⠙⠽⠔⠼⠃⠂⠀⠬⠯⠬⠼⠃⠑⠽⠔⠼⠙⠐⠖⠺⠔⠼⠙ | ⠰⠭⠔⠼⠃⠐⠖⠼⠁⠋⠂⠀⠼⠊⠭⠔⠼⠃⠐⠖⠼⠙⠽⠔⠼⠃⠂⠀⠁⠝⠙⠀⠼⠃⠑⠽⠔⠼⠙⠐⠖⠺⠔⠼⠙
✓ | <math><mrow><mo>{</mo><mrow><mn>0</mn><mo>,</mo><mfrac><mn>1</mn><mn>2</mn></mfrac><mo>,</mo><mn>1</mn><mo>,</mo><mfrac><mn>3</mn><mn>2</mn></mfrac><mo>,</mo><mn>2</mn><mo>,</mo><mn>...</mn></mrow><mo>}</mo></mrow></math> | ⠸⠣⠼⠚⠂⠀⠼⠁⠌⠃⠂⠀⠼⠁⠂⠀⠼⠉⠌⠃⠂⠀⠼⠃⠂⠀⠼⠲⠲⠲⠸⠜ | ⠸⠣⠼⠚⠂⠀⠼⠁⠌⠃⠂⠀⠼⠁⠂⠀⠼⠉⠌⠃⠂⠀⠼⠃⠂⠀⠼⠲⠲⠲⠸⠜
✓ | <math><mrow><mn>3</mn><mi>m</mi><mrow><mo>(</mo><mrow><mn>4</mn><mo>+</mo><mn>7</mn></mrow><mo>)</mo></mrow><mo>−</mo><mi>m</mi></mrow></math> | ⠼⠉⠍⠐⠣⠼⠙⠐⠖⠼⠛⠐⠜⠐⠤⠍ | ⠼⠉⠍⠐⠣⠼⠙⠐⠖⠼⠛⠐⠜⠐⠤⠍
✓ | <math><mrow><mn>1</mn><mo>≤</mo><mi>x</mi><mo>≤</mo><mn>9</mn></mrow></math> | ⠼⠁⠀⠸⠈⠣⠀⠰⠭⠀⠸⠈⠣⠀⠼⠊ | ⠼⠁⠀⠸⠈⠣⠀⠰⠭⠀⠸⠈⠣⠀⠼⠊
✓ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></math> | ⠋⠐⠣⠞⠐⠜⠀⠐⠶⠀⠉⠕⠎⠐⠣⠞⠐⠜ | ⠋⠐⠣⠞⠐⠜⠀⠐⠶⠀⠉⠕⠎⠐⠣⠞⠐⠜
✓ | <math><mrow><mi>e</mi><mo>≈</mo><mn>2.718281827</mn></mrow></math> | ⠰⠑⠀⠘⠔⠀⠼⠃⠲⠛⠁⠓⠃⠓⠁⠓⠃⠛ | ⠰⠑⠀⠘⠔⠀⠼⠃⠲⠛⠁⠓⠃⠓⠁⠓⠃⠛
✓ | <math><mrow><msup><mrow><mo>(</mo><mroot><mn>8</mn><mn>3</mn></mroot><mo>)</mo></mrow><mn>3</mn></msup><mo>=</mo><mn>8</mn></mrow></math> | ⠰⠰⠐⠣⠩⠔⠼⠉⠼⠓⠬⠐⠜⠔⠼⠉⠀⠐⠶⠀⠼⠓ | ⠰⠰⠐⠣⠩⠔⠼⠉⠼⠓⠬⠐⠜⠔⠼⠉⠀⠐⠶⠀⠼⠓
✗ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtable displaystyle="true" columnalign="right left" columnspacing="0em" rowspacing="3pt" minlabelspacing=".8em"><mtr><mtd><msup><mi>m</mi><mn>2</mn></msup><mo>−</mo><mn>6</mn><mi>m</mi></mtd><mtd><mi/><mo>=</mo><mn>0</mn></mtd></mtr><mtr><mtd><msup><mi>m</mi><mn>2</mn></msup></mtd><mtd><mi/><mo>=</mo><mn>6</mn><mi>m</mi></mtd></mtr><mtr><mtd><mstyle displaystyle="true" scriptlevel="0"><mfrac><msup><mi>m</mi><mn>2</mn></msup><mi>m</mi></mfrac></mstyle></mtd><mtd><mi/><mo>=</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mn>6</mn><mi>m</mi></mrow><mi>m</mi></mfrac></mstyle></mtd></mtr><mtr><mtd><mi>a</mi></mtd><mtd><mi/><mo>=</mo><mn>6</mn></mtd></mtr></mtable></math> | ⠰⠰⠰⠠⠍⠔⠼⠃⠐⠤⠼⠋⠍⠀⠐⠶⠀⠼⠚⠠⠠⠍⠔⠼⠃⠀⠐⠶⠀⠼⠋⠍⠠⠠⠷⠍⠔⠼⠃⠨⠌⠍⠾⠀⠐⠶⠀⠷⠼⠋⠍⠨⠌⠍⠾⠠⠠⠁⠀⠐⠶⠀⠼⠋⠠⠰⠄ | ⠰⠰⠰⠍⠔⠼⠃⠐⠤⠼⠋⠍⠀⠐⠶⠀⠼⠚⠠⠠⠍⠔⠼⠃⠀⠐⠶⠀⠼⠋⠍⠠⠠⠷⠍⠔⠼⠃⠨⠌⠍⠾⠀⠐⠶⠀⠷⠼⠋⠍⠨⠌⠍⠾⠠⠠⠁⠀⠐⠶⠀⠼⠋⠰⠄
✗ | <math><mrow><mi>a</mi><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mi>b</mi><mi>x</mi><mo>+</mo><mi>c</mi><mo>=</mo><mn>0</mn><mo>.</mo></mrow></math> | ⠁⠭⠰⠔⠼⠃⠐⠖⠃⠭⠐⠖⠉⠀⠐⠶⠀⠼⠚⠲ | ⠁⠭⠔⠼⠃⠐⠖⠃⠭⠐⠖⠉⠀⠐⠶⠀⠼⠚⠲
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>3.5</mn></math> | ⠼⠉⠲⠑ | ⠼⠉⠲⠑
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mo stretchy="false">(</mo><mo>−</mo><mn>3</mn><mo>,</mo><mo>−</mo><mn>4</mn><mo stretchy="false">)</mo><mtext>.</mtext></math> | ⠐⠣⠐⠤⠼⠉⠂⠀⠐⠤⠼⠙⠐⠜⠲ | ⠐⠣⠐⠤⠼⠉⠂⠀⠐⠤⠼⠙⠐⠜⠲
✗ | <math><mrow><mo>−</mo><mn>7</mn><mtext>,</mtext></mrow></math> | ⠐⠤⠼⠛⠂⠀ | ⠐⠤⠼⠛⠂
✓ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>R</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mn>50</mn><mn>80</mn></mfrac><mo>=</mo><mn>0.62</mn></mrow></math> | ⠠⠏⠐⠣⠠⠗⠐⠜⠀⠐⠶⠀⠼⠑⠚⠌⠓⠚⠀⠐⠶⠀⠼⠚⠲⠋⠃ | ⠠⠏⠐⠣⠠⠗⠐⠜⠀⠐⠶⠀⠼⠑⠚⠌⠓⠚⠀⠐⠶⠀⠼⠚⠲⠋⠃
✗ | <math xmlns="http://www.w3.org/1998/Math/MathML"><msup><mi>a</mi><mn>2</mn></msup><mo>−</mo><msup><mi>b</mi><mn>2</mn></msup><mtext>?</mtext></math> | ⠁⠰⠔⠼⠃⠐⠤⠃⠔⠼⠃⠦ | ⠁⠔⠼⠃⠐⠤⠃⠔⠼⠃⠦
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>5</mn><mtext>.</mtext></math> | ⠼⠑⠲ | ⠼⠑⠲
✓ | <math><msup><mn>81</mn><mfrac><mn>3</mn><mn>4</mn></mfrac></msup></math> | ⠼⠓⠁⠔⠼⠉⠌⠙ | ⠼⠓⠁⠔⠼⠉⠌⠙
✗ | <math><mrow><mn>4.4</mn><mtext>,</mtext></mrow></math> | ⠼⠙⠲⠙⠂⠀ | ⠼⠙⠲⠙⠂
✗ | <math><mrow><mtext>$1.95</mtext><mo>?</mo></mrow></math> | ⠈⠎⠼⠁⠲⠼⠊⠑⠦ | ⠈⠎⠼⠁⠲⠊⠑⠦
✓ | <math><mrow><mi>X</mi><mspace width="2px"></mspace><mo>~</mo><mspace width="2px"></mspace><mi>E</mi><mi>x</mi><mi>p</mi><mo stretchy="false">(</mo><mi>m</mi><mo stretchy="false">)</mo></mrow></math> | ⠰⠠⠭⠀⠈⠔⠀⠠⠑⠭⠏⠐⠣⠍⠐⠜ | ⠰⠠⠭⠀⠈⠔⠀⠠⠑⠭⠏⠐⠣⠍⠐⠜
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mn>2</mn><mi>θ</mi><mo stretchy="false">)</mo></mstyle></math> | ⠎⠔⠐⠣⠼⠃⠨⠹⠐⠜ | ⠎⠔⠐⠣⠼⠃⠨⠹⠐⠜
✓ | <math><mn>−1</mn></math> | ⠐⠤⠼⠁ | ⠐⠤⠼⠁
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mi>f</mi><mo stretchy="false">(</mo><mn>2</mn><mo stretchy="false">)</mo></mstyle></math> | ⠋⠐⠣⠼⠃⠐⠜ | ⠋⠐⠣⠼⠃⠐⠜
✗ | <math><mrow><mi>X</mi><mo>=</mo><mtext> number of diamonds</mtext></mrow></math> | ⠰⠠⠭⠀⠐⠶⠀⠝⠥⠍⠃⠻⠀⠷⠀⠙⠊⠁⠍⠕⠝⠙⠎ | ⠰⠠⠭⠀⠐⠶⠀⠝⠥⠍⠃⠑⠗⠀⠕⠋⠀⠙⠊⠁⠍⠕⠝⠙⠎
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mo stretchy="false">(</mo><msup><mn>1.07</mn><mn>5</mn></msup><msup><mo stretchy="false">)</mo><mn>3</mn></msup></mstyle></math> | ⠐⠣⠼⠁⠲⠚⠛⠔⠼⠑⠐⠜⠔⠼⠉ | ⠐⠣⠼⠁⠲⠚⠛⠔⠼⠑⠐⠜⠔⠼⠉
✓ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mn>60</mn><mo stretchy="false">)</mo><mo>=</mo><mn>0.04</mn></mrow></math> | ⠋⠐⠣⠼⠋⠚⠐⠜⠀⠐⠶⠀⠼⠚⠲⠚⠙ | ⠋⠐⠣⠼⠋⠚⠐⠜⠀⠐⠶⠀⠼⠚⠲⠚⠙
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><msup><mn>5</mn><mi>x</mi></msup><mtext> </mtext><mtext>.</mtext></math> | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠑⠔⠭⠀⠲ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠑⠔⠭⠀⠲
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></math> | ⠋⠐⠣⠭⠐⠜ | ⠋⠐⠣⠭⠐⠜
✗ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">(</mo><msup><mi>cos</mi><mrow data-mjx-texclass="ORD"><mo>−</mo><mn>1</mn></mrow></msup><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo data-mjx-texclass="CLOSE">)</mo></mrow><mo>=</mo><mi>x</mi><mtext> </mtext><mtext> </mtext><mtext> </mtext><mtext> </mtext><mtext>for</mtext><mtext> </mtext><mo>−</mo><mn>1</mn><mo>≤</mo><mi>x</mi><mo>≤</mo><mn>1</mn></math> | ⠰⠰⠰⠉⠕⠎⠐⠣⠉⠕⠎⠔⠣⠐⠤⠼⠁⠜⠐⠣⠭⠐⠜⠐⠜⠀⠐⠶⠀⠭⠬⠋⠕⠗⠀⠐⠤⠼⠁⠀⠸⠈⠣⠀⠭⠀⠸⠈⠣⠀⠼⠁⠰⠄ | ⠰⠰⠰⠉⠕⠎⠐⠣⠉⠕⠎⠔⠣⠐⠤⠼⠁⠜⠐⠣⠭⠐⠜⠐⠜⠀⠐⠶⠀⠭⠀⠋⠕⠗⠀⠐⠤⠼⠁⠀⠸⠈⠣⠀⠭⠀⠸⠈⠣⠀⠼⠁⠰⠄
✓ | <math><mrow><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><mn>−4</mn><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>12</mn><mi>x</mi><mo>−</mo><mn>9</mn></mrow></math> | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠐⠤⠼⠙⠭⠔⠼⠃⠐⠤⠼⠁⠃⠭⠐⠤⠼⠊ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠐⠤⠼⠙⠭⠔⠼⠃⠐⠤⠼⠁⠃⠭⠐⠤⠼⠊
✗ | <math><mrow><mi>F</mi><mo>=</mo><mfrac><mrow><mo>[</mo><mfrac><msup><mrow><mo stretchy="false">(</mo><msub><mi>s</mi><mn>1</mn></msub><mo stretchy="false">)</mo></mrow><mn>2</mn></msup><msup><mrow><mo stretchy="false">(</mo><msub><mi>σ</mi><mn>1</mn></msub><mo stretchy="false">)</mo></mrow><mn>2</mn></msup></mfrac><mo>]</mo></mrow><mrow><mo>[</mo><mfrac><msup><mrow><mo stretchy="false">(</mo><msub><mi>s</mi><mn>2</mn></msub><mo stretchy="false">)</mo></mrow><mn>2</mn></msup><msup><mrow><mo stretchy="false">(</mo><msub><mi>σ</mi><mn>2</mn></msub><mo stretchy="false">)</mo></mrow><mn>2</mn></msup></mfrac><mo>]</mo></mrow></mfrac><mo>=</mo><mfrac><msup><mrow><mo stretchy="false">(</mo><msub><mi>s</mi><mn>1</mn></msub><mo stretchy="false">)</mo></mrow><mn>2</mn></msup><msup><mrow><mo stretchy="false">(</mo><msub><mi>s</mi><mn>2</mn></msub><mo stretchy="false">)</mo></mrow><mn>2</mn></msup></mfrac><mo>=</mo><mfrac><mn>52.3</mn><mn>89.9</mn></mfrac><mo>=</mo><mn>0.5818.</mn></mrow></math> | ⠰⠰⠰⠠⠋⠀⠐⠶⠀⠷⠨⠣⠷⠐⠣⠎⠢⠼⠁⠐⠜⠔⠼⠃⠨⠌⠐⠣⠨⠎⠢⠼⠁⠐⠜⠔⠼⠃⠾⠨⠜⠨⠌⠨⠣⠷⠐⠣⠎⠢⠼⠃⠐⠜⠔⠼⠃⠨⠌⠐⠣⠨⠎⠢⠼⠃⠐⠜⠔⠼⠃⠾⠨⠜⠾⠀⠐⠶⠀⠷⠐⠣⠎⠢⠼⠁⠐⠜⠔⠼⠃⠨⠌⠐⠣⠎⠢⠼⠃⠐⠜⠔⠼⠃⠾⠀⠐⠶⠀⠼⠑⠃⠲⠉⠌⠓⠊⠲⠊⠀⠐⠶⠀⠼⠚⠲⠑⠓⠁⠓⠲⠰⠄ | ⠰⠰⠰⠠⠋⠀⠐⠶⠀⠷⠨⠣⠷⠐⠣⠎⠢⠼⠁⠐⠜⠔⠼⠃⠨⠌⠐⠣⠨⠎⠢⠼⠁⠐⠜⠔⠼⠃⠾⠨⠜⠨⠌⠨⠣⠷⠐⠣⠎⠢⠼⠃⠐⠜⠔⠼⠃⠨⠌⠐⠣⠨⠎⠢⠼⠃⠐⠜⠔⠼⠃⠾⠨⠜⠾⠀⠐⠶⠀⠷⠐⠣⠎⠢⠼⠁⠐⠜⠔⠼⠃⠨⠌⠐⠣⠎⠢⠼⠃⠐⠜⠔⠼⠃⠾⠀⠐⠶⠀⠷⠼⠑⠃⠲⠉⠨⠌⠼⠓⠊⠲⠊⠾⠀⠐⠶⠀⠼⠚⠲⠑⠓⠁⠓⠲⠰⠄
✗ | <math><mrow><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mi>c</mi><mo stretchy="false">)</mo><mo>,</mo></mrow></math> | ⠐⠣⠭⠐⠤⠉⠐⠜⠂⠀ | ⠐⠣⠭⠐⠤⠉⠐⠜⠂
✓ | <math><mrow><mn>1</mn><mo>,</mo><mn>083</mn></mrow></math> | ⠼⠁⠂⠚⠓⠉ | ⠼⠁⠂⠚⠓⠉
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mi>y</mi><mo>=</mo><mn>3</mn><mi>x</mi><mo>+</mo><mn>2</mn><mtext> </mtext></math> | ⠀⠰⠽⠀⠐⠶⠀⠼⠉⠭⠐⠖⠼⠃⠀ | ⠀⠰⠽⠀⠐⠶⠀⠼⠉⠭⠐⠖⠼⠃⠀
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>10</mn></math> | ⠼⠁⠚ | ⠼⠁⠚
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>b</mi></math> | ⠰⠃ | ⠰⠃
