# Configuration:
#   Braille Code: ueb
#   Generate Braille: False
#   Model: gemini-3-pro-preview
#   API Key: GEMINI_PAID_API_KEY
#   Batch Size: 40
#   Number of Examples: 2352
#   Example Braille File: RustTestData/UEB.brls
#   Example MathML File: RustTestData/UEB.mmls
#   Input Braille Dir: test_data/UEB
#   Input MathML Dir: test_data/MathML
#
# 200 items. Usage info: prompt=1541414, candidates=12022, total=1593928, time=60293ms, TPS=5015.222092829812.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠋⠐⠣⠞⠐⠜⠀⠐⠶⠀⠁⠃⠰⠔⠞ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>a</mi> <mo>⁢</mo> <msup> <mi>b</mi> <mi>t</mi> </msup> </mrow> </mrow> </math> | <math><mi>f</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></math>
✓ | ⠉⠎⠉⠐⠣⠞⠐⠜⠀⠐⠶⠀⠰⠷⠼⠁⠨⠌⠎⠊⠝⠐⠣⠞⠐⠜⠾⠲ | <math> <mrow> <mrow> <mrow> <mi>csc</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mn>1</mn> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mfrac> </mrow> <mo>.</mo> </mrow> </math> | <math><mrow><mi>csc</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mn>1</mn><mrow><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></mfrac><mo>.</mo></mrow></math>
✓ | ⠉⠕⠞⠐⠣⠞⠐⠜⠀⠐⠶⠀⠰⠰⠷⠉⠕⠎⠐⠣⠞⠐⠜⠨⠌⠎⠊⠝⠐⠣⠞⠐⠜⠾⠲ | <math> <mrow> <mrow> <mrow> <mi>cot</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mfrac> </mrow> <mo>.</mo> </mrow> </math> | <math><mrow><mi>cot</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow><mrow><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></mfrac><mo>.</mo></mrow></math>
✓ | ⠎⠔⠐⠣⠨⠹⠐⠜⠂⠀ | <math> <mrow> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>θ</mi> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math><mrow><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>θ</mi><mo stretchy="false">)</mo><mo>,</mo></mrow></math>
✓ | ⠞⠁⠝⠐⠣⠨⠹⠐⠜ | <math> <mrow> <mi>tan</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>θ</mi> <mo>)</mo> </mrow> </mrow> </math> | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>tan</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>θ</mi><mo stretchy="false">)</mo></math>
✓ | ⠨⠹⠲ | <math> <mrow> <mi>θ</mi> <mo>.</mo> </mrow> </math> | <math><mrow><mi>θ</mi><mo>.</mo></mrow></math>
✓ | ⠨⠁ | <math> <mi>α</mi> </math> | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>α</mi></math>
✗ | ⠉⠎⠉⠐⠣⠨⠁⠐⠜⠀⠐⠶⠀⠼⠑⠌⠉⠂⠀ | <math> <mrow> <mrow> <mrow> <mi>csc</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>α</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mn>5</mn> <mn>3</mn> </mfrac> </mrow> <mo>,</mo> </mrow> </math> | <math><mrow><mi>csc</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>α</mi><mo stretchy="false">)</mo><mo>=</mo><mn>5</mn><mo>/</mo><mn>3</mn><mo>,</mo></mrow></math>
✓ | ⠼⠑⠂⠀ | <math> <mrow> <mn>5</mn> <mo>,</mo> </mrow> </math> | <math><mrow><mn>5</mn><mo>,</mo></mrow></math>
✓ | ⠼⠙⠂⠀ | <math> <mrow> <mn>4</mn> <mo>,</mo> </mrow> </math> | <math><mrow><mn>4</mn><mo>,</mo></mrow></math>
✗ | ⠎⠔⠐⠣⠨⠁⠐⠜⠀⠐⠶⠀⠼⠉⠌⠑ | <math> <mrow> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>α</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mn>3</mn> <mn>5</mn> </mfrac> </mrow> </math> | <math><mrow><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>α</mi><mo stretchy="false">)</mo><mo>=</mo><mn>3</mn><mo>/</mo><mn>5</mn></mrow></math>
✗ | ⠼⠉⠌⠑⠲ | <math> <mrow> <mfrac> <mn>3</mn> <mn>5</mn> </mfrac> <mo>.</mo> </mrow> </math> | <math><mrow><mn>3</mn><mo>/</mo><mn>5.</mn></mrow></math>
✓ | ⠰⠰⠷⠩⠼⠃⠬⠨⠌⠼⠃⠾⠂⠀ | <math> <mrow> <mfrac> <msqrt> <mn>2</mn> </msqrt> <mn>2</mn> </mfrac> <mo>,</mo> </mrow> </math> | <math><mrow><mfrac><msqrt><mn>2</mn></msqrt><mn>2</mn></mfrac><mo>,</mo></mrow></math>
✓ | ⠨⠃ | <math> <mi>β</mi> </math> | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>β</mi></math>
✓ | ⠨⠃⠲ | <math> <mrow> <mi>β</mi> <mo>.</mo> </mrow> </math> | <math><mrow><mi>β</mi><mo>.</mo></mrow></math>
✓ | ⠉⠕⠎⠐⠣⠞⠐⠜⠀⠐⠶⠀⠼⠚⠂⠀ | <math> <mrow> <mrow> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0</mn> </mrow> <mo>,</mo> </mrow> </math> | <math><mrow><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mn>0</mn><mo>,</mo></mrow></math>
✗ | ⠸⠳⠉⠕⠎⠐⠣⠞⠐⠜⠸⠳⠀⠸⠈⠣⠀⠼⠁ | <math> <mrow> <mrow> <mo>|</mo> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>|</mo> </mrow> <mo>≤</mo> <mn>1</mn> </mrow> </math> | 38) <math><mrow><mo stretchy="false">|</mo><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo stretchy="false">|</mo><mo>≤</mo><mn>1</mn></mrow></math>
✓ | ⠼⠚ | <math> <mn>0</mn> </math> | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>0</mn></math>
✓ | ⠰⠰⠷⠨⠏⠨⠌⠼⠙⠾ | <math> <mfrac> <mi>π</mi> <mn>4</mn> </mfrac> </math> | <math><mfrac><mi>π</mi><mn>4</mn></mfrac></math>
✓ | ⠋⠐⠣⠞⠐⠜⠀⠐⠶⠀⠁⠃⠰⠔⠞ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></mrow></math> | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></mrow></math>
✓ | ⠛⠐⠣⠞⠐⠜⠀⠐⠶⠀⠁⠃⠰⠔⠞⠐⠖⠉ | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup><mo>+</mo><mi>c</mi></mrow></math> | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup><mo>+</mo><mi>c</mi></mrow></math>
✓ | ⠼⠁⠚ | <math><mn>10</mn></math> | <math><mn>10</mn></math>
✓ | ⠼⠃⠐⠖⠼⠉⠀⠐⠶⠀⠼⠑⠒ | <math><mrow><mn>2</mn><mo>+</mo><mn>3</mn><mo>=</mo><mn>5</mn><mtext>:</mtext></mrow></math> | <math><mrow><mn>2</mn><mo>+</mo><mn>3</mn><mo>=</mo><mn>5</mn><mo>:</mo></mrow></math>
✓ | ⠼⠃ | <math><mn>2</mn></math> | <math><mn>2</mn></math>
✓ | ⠼⠃⠐⠲⠼⠉⠀⠐⠶⠀⠼⠋⠲ | <math><mrow><mn>2</mn><mo>⋅</mo><mn>3</mn><mo>=</mo><mn>6</mn><mtext>.</mtext></mrow></math> | <math><mrow><mn>2</mn><mo>⋅</mo><mn>3</mn><mo>=</mo><mn>6</mn><mtext>.</mtext></mrow></math>
✓ | ⠰⠰⠰⠋⠒⠀⠠⠃⠀⠳⠕⠀⠠⠉⠂⠀⠰⠄ | <math><mrow><mi>f</mi><mo>:</mo><mi>B</mi><mo accent="false" stretchy="false">→</mo><mi>C</mi><mtext>,</mtext></mrow></math> | <math><mrow><mi>f</mi><mo>:</mo><mi>B</mi><mo stretchy="false">→</mo><mi>C</mi><mo>,</mo></mrow></math>
✓ | ⠐⠣⠋⠐⠴⠛⠐⠜⠐⠣⠭⠐⠜⠀⠐⠶⠀⠋⠐⠣⠛⠐⠣⠭⠐⠜⠐⠜⠲ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>∘</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mi>f</mi><mo stretchy="false">(</mo><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>∘</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mi>f</mi><mo stretchy="false">(</mo><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math>
✓ | ⠰⠛ | <math><mi>g</mi></math> | <math><mi>g</mi></math>
✓ | ⠰⠋ | <math><mi>f</mi></math> | <math><mi>f</mi></math>
✓ | ⠰⠟ | <math><mi>q</mi></math> | <math><mi>q</mi></math>
✓ | ⠰⠟⠂⠀ | <math><mrow><mi>q</mi><mtext>,</mtext></mrow></math> | <math><mrow><mi>q</mi><mtext>,</mtext></mrow></math>
✓ | ⠰⠏⠲ | <math><mrow><mi>p</mi><mtext>.</mtext></mrow></math> | <math><mrow><mi>p</mi><mtext>.</mtext></mrow></math>
✓ | ⠋⠐⠣⠭⠐⠜ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math>
✓ | ⠰⠛⠲ | <math><mrow><mi>g</mi><mtext>.</mtext></mrow></math> | <math><mrow><mi>g</mi><mtext>.</mtext></mrow></math>
✓ | ⠓⠐⠣⠭⠐⠜⠀⠐⠶⠀⠋⠐⠣⠭⠐⠜⠐⠖⠛⠐⠣⠭⠐⠜⠲ | <math><mrow><mi>h</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>+</mo><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mrow><mi>h</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>+</mo><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math>
✓ | ⠗⠐⠣⠭⠐⠜⠀⠐⠶⠀⠏⠐⠣⠭⠐⠜⠐⠤⠟⠐⠣⠭⠐⠜⠲ | <math><mrow><mi>r</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mi>p</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>−</mo><mi>q</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mrow><mi>r</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mi>p</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>−</mo><mi>q</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math>
✓ | ⠗⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠚⠦ | <math><mrow><mi>r</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>0</mn><mtext>?</mtext></mrow></math> | <math><mrow><mi>r</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>0</mn><mtext>?</mtext></mrow></math>
✓ | ⠅⠐⠣⠼⠚⠐⠜⠲ | <math><mrow><mi>k</mi><mo stretchy="false">(</mo><mn>0</mn><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mrow><mi>k</mi><mo stretchy="false">(</mo><mn>0</mn><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math>
✓ | ⠎⠐⠣⠼⠁⠐⠜ | <math><mrow><mi>s</mi><mo stretchy="false">(</mo><mn>1</mn><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>s</mi><mo stretchy="false">(</mo><mn>1</mn><mo stretchy="false">)</mo></mrow></math>
✓ | ⠎⠐⠣⠭⠐⠜ | <math><mrow><mi>s</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>s</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math>
✓ | ⠼⠉⠭⠐⠤⠼⠙⠽⠀⠐⠶⠀⠼⠛⠦ | <math><mrow><mn>3</mn><mi>x</mi><mo>−</mo><mn>4</mn><mi>y</mi><mo>=</mo><mn>7</mn><mtext>?</mtext></mrow></math> | <math><mrow><mn>3</mn><mi>x</mi><mo>−</mo><mn>4</mn><mi>y</mi><mo>=</mo><mn>7</mn><mtext>?</mtext></mrow></math>
✓ | ⠰⠭⠀⠐⠶⠀⠐⠤⠼⠃⠦ | <math><mrow><mi>x</mi><mo>=</mo><mo>−</mo><mn>2</mn><mtext>?</mtext></mrow></math> | <math><mrow><mi>x</mi><mo>=</mo><mo>−</mo><mn>2</mn><mtext>?</mtext></mrow></math>
✓ | ⠟⠐⠣⠭⠐⠜⠀⠐⠶⠀⠐⠤⠼⠉⠭⠔⠼⠃⠐⠖⠼⠑⠭⠐⠤⠼⠛ | <math><mrow><mi>q</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mo>−</mo><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>5</mn><mi>x</mi><mo>−</mo><mn>7</mn></mrow></math> | <math><mrow><mi>q</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mo>−</mo><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>5</mn><mi>x</mi><mo>−</mo><mn>7</mn></mrow></math>
✓ | ⠎⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠑⠭ | <math><mrow><mi>s</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>5</mn><mi>x</mi></mrow></math> | <math><mrow><mi>s</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>5</mn><mi>x</mi></mrow></math>
✓ | ⠰⠍⠀⠐⠶⠀⠼⠑⠂⠀ | <math><mrow><mi>m</mi><mo>=</mo><mn>5</mn><mtext>,</mtext></mrow></math> | <math><mrow><mi>m</mi><mo>=</mo><mn>5</mn><mtext>,</mtext></mrow></math>
✓ | ⠰⠉⠂⠀ | <math><mrow><mi>c</mi><mtext>,</mtext></mrow></math> | <math><mrow><mi>c</mi><mtext>,</mtext></mrow></math>
✓ | ⠰⠺ | <math><mi>w</mi></math> | <math><mi>w</mi></math>
✓ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠉⠭⠔⠼⠃⠐⠖⠼⠙ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>4</mn></mrow></math> | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>4</mn></mrow></math>
✓ | ⠋⠐⠖⠛ | <math><mrow><mi>f</mi><mo>+</mo><mi>g</mi></mrow></math> | <math><mrow><mi>f</mi><mo>+</mo><mi>g</mi></mrow></math>
✓ | ⠋⠐⠤⠛ | <math><mrow><mi>f</mi><mo>−</mo><mi>g</mi></mrow></math> | <math><mrow><mi>f</mi><mo>−</mo><mi>g</mi></mrow></math>
✓ | ⠋⠐⠲⠛ | <math><mrow><mi>f</mi><mo>⋅</mo><mi>g</mi></mrow></math> | <math><mrow><mi>f</mi><mo>⋅</mo><mi>g</mi></mrow></math>
✓ | ⠰⠰⠷⠋⠨⠌⠛⠾ | <math><mfrac><mi>f</mi><mi>g</mi></mfrac></math> | <math><mfrac><mi>f</mi><mi>g</mi></mfrac></math>
✓ | ⠛⠐⠣⠭⠐⠜⠀⠐⠶⠈⠱⠀⠼⠚⠲ | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>≠</mo><mn>0</mn><mtext>.</mtext></mrow></math> | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>≠</mo><mn>0</mn><mtext>.</mtext></mrow></math>
✓ | ⠐⠣⠼⠉⠂⠀⠐⠤⠼⠚⠲⠑⠐⠜ | <math><mrow><mo stretchy="false">(</mo><mn>3</mn><mo>,</mo><mo>−</mo><mn>0.5</mn><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mo stretchy="false">(</mo><mn>3</mn><mo>,</mo><mo>−</mo><mn>0.5</mn><mo stretchy="false">)</mo></mrow></math>
✓ | ⠐⠣⠐⠤⠼⠁⠂⠀⠼⠉⠐⠜ | <math><mrow><mo stretchy="false">(</mo><mo>−</mo><mn>1</mn><mo>,</mo><mn>3</mn><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mo stretchy="false">(</mo><mo>−</mo><mn>1</mn><mo>,</mo><mn>3</mn><mo stretchy="false">)</mo></mrow></math>
✓ | ⠐⠣⠋⠐⠖⠛⠐⠜⠐⠣⠼⠚⠐⠜⠲ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>+</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mn>0</mn><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>+</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mn>0</mn><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math>
✓ | ⠐⠣⠋⠐⠲⠛⠐⠜⠐⠣⠐⠤⠼⠁⠐⠜⠲ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>⋅</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mo>−</mo><mn>1</mn><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>⋅</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mo>−</mo><mn>1</mn><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math>
✓ | ⠐⠣⠋⠐⠲⠛⠐⠜⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠚⠦ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>⋅</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>0</mn><mtext>?</mtext></mrow></math> | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>⋅</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>0</mn><mtext>?</mtext></mrow></math>
✓ | ⠠⠏⠐⠣⠞⠐⠜ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></math>
✓ | ⠠⠠⠁⠧⠰⠢⠨⠣⠼⠑⠂⠀⠼⠁⠁⠨⠜⠂⠀ | <math><mrow><mi>A</mi><msub><mi>V</mi><mrow data-mjx-texclass="ORD"><mo stretchy="false">[</mo><mn>5</mn><mo>,</mo><mn>11</mn><mo stretchy="false">]</mo></mrow></msub><mtext>,</mtext></mrow></math> | <math><mi>A</mi><msub><mi>V</mi><mrow><mo>[</mo><mn>5</mn><mo>,</mo><mn>11</mn><mo>]</mo></mrow></msub><mo>,</mo></math>
✓ | ⠼⠁⠁⠲ | <math><mrow><mn>11</mn><mtext>.</mtext></mrow></math> | <math><mn>11</mn><mtext>.</mtext></math>
✓ | ⠰⠞⠂⠀ | <math><mrow><mi>t</mi><mtext>,</mtext></mrow></math> | <math><mi>t</mi><mo>,</mo></math>
✓ | ⠠⠎⠐⠣⠞⠐⠜ | <math><mrow><mi>S</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></math> | <math><mi>S</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></math>
✓ | ⠠⠧⠐⠣⠞⠐⠜⠂⠀ | <math><mrow><mi>V</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mtext>,</mtext></mrow></math> | <math><mi>V</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>,</mo></math>
✓ | ⠠⠧⠐⠣⠞⠐⠜⠀⠐⠶⠀⠠⠝⠐⠣⠞⠐⠜⠐⠲⠠⠎⠐⠣⠞⠐⠜⠲ | <math><mrow><mi>V</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>N</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>⋅</mo><mi>S</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mi>V</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>N</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>⋅</mo><mi>S</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mtext>.</mtext></math>
✓ | ⠋⠐⠣⠧⠐⠜ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>v</mi><mo stretchy="false">)</mo></mrow></math> | <math><mi>f</mi><mo stretchy="false">(</mo><mi>v</mi><mo stretchy="false">)</mo></math>
✓ | ⠋⠐⠣⠼⠋⠚⠐⠜⠀⠐⠶⠀⠼⠚⠲⠚⠙ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mn>60</mn><mo stretchy="false">)</mo><mo>=</mo><mn>0.04</mn></mrow></math> | <math><mi>f</mi><mo stretchy="false">(</mo><mn>60</mn><mo stretchy="false">)</mo><mo>=</mo><mn>0.04</mn></math>
✓ | ⠛⠐⠣⠼⠋⠚⠐⠜⠦ | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mn>60</mn><mo stretchy="false">)</mo><mtext>?</mtext></mrow></math> | <math><mi>g</mi><mo stretchy="false">(</mo><mn>60</mn><mo stretchy="false">)</mo><mo>?</mo></math>
✓ | ⠓⠐⠣⠧⠐⠜⠀⠐⠶⠀⠧⠐⠲⠋⠐⠣⠧⠐⠜⠲ | <math><mrow><mi>h</mi><mo stretchy="false">(</mo><mi>v</mi><mo stretchy="false">)</mo><mo>=</mo><mi>v</mi><mo>⋅</mo><mi>f</mi><mo stretchy="false">(</mo><mi>v</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mi>h</mi><mo stretchy="false">(</mo><mi>v</mi><mo stretchy="false">)</mo><mo>=</mo><mi>v</mi><mo>⋅</mo><mi>f</mi><mo stretchy="false">(</mo><mi>v</mi><mo stretchy="false">)</mo><mtext>.</mtext></math>
✓ | ⠓⠰⠦ | <math><mrow><mi>h</mi><mtext>?</mtext></mrow></math> | <math><mi>h</mi><mo>?</mo></math>
✓ | ⠋⠐⠣⠼⠋⠚⠐⠜⠂⠀ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mn>60</mn><mo stretchy="false">)</mo><mtext>,</mtext></mrow></math> | <math><mi>f</mi><mo stretchy="false">(</mo><mn>60</mn><mo stretchy="false">)</mo><mo>,</mo></math>
✓ | ⠓⠐⠣⠼⠋⠚⠐⠜ | <math><mrow><mi>h</mi><mo stretchy="false">(</mo><mn>60</mn><mo stretchy="false">)</mo></mrow></math> | <math><mi>h</mi><mo stretchy="false">(</mo><mn>60</mn><mo stretchy="false">)</mo></math>
