# Configuration:
#   Braille Code: UEB
#   Generate Braille: False
#   Model: gpt-5-mini
#   API Key: OPENAI_API_KEY
#   Batch Size: 20
#   Number of Examples: 0
#   Example Braille File: RustTestData/UEB.brls
#   Example MathML File: RustTestData/UEB.mmls
#   Input Braille Dir: test_data/UEB
#   Input MathML Dir: test_data/MathML
#   Instructions: You are an expert braille translator specializing in UEB braille for mathematics and chemistry notation. The user will number the input and follow it with {braille_code} braille to be translated into MathML. Your task is to translate each sequence of UEB braille characters into valid MathML code. Remember that the MathML starts with a '<math>' tag and ends with a '</math>' tag. For each braille input, output ONLY the raw MathML string starting with <math> and ending with </math>. Every element in the MathML must be properly closed and nested. Do not include markdown formatting, explanations, or any other text. Do not include any newlines or carriage returns. Do not include any braille unicode characters in the MathML output. Add '|next-item|' between each MathML output. 
#
# 162 items. Usage info: prompt=12828, candidates=83815, total=96643, time=976182ms, TPS=11646.865119608661.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠋⠐⠣⠞⠐⠜⠀⠐⠶⠀⠁⠃⠰⠔⠞ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></mrow></math>
✗ | ⠰⠰⠰⠁⠢⠝⠀⠐⠶⠀⠁⠢⠼⠁⠐⠖⠙⠐⠣⠝⠐⠤⠼⠁⠐⠜⠰⠄ | <math><mtable columnalign="left"><mtr><mtd><mrow><msub><mi>a</mi><mi>n</mi></msub><mo>=</mo><msub><mi>a</mi><mn>1</mn></msub><mo>+</mo><mi>d</mi><mo stretchy="false">(</mo><mi>n</mi><mo>−</mo><mn>1</mn><mo stretchy="false">)</mo></mrow></mtd></mtr></mtable></math> | <math><mi>x</mi><mo>=</mo><msub><mi>x</mi><mn>1</mn></msub><mo>,</mo><msub><mi>x</mi><mn>2</mn></msub><mo>,</mo><mo>&#x2026;</mo><mo>,</mo><msub><mi>x</mi><mi>n</mi></msub><mo>.</mo></math>
✗ | ⠰⠰⠰⠁⠢⠝⠀⠐⠶⠀⠗⠁⠢⠣⠝⠐⠤⠼⠁⠜⠂⠀⠝⠀⠸⠈⠜⠀⠼⠃⠰⠄ | <math><mrow><msub><mi>a</mi><mi>n</mi></msub><mo>=</mo><mi>r</mi><msub><mi>a</mi><mrow><mi>n</mi><mo>−</mo><mn>1</mn></mrow></msub><mo>,</mo><mi>n</mi><mo>≥</mo><mn>2</mn></mrow></math> | <math><msub><mi>x</mi><mi>i</mi></msub><mo>=</mo><mi>any</mi><msub><mi>v</mi><mi>j</mi></msub><mo>.</mo></math>
✗ | ⠰⠝ | <math><mi>n</mi></math> | <math><msup><mi>f</mi><mrow><mo>(</mo><mo>-</mo><mn>1</mn><mo>)</mo></mrow></msup></math>
✗ | ⠰⠰⠰⠠⠎⠢⠝⠀⠐⠶⠀⠷⠁⠢⠼⠁⠐⠣⠼⠁⠐⠤⠗⠔⠝⠐⠜⠨⠌⠼⠁⠐⠤⠗⠾⠂⠀⠗⠀⠐⠶⠈⠱⠀⠼⠁⠰⠄ | <math><mrow><msub><mi>S</mi><mi>n</mi></msub><mo>=</mo><mfrac><mrow><msub><mi>a</mi><mn>1</mn></msub><mo stretchy="false">(</mo><mn>1</mn><mo>−</mo><msup><mi>r</mi><mi>n</mi></msup><mo stretchy="false">)</mo></mrow><mrow><mn>1</mn><mo>−</mo><mi>r</mi></mrow></mfrac><mo>,</mo><mi>r</mi><mo>≠</mo><mn>1</mn></mrow></math> | <math><mi>f</mi></math>
✗ | ⠰⠰⠰⠠⠎⠢⠝⠀⠐⠶⠀⠷⠁⠢⠼⠁⠨⠌⠼⠁⠐⠤⠗⠾⠂⠀⠗⠀⠐⠶⠈⠱⠀⠼⠁⠰⠄ | <math><mrow><msub><mi>S</mi><mi>n</mi></msub><mo>=</mo><mfrac><msub><mi>a</mi><mn>1</mn></msub><mrow><mn>1</mn><mo>−</mo><mi>r</mi></mrow></mfrac><mo>,</mo><mi>r</mi><mo>≠</mo><mn>1</mn></mrow></math> | <math><mi>x</mi><mo>,</mo></math>
✗ | ⠰⠰⠰⠠⠏⠐⠣⠝⠂⠀⠗⠐⠜⠀⠐⠶⠀⠷⠝⠖⠨⠌⠐⠣⠝⠐⠤⠗⠐⠜⠖⠾⠰⠄ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>n</mi><mo>,</mo><mi>r</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mi>n</mi><mo>!</mo></mrow><mrow><mo stretchy="false">(</mo><mi>n</mi><mo>−</mo><mi>r</mi><mo stretchy="false">)</mo><mo>!</mo></mrow></mfrac></mrow></math> | <math><mi>x</mi></math>
✗ | ⠰⠰⠷⠝⠖⠨⠌⠗⠢⠼⠁⠖⠗⠢⠼⠃⠖⠲⠲⠲⠗⠢⠅⠖⠾ | <math><mfrac><mrow><mi>n</mi><mo>!</mo></mrow><mrow><msub><mi>r</mi><mn>1</mn></msub><mo>!</mo><msub><mi>r</mi><mn>2</mn></msub><mo>!</mo><mo>…</mo><msub><mi>r</mi><mi>k</mi></msub><mo>!</mo></mrow></mfrac></math> | <math><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mo>&#x27E8;</mo><mrow><mn>1000</mn><mi>x</mi><mo>-</mo><mn>0.1</mn><msup><mi>x</mi><mn>2</mn></msup><mo>&#x00D7;</mo><mfrac><mn>1000</mn><mi>x</mi></mfrac></mrow><mo>&#x27E9;</mo></math>
✗ | ⠐⠣⠗⠐⠖⠼⠁⠐⠜⠞⠓ | <math><mrow><mo stretchy="false">(</mo><mi>r</mi><mo>+</mo><mn>1</mn><mo stretchy="false">)</mo><mi>t</mi><mi>h</mi></mrow></math> | <math><mi>y</mi><mo>=</mo><mn>0</mn><mtext> as </mtext><mi>x</mi><mo>→</mo><mo>-</mo><mo>&#x221E;</mo><mo>.</mo></math>
✗ | ⠠⠏⠐⠣⠠⠑⠐⠜⠀⠐⠶⠀⠰⠰⠷⠝⠐⠣⠠⠑⠐⠜⠨⠌⠝⠐⠣⠠⠎⠐⠜⠾ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>E</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mi>n</mi><mo stretchy="false">(</mo><mi>E</mi><mo stretchy="false">)</mo></mrow><mrow><mi>n</mi><mo stretchy="false">(</mo><mi>S</mi><mo stretchy="false">)</mo></mrow></mfrac></mrow></math> | <math><mi>y</mi><mo>=</mo><mn>0</mn><mtext> as </mtext><mi>x</mi><mo>→</mo><mo>&#x221E;</mo><mo>.</mo></math>
✗ | ⠠⠠⠠⠏⠐⠣⠑⠨⠖⠋⠐⠜⠀⠐⠶⠀⠏⠐⠣⠑⠐⠜⠐⠖⠏⠐⠣⠋⠐⠜⠠⠄ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>E</mi><mo>∪</mo><mi>F</mi><mo stretchy="false">)</mo><mo>=</mo><mi>P</mi><mo stretchy="false">(</mo><mi>E</mi><mo stretchy="false">)</mo><mo>+</mo><mi>P</mi><mo stretchy="false">(</mo><mi>F</mi><mo stretchy="false">)</mo></mrow></math> | <math><msup><mi>x</mi><mi>a</mi></msup></math>
✗ | ⠰⠰⠰⠭⠀⠐⠶⠀⠷⠐⠤⠃⠸⠖⠩⠃⠔⠼⠃⠐⠤⠼⠙⠰⠁⠉⠬⠨⠌⠼⠃⠰⠁⠾⠰⠄ | <math><mrow><mi>x</mi><mo>=</mo><mfrac><mrow><mo>−</mo><mi>b</mi><mo>±</mo><msqrt><mrow><msup><mi>b</mi><mn>2</mn></msup><mo>−</mo><mn>4</mn><mi>a</mi><mi>c</mi></mrow></msqrt></mrow><mrow><mn>2</mn><mi>a</mi></mrow></mfrac></mrow></math> | <math><msub><mi>x</mi><mi>a</mi></msub></math>
✗ | ⠽⠐⠤ | <math><mrow><mi>y</mi><mtext>-</mtext></mrow></math> | <math><mi>x</mi><mo>→</mo><mo>-</mo><mo>&#x221E;</mo></math>
✗ | ⠋⠐⠣⠁⠐⠜⠀⠯⠀⠋⠐⠣⠃⠐⠜ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>a</mi><mo stretchy="false">)</mo><mo> </mo><mtext>and</mtext><mo> </mo><mi>f</mi><mo stretchy="false">(</mo><mi>b</mi><mo stretchy="false">)</mo></mrow></math> | <math><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>→</mo><mo>-</mo><mo>&#x221E;</mo></math>
✗ | ⠁ | <math><mi>a</mi></math> | <math><mi>x</mi><mo>=</mo><mn>0</mn></math>
✗ | ⠭⠐⠤⠅⠲ | <math><mrow><mi>x</mi><mo>−</mo><mi>k</mi><mo>.</mo></mrow></math> | <math><mtext>As </mtext><mi>x</mi><mo>→</mo><msup><mn>0</mn><mo>+</mo></msup><mo>,</mo><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>→</mo><mo>&#x221E;</mo></math>
✗ | ⠋⠐⠣⠭⠐⠜ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math> | I can translate these, but I need one clarification first: are these in Unified English Braille (UEB) with UEB math formatting (not Nemeth)? Some symbols (superscripts, subscripts, piecewise braces, logical connectives) can be encoded differently between UEB and Nemeth. Please confirm the braille math code set (UEB math vs Nemeth) and whether you want full sentence punctuation (periods) omitted from the MathML.
✗ | ⠐⠣⠭⠐⠤⠅⠐⠜ | <math><mrow><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mi>k</mi><mo stretchy="false">)</mo></mrow></math> | <math><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><msqrt><mfrac><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>-</mo><mn>1</mn></mrow><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>-</mo><mn>2</mn><mi>x</mi><mo>-</mo><mn>3</mn></mrow></mfrac></msqrt></math>
✗ | ⠐⠣⠭⠐⠤⠉⠐⠜⠂⠀ | <math><mrow><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mi>c</mi><mo stretchy="false">)</mo><mo>,</mo></mrow></math> | <math><msub><mi>x</mi><mn>1</mn></msub></math>
✗ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠰⠷⠼⠁⠨⠌⠭⠾ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mn>1</mn><mi>x</mi></mfrac></mrow></math> | <math><mi>x</mi><mo>-</mo><mn>3</mn></math>
✗ | ⠰⠰⠰⠭⠀⠐⠶⠀⠭⠢⠼⠁⠂⠀⠭⠢⠼⠃⠂⠀⠲⠲⠲⠂⠀⠭⠢⠝⠂⠀⠰⠄ | <math><mrow><mi>x</mi><mo>=</mo><msub><mi>x</mi><mn>1</mn></msub><mo>,</mo><msub><mi>x</mi><mn>2</mn></msub><mo>,</mo><mo>…</mo><mo>,</mo><msub><mi>x</mi><mi>n</mi></msub><mo>,</mo></mrow></math> | <math><mi>k</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><msqrt><mfrac><mrow><mi>x</mi><mo>-</mo><mn>2</mn></mrow><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>-</mo><mn>4</mn></mrow></mfrac></msqrt></math>
✗ | ⠰⠰⠰⠭⠢⠊⠀⠐⠶⠀⠁⠝⠽⠀⠧⠢⠚⠂⠀⠰⠄ | <math><mrow><msub><mi>x</mi><mi>i</mi></msub><mo>=</mo><mtext>any </mtext><msub><mi>v</mi><mi>j</mi></msub><mo>,</mo></mrow></math> | <math><mi>x</mi><mo>-</mo><mn>2</mn></math>
✗ | ⠰⠰⠋⠔⠣⠐⠤⠼⠁⠜ | <math><msup><mi>f</mi><mrow><mo>−</mo><mn>1</mn></mrow></msup></math> | <math><mi>x</mi><mo>=</mo><mn>2</mn></math>
✗ | ⠰⠋ | <math><mi>f</mi></math> | <math><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><msqrt><mfrac><mrow><mn>4</mn><msub><mi>x</mi><mn>2</mn></msub></mrow><mrow><msub><msup><mi>x</mi><mn>2</mn></msup><mrow><mn>4</mn><mi>x</mi></mrow></msub><mo>-</mo><mn>5</mn></mrow></mfrac></msqrt></math>
✗ | ⠰⠭⠂⠀ | <math><mrow><mi>x</mi><mo>,</mo></mrow></math> | <math><mi>g</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><msqrt><mfrac><mn>4</mn><mi>x</mi></mfrac></msqrt></math>
✗ | ⠰⠭ | <math><mi>x</mi></math> | <math><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mfrac><mrow><mi>p</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mrow><mi>q</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow></mfrac><mo>,</mo><mi>q</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>≠</mo><mn>0</mn><mtext> where degree of </mtext><mi>p</mi><mo>&lt;</mo><mtext> degree of </mtext><mi>q</mi></math>
✗ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠰⠷⠼⠁⠑⠂⠚⠚⠚⠭⠐⠤⠼⠚⠲⠁⠭⠔⠼⠃⠐⠖⠼⠁⠚⠚⠚⠨⠌⠭⠾ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mn>15,000</mn><mi>x</mi><mo>−</mo><mn>0.1</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>1000</mn></mrow><mi>x</mi></mfrac></mrow></math> | <math><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mroot><mfrac><mrow><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup></mrow><mi>x</mi></mfrac><mn>3</mn></mroot><mo>=</mo><mn>3</mn><mi>x</mi></math>
✗ | ⠰⠰⠰⠐⠣⠽⠀⠐⠶⠀⠼⠚⠐⠜⠀⠁⠎⠀⠭⠀⠳⠕⠀⠠⠤⠼⠿⠲⠰⠄ | <math><mrow><mo stretchy="false">(</mo><mi>y</mi><mo>=</mo><mn>0</mn><mo stretchy="false">)</mo><mo> </mo><mtext>as</mtext><mo> </mo><mi>x</mi><mo stretchy="false">→</mo><mo>–</mo><mi>∞</mi><mo>.</mo></mrow></math> | <math><mi>g</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>3</mn><mi>x</mi></math>
✗ | ⠰⠰⠰⠐⠣⠽⠀⠐⠶⠀⠼⠚⠐⠜⠀⠁⠎⠀⠭⠀⠳⠕⠀⠼⠿⠲⠰⠄ | <math><mrow><mo stretchy="false">(</mo><mi>y</mi><mo>=</mo><mn>0</mn><mo stretchy="false">)</mo><mo> </mo><mtext>as</mtext><mo> </mo><mi>x</mi><mo stretchy="false">→</mo><mi>∞</mi><mo>.</mo></mrow></math> | <math><mi>y</mi><mo>=</mo><mn>3</mn><mi>x</mi></math>
✗ | ⠰⠭⠀⠈⠣⠀⠁ | <math><mrow><mi>x</mi><mo>&lt;</mo><mi>a</mi></mrow></math> | <math><mn>3</mn><msub><mi>x</mi><mn>1</mn></msub><mo>,</mo></math>
✗ | ⠰⠭⠀⠈⠜⠀⠁ | <math><mrow><mi>x</mi><mo>&gt;</mo><mi>a</mi></mrow></math> | <math><msqrt><mfrac><mrow><mi>p</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mrow><mi>q</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow></mfrac></msqrt></math>
✗ | ⠰⠰⠰⠭⠀⠳⠕⠀⠐⠤⠼⠿⠰⠄ | <math><mrow><mi>x</mi><mo stretchy="false">→</mo><mo>−</mo><mi>∞</mi></mrow></math> | <math><mi>y</mi><mo>=</mo><mfrac><mrow><msup><mi>a</mi><mi>n</mi></msup></mrow><mrow><msup><mi>b</mi><mi>n</mi></msup></mrow></mfrac></math>
✗ | ⠋⠐⠣⠭⠐⠜⠀⠰⠳⠕⠀⠐⠤⠼⠿ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mo>−</mo><mi>∞</mi></mrow></math> | <math><msup><mi>b</mi><mi>n</mi></msup></math>
✗ | ⠰⠭⠀⠐⠶⠀⠼⠚⠆ | <math><mrow><mi>x</mi><mo>=</mo><mn>0</mn><mo>;</mo></mrow></math> | <math><mi>q</mi><mo>(</mo><mi>x</mi><mo>)</mo></math>
✗ | ⠰⠰⠰⠠⠁⠎⠀⠭⠀⠳⠕⠀⠼⠚⠔⠐⠖⠂⠀⠋⠐⠣⠭⠐⠜⠀⠳⠕⠀⠼⠿⠲⠰⠄ | <math><mrow><mtext>As </mtext><mi>x</mi><mo stretchy="false">→</mo><msup><mn>0</mn><mo>+</mo></msup><mo>,</mo><mo> </mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mi>∞</mi><mo>.</mo></mrow></math> | <math><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><msqrt><mfrac><mrow><mn>3</mn><msub><msup><mi>x</mi><mn>2</mn></msup><mn>2</mn></msub></mrow><mrow><msub><msup><mi>x</mi><mn>2</mn></msup><mrow><mn>4</mn><mi>x</mi></mrow></msub><mo>-</mo><mn>5</mn></mrow></mfrac></msqrt></math>
✗ | ⠰⠰⠰⠠⠁⠎⠀⠭⠀⠳⠕⠀⠁⠔⠠⠤⠂⠀⠋⠐⠣⠭⠐⠜⠀⠳⠕⠀⠸⠖⠼⠿⠀⠕⠗⠀⠭⠀⠳⠕⠀⠁⠔⠐⠖⠂⠀⠋⠐⠣⠭⠐⠜⠀⠳⠕⠀⠸⠖⠼⠿⠲⠰⠄ | <math><mrow><mtext>As </mtext><mi>x</mi><mo stretchy="false">→</mo><msup><mi>a</mi><mo>–</mo></msup><mo>,</mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mo>±</mo><mi>∞</mi><mtext> or </mtext><mi>x</mi><mo stretchy="false">→</mo><msup><mi>a</mi><mo>+</mo></msup><mo>,</mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mo>±</mo><mi>∞</mi><mo>.</mo></mrow></math> | <math><mi>g</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>3</mn></math>
✗ | ⠰⠽⠀⠐⠶⠀⠼⠚⠲ | <math><mrow><mi>y</mi><mo>=</mo><mn>0.</mn></mrow></math> | <math><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mfrac><mrow><mi>p</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mrow><mi>q</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow></mfrac><mo>,</mo><mi>q</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>≠</mo><mn>0</mn><mtext> where degree of </mtext><mi>p</mi><mo>=</mo><mtext> degree of </mtext><mi>q</mi></math>

#===========

# Normalized MathML
Match | Test Input | Expected | Computed
✓ | ⠋⠐⠣⠞⠐⠜⠀⠐⠶⠀⠁⠃⠰⠔⠞ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>a</mi> <mo>⁢</mo> <msup> <mi>b</mi> <mi>t</mi> </msup> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>a</mi> <mo>⁢</mo> <msup> <mi>b</mi> <mi>t</mi> </msup> </mrow> </mrow> </math>
✓ | ⠛⠐⠣⠞⠐⠜⠀⠐⠶⠀⠁⠃⠰⠔⠞⠐⠖⠉ | <math> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>a</mi> <mo>⁢</mo> <msup> <mi>b</mi> <mi>t</mi> </msup> </mrow> <mo>+</mo> <mi>c</mi> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>a</mi> <mo>⁢</mo> <msup> <mi>b</mi> <mi>t</mi> </msup> </mrow> <mo>+</mo> <mi>c</mi> </mrow> </mrow> </math>
✓ | ⠼⠁⠚ | <math> <mn>10</mn> </math> | <math> <mn>10</mn> </math>
✗ | ⠼⠃⠐⠖⠼⠉⠀⠐⠶⠀⠼⠑⠒ | <math> <mrow> <mrow> <mrow> <mn>2</mn> <mo>+</mo> <mn>3</mn> </mrow> <mo>=</mo> <mn>5</mn> </mrow> <mo>:</mo> </mrow> </math> | <math> <mrow> <mrow> <mn>2</mn> <mo>+</mo> <mn>3</mn> </mrow> <mo>=</mo> <mn>5</mn> </mrow> </math>
✓ | ⠼⠃ | <math> <mn>2</mn> </math> | <math> <mn>2</mn> </math>
✗ | ⠼⠃⠐⠲⠼⠉⠀⠐⠶⠀⠼⠋⠲ | <math> <mrow> <mrow> <mrow> <mn>2</mn> <mo>⋅</mo> <mn>3</mn> </mrow> <mo>=</mo> <mn>6</mn> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mn>2</mn> <mo>×</mo> <mn>3</mn> </mrow> <mo>=</mo> <mn>6</mn> </mrow> </math>
✗ | ⠰⠰⠰⠋⠒⠀⠠⠃⠀⠳⠕⠀⠠⠉⠂⠀⠰⠄ | <math> <mrow> <mrow> <mi>f</mi> <mo>:</mo> <mrow> <mi>B</mi> <mo>→</mo> <mi>C</mi> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <msup> <mi>f</mi> <mo>‴</mo> </msup> <mo>⁢</mo> <mi>B</mi> <mo>⁢</mo> <mi>o</mi> <mo>⁢</mo> <mi>C</mi> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠐⠣⠋⠐⠴⠛⠐⠜⠐⠣⠭⠐⠜⠀⠐⠶⠀⠋⠐⠣⠛⠐⠣⠭⠐⠜⠐⠜⠲ | <math> <mrow> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>∘</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>)</mo> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>∘</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>)</mo> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠰⠛ | <math> <mi>g</mi> </math> | <math> <mi>g</mi> </math>
✓ | ⠰⠋ | <math> <mi>f</mi> </math> | <math> <mi>f</mi> </math>
✓ | ⠰⠟ | <math> <mi>q</mi> </math> | <math> <mi>q</mi> </math>
✓ | ⠰⠟⠂⠀ | <math> <mrow> <mi>q</mi> <mo>,</mo> </mrow> </math> | <math> <mrow> <mi>q</mi> <mo>,</mo> </mrow> </math>
✓ | ⠰⠏⠲ | <math> <mrow> <mi>p</mi> <mo>.</mo> </mrow> </math> | <math> <mrow> <mi>p</mi> <mo>.</mo> </mrow> </math>
✓ | ⠋⠐⠣⠭⠐⠜ | <math> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </math>
✓ | ⠰⠛⠲ | <math> <mrow> <mi>g</mi> <mo>.</mo> </mrow> </math> | <math> <mrow> <mi>g</mi> <mo>.</mo> </mrow> </math>
✓ | ⠓⠐⠣⠭⠐⠜⠀⠐⠶⠀⠋⠐⠣⠭⠐⠜⠐⠖⠛⠐⠣⠭⠐⠜⠲ | <math> <mrow> <mrow> <mrow> <mi>h</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>+</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>h</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>+</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠗⠐⠣⠭⠐⠜⠀⠐⠶⠀⠏⠐⠣⠭⠐⠜⠐⠤⠟⠐⠣⠭⠐⠜⠲ | <math> <mrow> <mrow> <mrow> <mi>r</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>-</mo> <mrow> <mi>q</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>r</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>-</mo> <mrow> <mi>q</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math>
