# Configuration:
#   Braille Code: Nemeth
#   Generate Braille: True
#   Model: gemini-3-pro-preview
#   API Key: GEMINI_PAID_API_KEY
#   Batch Size: 10
#   Number of Examples: 312
#   Example Braille File: RustTestData/Nemeth.brls
#   Example MathML File: RustTestData/Nemeth.mmls
#   Input Braille Dir: test_data/Nemeth
#   Input MathML Dir: test_data/MathML
#   Instructions: You are an expert braille translator specializing in Nemeth braille for mathematics and chemistry notation. The user will number the input and follow it with math encoded in MathML to be translated into {braille_code} braille. Your task is to translate each MathML expression into valid Nemeth braille.The output should only contain Unicode braille characters. Remember that the MathML starts with a '<math>' tag and ends with a '</math>' tag. The MathML is numbered, so you should output the braille for the corresponding number. For each MathML input, output ONLY the raw Unicode braille characters. (e.g., ⠹⠭⠬⠂⠌⠆⠼⠀⠐⠅⠀⠁⠬⠂). It is important to pay attention to generating Unicode braille spaces when needed in the braille. It is also important to pay attention when to generate the number sign indicator ⠼ and the English letter indicatorDo not include markdown formatting, explanations, or any other text.Add '|next-item|' between each braille output. 
#
# 200 items. Usage info: prompt=594980, candidates=8803, total=774215, time=221267ms, TPS=25135.408383505623.2f
#
# Match | Test Input | Expected | Computed
✓ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></mrow></math> | ⠋⠷⠞⠾⠀⠨⠅⠀⠁⠃⠘⠞ | ⠋⠷⠞⠾⠀⠨⠅⠀⠁⠃⠘⠞
✗ | <math><mrow><mi>x</mi><mo>=</mo><msub><mi>x</mi><mn>1</mn></msub><mo>,</mo><msub><mi>x</mi><mn>2</mn></msub><mo>,</mo><mo>…</mo><mo>,</mo><msub><mi>x</mi><mi>n</mi></msub><mo>,</mo></mrow></math> | ⠭⠀⠨⠅⠀⠭⠂⠠⠀⠭⠆⠠⠀⠄⠄⠄⠠⠀⠭⠰⠝⠠ | 6) ⠭⠀⠨⠅⠀⠭⠂⠠⠀⠭⠆⠠⠀⠄⠄⠄⠠⠀⠭⠰⠝⠠
✗ | <math><mrow><msub><mi>x</mi><mi>i</mi></msub><mo>=</mo><mtext>any </mtext><msub><mi>v</mi><mi>j</mi></msub><mo>,</mo></mrow></math> | ⠭⠰⠊⠀⠨⠅⠀⠁⠝⠽⠀⠧⠰⠚⠠ | 7) ⠭⠰⠊⠀⠨⠅⠀⠁⠝⠽⠀⠧⠰⠚⠠
✗ | <math><msup><mi>f</mi><mrow><mo>−</mo><mn>1</mn></mrow></msup></math> | ⠋⠘⠤⠂ | 8) ⠋⠘⠤⠂
✗ | <math><mi>f</mi></math> | ⠰⠋ | 9) ⠋
✗ | <math><mrow><mi>x</mi><mo>,</mo></mrow></math> | ⠰⠭⠠ | 10) ⠭⠠
✗ | <math><mi>x</mi></math> | ⠰⠭ | 1) ⠭
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mn>15,000</mn><mi>x</mi><mo>−</mo><mn>0.1</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>1000</mn></mrow><mi>x</mi></mfrac></mrow></math> | ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠂⠢⠠⠴⠴⠴⠭⠤⠴⠨⠂⠭⠘⠆⠐⠬⠂⠴⠴⠴⠌⠭⠼ | 2) ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠼⠂⠢⠠⠴⠴⠴⠭⠤⠼⠴⠨⠂⠭⠘⠆⠬⠼⠂⠴⠴⠴⠌⠭⠼
✗ | <math><mrow><mo stretchy="false">(</mo><mi>y</mi><mo>=</mo><mn>0</mn><mo stretchy="false">)</mo><mo> </mo><mtext>as</mtext><mo> </mo><mi>x</mi><mo stretchy="false">→</mo><mo>–</mo><mi>∞</mi><mo>.</mo></mrow></math> | ⠷⠽⠀⠨⠅⠀⠼⠴⠾⠀⠁⠎⠀⠭⠀⠫⠕⠀⠤⠤⠠⠿⠸⠲ | 3) ⠷⠽⠀⠨⠅⠀⠼⠴⠾⠀⠁⠎⠀⠭⠀⠫⠕⠀⠤⠠⠿⠸⠲
✗ | <math><mrow><mo stretchy="false">(</mo><mi>y</mi><mo>=</mo><mn>0</mn><mo stretchy="false">)</mo><mo> </mo><mtext>as</mtext><mo> </mo><mi>x</mi><mo stretchy="false">→</mo><mi>∞</mi><mo>.</mo></mrow></math> | ⠷⠽⠀⠨⠅⠀⠼⠴⠾⠀⠁⠎⠀⠭⠀⠫⠕⠀⠠⠿⠸⠲ | 4) ⠷⠽⠀⠨⠅⠀⠼⠴⠾⠀⠁⠎⠀⠭⠀⠫⠕⠀⠠⠿⠸⠲
✗ | <math><mrow><mi>x</mi><mo>&lt;</mo><mi>a</mi></mrow></math> | ⠭⠀⠐⠅⠀⠁ | 5) ⠭⠀⠐⠅⠀⠁
✗ | <math><mrow><mi>x</mi><mo>&gt;</mo><mi>a</mi></mrow></math> | ⠭⠀⠨⠂⠀⠁ | 6) ⠭⠀⠨⠂⠀⠁
✗ | <math><mrow><mi>x</mi><mo stretchy="false">→</mo><mo>−</mo><mi>∞</mi></mrow></math> | ⠭⠀⠫⠕⠀⠤⠠⠿ | 7) ⠭⠀⠫⠕⠀⠤⠠⠿
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mo>−</mo><mi>∞</mi></mrow></math> | ⠋⠷⠭⠾⠀⠫⠕⠀⠤⠠⠿ | 8) ⠋⠷⠭⠾⠀⠫⠕⠀⠤⠠⠿
✗ | <math><mrow><mi>x</mi><mo>=</mo><mn>0</mn><mo>;</mo></mrow></math> | ⠭⠀⠨⠅⠀⠼⠴⠸⠆ | 9) ⠭⠀⠨⠅⠀⠼⠴⠸⠆
✗ | <math><mrow><mtext>As </mtext><mi>x</mi><mo stretchy="false">→</mo><msup><mn>0</mn><mo>+</mo></msup><mo>,</mo><mo> </mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mi>∞</mi><mo>.</mo></mrow></math> | ⠠⠁⠎⠀⠭⠀⠫⠕⠀⠼⠴⠘⠬⠠⠀⠋⠷⠭⠾⠀⠫⠕⠀⠠⠿⠸⠲ | 10) ⠠⠁⠎⠀⠭⠀⠫⠕⠀⠼⠴⠘⠬⠸⠂⠀⠋⠷⠭⠾⠀⠫⠕⠀⠠⠿⠸⠲
✗ | <math><mrow><mtext>As </mtext><mi>x</mi><mo stretchy="false">→</mo><msup><mi>a</mi><mo>–</mo></msup><mo>,</mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mo>±</mo><mi>∞</mi><mtext> or </mtext><mi>x</mi><mo stretchy="false">→</mo><msup><mi>a</mi><mo>+</mo></msup><mo>,</mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mo>±</mo><mi>∞</mi><mo>.</mo></mrow></math> | ⠠⠁⠎⠀⠭⠀⠫⠕⠀⠁⠘⠤⠤⠠⠀⠋⠷⠭⠾⠀⠫⠕⠀⠬⠤⠠⠿⠀⠕⠗⠀⠭⠀⠫⠕⠀⠁⠘⠬⠠⠀⠋⠷⠭⠾⠀⠫⠕⠀⠬⠤⠠⠿⠸⠲ | 1) ⠠⠁⠎⠀⠭⠫⠕⠁⠘⠤⠠⠀⠋⠷⠭⠾⠫⠕⠬⠤⠠⠿⠀⠕⠗⠀⠭⠫⠕⠁⠘⠬⠠⠀⠋⠷⠭⠾⠫⠕⠬⠤⠠⠿⠸⠲
✗ | <math><mrow><mi>y</mi><mo>=</mo><mn>0.</mn></mrow></math> | ⠽⠀⠨⠅⠀⠼⠴⠨ | 2) ⠽⠀⠨⠅⠀⠼⠴⠸⠲
✗ | <math><mrow><mtext>As </mtext><mi>x</mi><mo stretchy="false">→</mo><mi>∞</mi><mspace width="0.5em"></mspace><mtext>or </mtext><mi>x</mi><mo stretchy="false">→</mo><mo>−</mo><mi>∞</mi><mo>,</mo><mspace width="0.5em"></mspace><mtext>&lt;mtext/&gt;</mtext><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mi>b</mi><mo>.</mo></mrow></math> | ⠠⠁⠎⠀⠭⠀⠫⠕⠀⠠⠿⠕⠗⠀⠭⠀⠫⠕⠀⠤⠠⠿⠠⠀⠐⠅⠍⠞⠑⠭⠞⠸⠌⠨⠂⠋⠷⠭⠾⠀⠫⠕⠀⠃⠸⠲ | 3) ⠠⠁⠎⠀⠭⠫⠕⠠⠿⠀⠕⠗⠀⠭⠫⠕⠤⠠⠿⠠⠀⠋⠷⠭⠾⠫⠕⠃⠸⠲
✗ | <math><mrow><mi>x</mi><mo>=</mo><mn>2.</mn></mrow></math> | ⠭⠀⠨⠅⠀⠼⠆⠨ | 4) ⠭⠀⠨⠅⠀⠼⠆⠸⠲
✗ | <math><mrow><mi>y</mi><mo>=</mo><mn>4.</mn></mrow></math> | ⠽⠀⠨⠅⠀⠼⠲⠨ | 5) ⠽⠀⠨⠅⠀⠼⠲⠸⠲
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mn>1</mn><mrow><mi>x</mi><mo>+</mo><mn>2</mn></mrow></mfrac><mo>+</mo><mn>3</mn></mrow></math> | ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠂⠌⠭⠬⠆⠼⠬⠒ | 6) ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠂⠌⠭⠬⠆⠼⠬⠒
✗ | <math><mrow><mi>x</mi><mo>=</mo><mn>−2</mn><mo>,</mo></mrow></math> | ⠭⠀⠨⠅⠀⠤⠼⠆⠠ | 7) ⠭⠀⠨⠅⠀⠤⠼⠆⠠
✗ | <math><mrow><mtext>As </mtext><mi>x</mi><mo stretchy="false">→</mo><mo>−</mo><msup><mn>2</mn><mo>−</mo></msup><mo>,</mo><mo> </mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mo>−</mo><mi>∞</mi><mo>,</mo><mtext>and as</mtext><mo> </mo><mi>x</mi><mo stretchy="false">→</mo><mo>−</mo><msup><mn>2</mn><mo>+</mo></msup><mo>,</mo><mo> </mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mi>∞</mi><mo>.</mo></mrow></math> | ⠠⠁⠎⠀⠭⠀⠫⠕⠀⠤⠼⠆⠘⠤⠠⠀⠋⠷⠭⠾⠀⠫⠕⠀⠤⠠⠿⠠⠀⠁⠝⠙⠀⠁⠎⠀⠭⠀⠫⠕⠀⠤⠼⠆⠘⠬⠠⠀⠋⠷⠭⠾⠀⠫⠕⠀⠠⠿⠸⠲ | 8) ⠠⠁⠎⠀⠭⠫⠕⠤⠼⠆⠘⠤⠠⠀⠋⠷⠭⠾⠫⠕⠤⠠⠿⠠⠀⠁⠝⠙⠀⠁⠎⠀⠭⠫⠕⠤⠼⠆⠘⠬⠠⠀⠋⠷⠭⠾⠫⠕⠠⠿⠸⠲
✗ | <math><mrow><mtext>As </mtext><mi>x</mi><mo stretchy="false">→</mo><mo>±</mo><mi>∞</mi><mo>,</mo><mo> </mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mn>3.</mn></mrow></math> | ⠠⠁⠎⠀⠭⠀⠫⠕⠀⠬⠤⠠⠿⠠⠀⠋⠷⠭⠾⠀⠫⠕⠀⠼⠒⠨ | 9) ⠠⠁⠎⠀⠭⠫⠕⠬⠤⠠⠿⠠⠀⠋⠷⠭⠾⠫⠕⠼⠒⠸⠲
✗ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo> </mo><mtext>and</mtext><mo> </mo><mi>Q</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>.</mo></mrow></math> | ⠠⠏⠷⠭⠾⠀⠁⠝⠙⠀⠠⠟⠷⠭⠾⠸⠲ | 10) ⠠⠏⠷⠭⠾⠀⠁⠝⠙⠀⠠⠟⠷⠭⠾⠸⠲
✗ | <math><mi>t</mi></math> | ⠰⠞ | 1) ⠰⠞
✗ | <math><mi>C</mi></math> | ⠰⠠⠉ | 2) ⠠⠉
✗ | <math><mrow><mi>C</mi><mrow><mo>(</mo><mi>t</mi><mo>)</mo></mrow></mrow></math> | ⠠⠉⠷⠞⠾ | 3) ⠠⠉⠷⠞⠾
✗ | <math><mtable><mtr rowalign="center"><mtd columnalign="right"><mrow><mi>C</mi><mo stretchy="false">(</mo><mn>12</mn><mo stretchy="false">)</mo></mrow></mtd><mtd rowalign="center"><mo>=</mo></mtd><mtd columnalign="left" rowalign="center"><mfrac><mrow><mn>5</mn><mo>+</mo><mn>12</mn></mrow><mrow><mn>100</mn><mo>+</mo><mn>10</mn><mo stretchy="false">(</mo><mn>12</mn><mo stretchy="false">)</mo></mrow></mfrac></mtd></mtr><mtr rowalign="center"><mtd rowalign="center"/><mtd rowalign="center"><mo>=</mo></mtd><mtd columnalign="left" rowalign="center"><mfrac><mn>17</mn><mn>220</mn></mfrac></mtd></mtr></mtable></math> | ⠠⠉⠷⠂⠆⠾⠀⠨⠅⠀⠹⠢⠬⠂⠆⠌⠂⠴⠴⠬⠂⠴⠷⠂⠆⠾⠼⠀⣍⠀⠿⠀⠨⠅⠀⠹⠂⠶⠌⠆⠆⠴⠼ | 4) ⠠⠉⠷⠼⠂⠆⠾⠀⠨⠅⠀⠹⠼⠢⠬⠂⠆⠌⠼⠂⠴⠴⠬⠂⠴⠷⠼⠂⠆⠾⠼⠀⠨⠅⠀⠹⠼⠂⠶⠌⠼⠆⠆⠴⠼
✗ | <math><mrow><mfrac><mn>17</mn><mn>220</mn></mfrac><mo>≈</mo><mn>0.08</mn><mo>&gt;</mo><mfrac><mn>1</mn><mn>20</mn></mfrac><mo>=</mo><mn>0.05</mn><mo>,</mo></mrow></math> | ⠹⠂⠶⠌⠆⠆⠴⠼⠀⠈⠱⠈⠱⠀⠼⠴⠨⠴⠦⠀⠨⠂⠀⠹⠂⠌⠆⠴⠼⠀⠨⠅⠀⠼⠴⠨⠴⠢⠠ | 5) ⠹⠼⠂⠶⠌⠼⠆⠆⠴⠼⠀⠘⠨⠅⠀⠼⠴⠨⠴⠦⠀⠨⠂⠀⠹⠼⠂⠌⠼⠆⠴⠼⠀⠨⠅⠀⠼⠴⠨⠴⠢⠠
✗ | <math><mtable><mtr><mtd columnalign="right"><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>9</mn></mrow></mtd><mtd><mo>=</mo></mtd><mtd columnalign="left"><mn>0</mn></mtd></mtr><mtr><mtd columnalign="right"><msup><mi>x</mi><mn>2</mn></msup></mtd><mtd><mo>=</mo></mtd><mtd columnalign="left"><mn>9</mn></mtd></mtr><mtr><mtd columnalign="right"><mi>x</mi></mtd><mtd><mo>=</mo></mtd><mtd columnalign="left"><mn>±3</mn></mtd></mtr></mtable></math> | ⠭⠘⠆⠐⠤⠔⠀⠨⠅⠀⠼⠴⠀⣍⠭⠘⠆⠀⠨⠅⠀⠼⠔⠀⣍⠭⠀⠨⠅⠀⠬⠤⠒ | 6) ⠭⠘⠆⠤⠔⠀⠨⠅⠀⠼⠴⠀⠭⠘⠆⠀⠨⠅⠀⠼⠔⠀⠭⠀⠨⠅⠀⠬⠤⠒
✗ | <math><mrow><mi>x</mi><mo>=</mo><mn>3</mn></mrow></math> | ⠭⠀⠨⠅⠀⠼⠒ | 7) ⠭⠀⠨⠅⠀⠼⠒
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mn>4</mn><mi>x</mi></mrow><mrow><mn>5</mn><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mn>1</mn><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mn>5</mn><mo stretchy="false">)</mo></mrow></mfrac><mo>.</mo></mrow></math> | ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠲⠭⠌⠢⠷⠭⠤⠂⠾⠷⠭⠤⠢⠾⠼⠸⠲ | 8) ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠼⠲⠭⠌⠼⠢⠷⠭⠤⠂⠾⠷⠭⠤⠢⠾⠼⠸⠲
✗ | <math><mtable><mtr rowalign="center"><mtd rowalign="center" columnalign="right"><mrow><mi>k</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></mtd><mtd rowalign="center"><mo>=</mo></mtd><mtd rowalign="center" columnalign="left"><mfrac><mrow><mn>5</mn><mo>+</mo><mn>2</mn><msup><mi>x</mi><mn>2</mn></msup></mrow><mrow><mn>2</mn><mo>−</mo><mi>x</mi><mo>−</mo><msup><mi>x</mi><mn>2</mn></msup></mrow></mfrac></mtd></mtr><mtr rowalign="center"><mtd rowalign="center"/><mtd rowalign="center"><mo>=</mo></mtd><mtd rowalign="center" columnalign="left"><mfrac><mrow><mn>5</mn><mo>+</mo><mn>2</mn><msup><mi>x</mi><mn>2</mn></msup></mrow><mrow><mo stretchy="false">(</mo><mn>2</mn><mo>+</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mn>1</mn><mo>−</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></mfrac></mtd></mtr></mtable></math> | ⠅⠷⠭⠾⠀⠨⠅⠀⠹⠢⠬⠆⠭⠘⠆⠐⠌⠆⠤⠭⠤⠭⠘⠆⠐⠼⠀⣍⠀⠿⠀⠨⠅⠀⠹⠢⠬⠆⠭⠘⠆⠐⠌⠷⠆⠬⠭⠾⠷⠂⠤⠭⠾⠼ | 9) ⠅⠷⠭⠾⠀⠨⠅⠀⠹⠼⠢⠬⠆⠭⠘⠆⠌⠼⠆⠤⠭⠤⠭⠘⠆⠼⠀⠨⠅⠀⠹⠼⠢⠬⠆⠭⠘⠆⠌⠷⠼⠆⠬⠭⠾⠷⠼⠂⠤⠭⠾⠼
✗ | <math><mrow><mi>x</mi><mo>=</mo><mn>–2</mn></mrow></math> | ⠭⠀⠨⠅⠀⠤⠤⠆ | 10) ⠭⠀⠨⠅⠀⠤⠆
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>1</mn></mrow><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>2</mn><mi>x</mi><mo>−</mo><mn>3</mn></mrow></mfrac></mrow></math> | ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠭⠘⠆⠐⠤⠂⠌⠭⠘⠆⠐⠤⠆⠭⠤⠒⠼ | 1) ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠭⠘⠆⠤⠼⠂⠌⠭⠘⠆⠤⠼⠆⠭⠤⠼⠒⠼
✗ | <math><mrow><mi>x</mi><mo>+</mo><mn>1</mn></mrow></math> | ⠭⠬⠂ | 2) ⠭⠬⠼⠂
✗ | <math><mrow><mi>x</mi><mo>–</mo><mn>3</mn></mrow></math> | ⠭⠤⠤⠒ | 3) ⠭⠤⠼⠒
✗ | <math><mrow><mi>k</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mi>x</mi><mo>−</mo><mn>2</mn></mrow><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>4</mn></mrow></mfrac><mo>.</mo></mrow></math> | ⠅⠷⠭⠾⠀⠨⠅⠀⠹⠭⠤⠆⠌⠭⠘⠆⠐⠤⠲⠼⠸⠲ | 4) ⠅⠷⠭⠾⠀⠨⠅⠀⠹⠭⠤⠼⠆⠌⠭⠘⠆⠤⠼⠲⠼⠸⠲
✗ | <math><mrow><mi>x</mi><mo>–</mo><mn>2.</mn></mrow></math> | ⠭⠤⠤⠆⠨ | 5) ⠭⠤⠼⠆⠸⠲
✗ | <math><mrow><mi>x</mi><mo>=</mo><mn>2</mn></mrow></math> | ⠭⠀⠨⠅⠀⠼⠆ | 6) ⠭⠀⠨⠅⠀⠼⠆
✗ | <math><mrow><mtext>Example: </mtext><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mn>4</mn><mi>x</mi><mo>+</mo><mn>2</mn></mrow><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>4</mn><mi>x</mi><mo>−</mo><mn>5</mn></mrow></mfrac></mrow></math> | ⠠⠑⠭⠁⠍⠏⠇⠑⠒⠀⠋⠷⠭⠾⠀⠨⠅⠀⠹⠲⠭⠬⠆⠌⠭⠘⠆⠐⠬⠲⠭⠤⠢⠼ | 7) ⠠⠑⠭⠁⠍⠏⠇⠑⠒⠀⠋⠷⠭⠾⠀⠨⠅⠀⠹⠼⠲⠭⠬⠼⠆⠌⠭⠘⠆⠬⠼⠲⠭⠤⠼⠢⠼
✗ | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mn>4</mn><mi>x</mi></mfrac><mo>,</mo></mrow></math> | ⠛⠷⠭⠾⠀⠨⠅⠀⠹⠲⠌⠭⠼⠠ | 8) ⠛⠷⠭⠾⠀⠨⠅⠀⠹⠼⠲⠌⠭⠼⠠
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mi>p</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow><mrow><mi>q</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></mfrac><mo>,</mo><mspace width="0.5em"></mspace><mi>q</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>≠</mo><mn>0</mn><mspace width="0.5em"></mspace><mtext>where degree of</mtext><mspace width="0.5em"></mspace><mi>p</mi><mo>&lt;</mo><mtext>degree of </mtext><mi>q</mi><mo>.</mo></mrow></math> | ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠏⠷⠭⠾⠌⠟⠷⠭⠾⠼⠠⠀⠟⠷⠭⠾⠀⠌⠨⠅⠀⠼⠴⠺⠓⠑⠗⠑⠀⠙⠑⠛⠗⠑⠑⠀⠕⠋⠏⠀⠐⠅⠀⠙⠑⠛⠗⠑⠑⠀⠕⠋⠀⠰⠟⠸⠲ | 9) ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠏⠷⠭⠾⠌⠟⠷⠭⠾⠼⠠⠀⠟⠷⠭⠾⠀⠐⠨⠅⠀⠼⠴⠀⠺⠓⠑⠗⠑⠀⠙⠑⠛⠗⠑⠑⠀⠕⠋⠀⠏⠀⠐⠅⠀⠙⠑⠛⠗⠑⠑⠀⠕⠋⠀⠟⠸⠲
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>≈</mo><mfrac><mrow><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup></mrow><mi>x</mi></mfrac><mo>=</mo><mn>3</mn><mi>x</mi><mo>.</mo></mrow></math> | ⠋⠷⠭⠾⠀⠈⠱⠈⠱⠀⠹⠒⠭⠘⠆⠐⠌⠭⠼⠀⠨⠅⠀⠼⠒⠭⠸⠲ | 10) ⠋⠷⠭⠾⠀⠘⠨⠅⠀⠹⠼⠒⠭⠘⠆⠌⠭⠼⠀⠨⠅⠀⠼⠒⠭⠸⠲
✗ | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>3</mn><mi>x</mi></mrow></math> | ⠛⠷⠭⠾⠀⠨⠅⠀⠼⠒⠭ | 1) ⠛⠷⠭⠾⠀⠨⠅⠀⠼⠒⠭
✗ | <math><mrow><mi>y</mi><mo>=</mo><mn>3</mn><mi>x</mi><mo>.</mo></mrow></math> | ⠽⠀⠨⠅⠀⠼⠒⠭⠸⠲ | 2) ⠽⠀⠨⠅⠀⠼⠒⠭⠸⠲
✗ | <math><mrow><mn>3</mn><mi>x</mi><mo>+</mo><mn>1</mn><mo>,</mo></mrow></math> | ⠼⠒⠭⠬⠂⠠ | 3) ⠼⠒⠭⠬⠼⠂⠠
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mi>p</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow><mrow><mi>q</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></mfrac><mo>,</mo><mspace width="0.5em"></mspace><mi>q</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>≠</mo><mn>0</mn></mrow></math> | ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠏⠷⠭⠾⠌⠟⠷⠭⠾⠼⠠⠀⠟⠷⠭⠾⠀⠌⠨⠅⠀⠼⠴ | 4) ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠏⠷⠭⠾⠌⠟⠷⠭⠾⠼⠠⠀⠟⠷⠭⠾⠀⠐⠨⠅⠀⠼⠴
✗ | <math><mrow><mi>y</mi><mo>=</mo><mfrac><msub><mi>a</mi><mi>n</mi></msub><msub><mi>b</mi><mi>n</mi></msub></mfrac><mo>,</mo></mrow></math> | ⠽⠀⠨⠅⠀⠹⠁⠰⠝⠐⠌⠃⠰⠝⠐⠼⠠ | 5) ⠽⠀⠨⠅⠀⠹⠁⠰⠝⠌⠃⠰⠝⠼⠠
✗ | <math><msub><mi>b</mi><mi>n</mi></msub></math> | ⠃⠰⠝ | 6) ⠃⠰⠝
✗ | <math><mrow><mi>q</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow></mrow></math> | ⠟⠷⠭⠾ | 7) ⠟⠷⠭⠾
✗ | <math><mrow><mtext>Example: </mtext><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>2</mn></mrow><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>4</mn><mi>x</mi><mo>−</mo><mn>5</mn></mrow></mfrac></mrow></math> | ⠠⠑⠭⠁⠍⠏⠇⠑⠒⠀⠋⠷⠭⠾⠀⠨⠅⠀⠹⠒⠭⠘⠆⠐⠬⠆⠌⠭⠘⠆⠐⠬⠲⠭⠤⠢⠼ | 8) ⠠⠑⠭⠁⠍⠏⠇⠑⠒⠀⠋⠷⠭⠾⠀⠨⠅⠀⠹⠼⠒⠭⠘⠆⠬⠼⠆⠌⠭⠘⠆⠬⠼⠲⠭⠤⠼⠢⠼
✗ | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>3</mn><mo>,</mo></mrow></math> | ⠛⠷⠭⠾⠀⠨⠅⠀⠼⠒⠠ | 9) ⠛⠷⠭⠾⠀⠨⠅⠀⠼⠒⠠
