# Configuration:
#   Braille Code: UEB
#   Generate Braille: False
#   Model: gpt-5-mini
#   API Key: OPENAI_API_KEY
#   Batch Size: 20
#   Number of Examples: 192
#   Example Braille File: RustTestData/UEB.brls
#   Example MathML File: RustTestData/UEB.mmls
#   Input Braille Dir: test_data/UEB
#   Input MathML Dir: test_data/MathML
#   Instructions (preview): You are an expert braille translator specializing in UEB braille. The user will provide input, one per line, where each line is Unicode UEB braille characters to translate into MathML (e.g., here is o...
#
# 182 items. Usage info: prompt=238968, candidates=81676, total=320644, time=1039708ms, TPS=12729.663548655664.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✗ | ⠋⠐⠣⠞⠐⠜⠀⠐⠶⠀⠁⠃⠰⠔⠞ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></mrow></math> | <math><mi>f</mi><mo>(</mo><mi>r</mi><mo>)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>r</mi></msup></math>
✗ | ⠰⠰⠰⠠⠏⠐⠣⠝⠂⠀⠗⠐⠜⠀⠐⠶⠀⠷⠝⠖⠨⠌⠐⠣⠝⠐⠤⠗⠐⠜⠖⠾⠰⠄ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>n</mi><mo>,</mo><mi>r</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mi>n</mi><mo>!</mo></mrow><mrow><mo stretchy="false">(</mo><mi>n</mi><mo>−</mo><mi>r</mi><mo stretchy="false">)</mo><mo>!</mo></mrow></mfrac></mrow></math> | <math><mtext>UNTRANSLATED</mtext></math>
✗ | ⠰⠰⠷⠝⠖⠨⠌⠗⠢⠼⠁⠖⠗⠢⠼⠃⠖⠲⠲⠲⠗⠢⠅⠖⠾ | <math><mfrac><mrow><mi>n</mi><mo>!</mo></mrow><mrow><msub><mi>r</mi><mn>1</mn></msub><mo>!</mo><msub><mi>r</mi><mn>2</mn></msub><mo>!</mo><mo>…</mo><msub><mi>r</mi><mi>k</mi></msub><mo>!</mo></mrow></mfrac></math> | <math><mtext>UNTRANSLATED</mtext></math>
✗ | ⠐⠣⠗⠐⠖⠼⠁⠐⠜⠞⠓ | <math><mrow><mo stretchy="false">(</mo><mi>r</mi><mo>+</mo><mn>1</mn><mo stretchy="false">)</mo><mi>t</mi><mi>h</mi></mrow></math> | <math><mtext>UNTRANSLATED</mtext></math>
✗ | ⠠⠏⠐⠣⠠⠑⠐⠜⠀⠐⠶⠀⠰⠰⠷⠝⠐⠣⠠⠑⠐⠜⠨⠌⠝⠐⠣⠠⠎⠐⠜⠾ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>E</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mi>n</mi><mo stretchy="false">(</mo><mi>E</mi><mo stretchy="false">)</mo></mrow><mrow><mi>n</mi><mo stretchy="false">(</mo><mi>S</mi><mo stretchy="false">)</mo></mrow></mfrac></mrow></math> | <math><mrow><mo>(</mo><mi>r</mi><mo>+</mo><mn>1</mn><mo>)</mo><mtext>th</mtext></mrow></math>
✗ | ⠠⠠⠠⠏⠐⠣⠑⠨⠖⠋⠐⠜⠀⠐⠶⠀⠏⠐⠣⠑⠐⠜⠐⠖⠏⠐⠣⠋⠐⠜⠠⠄ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>E</mi><mo>∪</mo><mi>F</mi><mo stretchy="false">)</mo><mo>=</mo><mi>P</mi><mo stretchy="false">(</mo><mi>E</mi><mo stretchy="false">)</mo><mo>+</mo><mi>P</mi><mo stretchy="false">(</mo><mi>F</mi><mo stretchy="false">)</mo></mrow></math> | <math><mtext>UNTRANSLATED</mtext></math>
✗ | ⠰⠰⠰⠭⠀⠐⠶⠀⠷⠐⠤⠃⠸⠖⠩⠃⠔⠼⠃⠐⠤⠼⠙⠰⠁⠉⠬⠨⠌⠼⠃⠰⠁⠾⠰⠄ | <math><mrow><mi>x</mi><mo>=</mo><mfrac><mrow><mo>−</mo><mi>b</mi><mo>±</mo><msqrt><mrow><msup><mi>b</mi><mn>2</mn></msup><mo>−</mo><mn>4</mn><mi>a</mi><mi>c</mi></mrow></msqrt></mrow><mrow><mn>2</mn><mi>a</mi></mrow></mfrac></mrow></math> | <math><mtext>UNTRANSLATED</mtext></math>
✗ | ⠽⠐⠤ | <math><mrow><mi>y</mi><mtext>-</mtext></mrow></math> | <math><mi>x</mi><mo>=</mo><mfrac><mrow><mo>-</mo><mi>b</mi><mo>&#xB1;</mo><msqrt><msup><mi>b</mi><mn>2</mn></msup><mo>-</mo><mn>4</mn><mi>a</mi><mi>c</mi></msqrt></mrow><mrow><mn>2</mn><mi>a</mi></mrow></mfrac></math>
✗ | ⠋⠐⠣⠁⠐⠜⠀⠯⠀⠋⠐⠣⠃⠐⠜ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>a</mi><mo stretchy="false">)</mo><mo> </mo><mtext>and</mtext><mo> </mo><mi>f</mi><mo stretchy="false">(</mo><mi>b</mi><mo stretchy="false">)</mo></mrow></math> | <math><mi>y</mi><mo>-</mo></math>
✗ | ⠁ | <math><mi>a</mi></math> | <math><mi>f</mi><mo>(</mo><mi>a</mi><mo>)</mo><mo>&#xA0;</mo><mtext>or</mtext><mo>&#xA0;</mo><mi>f</mi><mo>(</mo><mi>b</mi><mo>)</mo></math>
✗ | ⠭⠐⠤⠅⠲ | <math><mrow><mi>x</mi><mo>−</mo><mi>k</mi><mo>.</mo></mrow></math> | <math><mi>a</mi></math>
✗ | ⠋⠐⠣⠭⠐⠜ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math> | <math><mi>x</mi><mo>-</mo><mi>k</mi><mo>.</mo></math>
✗ | ⠐⠣⠭⠐⠤⠅⠐⠜ | <math><mrow><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mi>k</mi><mo stretchy="false">)</mo></mrow></math> | <math><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo></math>
✗ | ⠐⠣⠭⠐⠤⠉⠐⠜⠂⠀ | <math><mrow><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mi>c</mi><mo stretchy="false">)</mo><mo>,</mo></mrow></math> | <math><mo>(</mo><mi>x</mi><mo>-</mo><mi>k</mi><mo>)</mo></math>
✗ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠰⠷⠼⠁⠨⠌⠭⠾ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mn>1</mn><mi>x</mi></mfrac></mrow></math> | <math><mo>(</mo><mi>x</mi><mo>-</mo><mi>c</mi><mo>)</mo><mo>,</mo></math>
✗ | ⠰⠰⠰⠭⠀⠐⠶⠀⠭⠢⠼⠁⠂⠀⠭⠢⠼⠃⠂⠀⠲⠲⠲⠂⠀⠭⠢⠝⠂⠀⠰⠄ | <math><mrow><mi>x</mi><mo>=</mo><msub><mi>x</mi><mn>1</mn></msub><mo>,</mo><msub><mi>x</mi><mn>2</mn></msub><mo>,</mo><mo>…</mo><mo>,</mo><msub><mi>x</mi><mi>n</mi></msub><mo>,</mo></mrow></math> | <math><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mfrac><mn>1</mn><mi>x</mi></mfrac></math>
✗ | ⠰⠰⠰⠭⠢⠊⠀⠐⠶⠀⠁⠝⠽⠀⠧⠢⠚⠂⠀⠰⠄ | <math><mrow><msub><mi>x</mi><mi>i</mi></msub><mo>=</mo><mtext>any </mtext><msub><mi>v</mi><mi>j</mi></msub><mo>,</mo></mrow></math> | <math><mi>x</mi><mo>=</mo><mi>x</mi><mo>:</mo><mn>1</mn><mo>,</mo><mi>x</mi><mo>:</mo><mn>2</mn><mo>,</mo><mo>&#x2026;</mo><mi>x</mi><mo>:</mo><mi>n</mi></math>
✗ | ⠰⠰⠋⠔⠣⠐⠤⠼⠁⠜ | <math><msup><mi>f</mi><mrow><mo>−</mo><mn>1</mn></mrow></msup></math> | <math><msub><mi>x</mi><mi>i</mi></msub><mo>=</mo><mtext>any</mtext><msub><mi>v</mi><mi>j</mi></msub></math>
✗ | ⠰⠋ | <math><mi>f</mi></math> | <math><msup><mi>f</mi><mrow><mo>-</mo><mn>1</mn></mrow></msup></math>
✗ | ⠰⠭⠂⠀ | <math><mrow><mi>x</mi><mo>,</mo></mrow></math> | <math><mi>f</mi></math>
✗ | ⠰⠭ | <math><mi>x</mi></math> | <math><mi>x</mi><mo>,</mo></math>
✗ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠰⠷⠼⠁⠑⠂⠚⠚⠚⠭⠐⠤⠼⠚⠲⠁⠭⠔⠼⠃⠐⠖⠼⠁⠚⠚⠚⠨⠌⠭⠾ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mn>15,000</mn><mi>x</mi><mo>−</mo><mn>0.1</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>1000</mn></mrow><mi>x</mi></mfrac></mrow></math> | <math><mi>x</mi></math>
✗ | ⠰⠰⠰⠐⠣⠽⠀⠐⠶⠀⠼⠚⠐⠜⠀⠁⠎⠀⠭⠀⠳⠕⠀⠠⠤⠼⠿⠲⠰⠄ | <math><mrow><mo stretchy="false">(</mo><mi>y</mi><mo>=</mo><mn>0</mn><mo stretchy="false">)</mo><mo> </mo><mtext>as</mtext><mo> </mo><mi>x</mi><mo stretchy="false">→</mo><mo>–</mo><mi>∞</mi><mo>.</mo></mrow></math> | <math><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mfrac><mrow><mn>15000</mn><mi>x</mi><mo>-</mo><mn>0</mn><mo>.</mo><mn>1</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>1000</mn></mrow><mi>x</mi></mfrac></math>
✗ | ⠰⠰⠰⠐⠣⠽⠀⠐⠶⠀⠼⠚⠐⠜⠀⠁⠎⠀⠭⠀⠳⠕⠀⠼⠿⠲⠰⠄ | <math><mrow><mo stretchy="false">(</mo><mi>y</mi><mo>=</mo><mn>0</mn><mo stretchy="false">)</mo><mo> </mo><mtext>as</mtext><mo> </mo><mi>x</mi><mo stretchy="false">→</mo><mi>∞</mi><mo>.</mo></mrow></math> | <math><mo>(</mo><mi>y</mi><mo>)</mo><mo>=</mo><mo>(</mo><mn>0</mn><mo>)</mo><mtext>&#xA0;as&#xA0;</mtext><mi>x</mi><mo>&#x2192;</mo><mo>&#x2212;</mo><mo>&#x221E;</mo></math>
✗ | ⠰⠭⠀⠈⠣⠀⠁ | <math><mrow><mi>x</mi><mo>&lt;</mo><mi>a</mi></mrow></math> | <math><mo>(</mo><mi>y</mi><mo>)</mo><mo>=</mo><mo>(</mo><mn>0</mn><mo>)</mo><mtext>&#xA0;as&#xA0;</mtext><mi>x</mi><mo>&#x2192;</mo><mo>&#x221E;</mo></math>
✗ | ⠰⠭⠀⠈⠜⠀⠁ | <math><mrow><mi>x</mi><mo>&gt;</mo><mi>a</mi></mrow></math> | <math><mi>x</mi><mo>&#x2264;</mo><mi>a</mi></math>
✗ | ⠰⠰⠰⠭⠀⠳⠕⠀⠐⠤⠼⠿⠰⠄ | <math><mrow><mi>x</mi><mo stretchy="false">→</mo><mo>−</mo><mi>∞</mi></mrow></math> | <math><mi>x</mi><mo>&#x2265;</mo><mi>a</mi></math>
✗ | ⠋⠐⠣⠭⠐⠜⠀⠰⠳⠕⠀⠐⠤⠼⠿ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mo>−</mo><mi>∞</mi></mrow></math> | <math><mi>x</mi><mo>&#x2192;</mo><mo>&#x2212;</mo><mo>&#x221E;</mo></math>
✗ | ⠰⠭⠀⠐⠶⠀⠼⠚⠆ | <math><mrow><mi>x</mi><mo>=</mo><mn>0</mn><mo>;</mo></mrow></math> | <math><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>&#x2192;</mo><mo>&#x2212;</mo><mo>&#x221E;</mo></math>
✗ | ⠰⠰⠰⠠⠁⠎⠀⠭⠀⠳⠕⠀⠼⠚⠔⠐⠖⠂⠀⠋⠐⠣⠭⠐⠜⠀⠳⠕⠀⠼⠿⠲⠰⠄ | <math><mrow><mtext>As </mtext><mi>x</mi><mo stretchy="false">→</mo><msup><mn>0</mn><mo>+</mo></msup><mo>,</mo><mo> </mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mi>∞</mi><mo>.</mo></mrow></math> | <math><mi>x</mi><mo>=</mo><mn>0</mn><mo>;</mo></math>
✗ | ⠰⠰⠰⠠⠁⠎⠀⠭⠀⠳⠕⠀⠁⠔⠠⠤⠂⠀⠋⠐⠣⠭⠐⠜⠀⠳⠕⠀⠸⠖⠼⠿⠀⠕⠗⠀⠭⠀⠳⠕⠀⠁⠔⠐⠖⠂⠀⠋⠐⠣⠭⠐⠜⠀⠳⠕⠀⠸⠖⠼⠿⠲⠰⠄ | <math><mrow><mtext>As </mtext><mi>x</mi><mo stretchy="false">→</mo><msup><mi>a</mi><mo>–</mo></msup><mo>,</mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mo>±</mo><mi>∞</mi><mtext> or </mtext><mi>x</mi><mo stretchy="false">→</mo><msup><mi>a</mi><mo>+</mo></msup><mo>,</mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mo>±</mo><mi>∞</mi><mo>.</mo></mrow></math> | <math><mtext>As</mtext><mo>&#xA0;</mo><mi>x</mi><mo>&#x2192;</mo><msup><mn>0</mn><mo>+</mo></msup><mo>,</mo><mo>&#xA0;</mo><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>&#x2192;</mo><mo>&#x221E;</mo></math>
✗ | ⠰⠽⠀⠐⠶⠀⠼⠚⠲ | <math><mrow><mi>y</mi><mo>=</mo><mn>0.</mn></mrow></math> | I can translate UEB braille into MathML, but I can’t reliably convert this many lines at once. Please send a single braille line (one expression) per message and I will return the corresponding MathML.
✗ | ⠰⠰⠰⠠⠁⠎⠀⠭⠀⠳⠕⠀⠼⠿⠀⠕⠗⠀⠭⠀⠳⠕⠀⠐⠤⠼⠿⠂⠀⠈⠣⠍⠞⠑⠭⠞⠸⠌⠈⠜⠋⠐⠣⠭⠐⠜⠀⠳⠕⠀⠃⠲⠰⠄ | <math><mrow><mtext>As </mtext><mi>x</mi><mo stretchy="false">→</mo><mi>∞</mi><mspace width="0.5em"></mspace><mtext>or </mtext><mi>x</mi><mo stretchy="false">→</mo><mo>−</mo><mi>∞</mi><mo>,</mo><mspace width="0.5em"></mspace><mtext>&lt;mtext/&gt;</mtext><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mi>b</mi><mo>.</mo></mrow></math> | <math><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mfrac><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>&#x2212;</mo><mn>1</mn></mrow><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>&#x2212;</mo><mn>2</mn><mi>x</mi><mo>&#x2212;</mo><mn>3</mn></mrow></mfrac></math>
✗ | ⠰⠭⠀⠐⠶⠀⠼⠃⠲ | <math><mrow><mi>x</mi><mo>=</mo><mn>2.</mn></mrow></math> | <math><mi>x</mi><mo>+</mo><mn>1</mn></math>
✗ | ⠰⠽⠀⠐⠶⠀⠼⠙⠲ | <math><mrow><mi>y</mi><mo>=</mo><mn>4.</mn></mrow></math> | <math><mi>x</mi><mo>&#x2212;</mo><mn>3</mn></math>
✗ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠰⠷⠼⠁⠨⠌⠭⠐⠖⠼⠃⠾⠐⠖⠼⠉ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mn>1</mn><mrow><mi>x</mi><mo>+</mo><mn>2</mn></mrow></mfrac><mo>+</mo><mn>3</mn></mrow></math> | <math><mi>k</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mfrac><mrow><mi>x</mi><mo>&#x2212;</mo><mn>2</mn></mrow><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>&#x2212;</mo><mn>4</mn></mrow></mfrac><mo>.</mo></math>
✗ | ⠰⠭⠀⠐⠶⠀⠐⠤⠼⠃⠂⠀ | <math><mrow><mi>x</mi><mo>=</mo><mn>−2</mn><mo>,</mo></mrow></math> | <math><mi>x</mi><mo>&#x2212;</mo><mn>2</mn><mo>.</mo></math>
✗ | ⠰⠰⠰⠠⠁⠎⠀⠭⠀⠳⠕⠀⠐⠤⠼⠃⠔⠐⠤⠂⠀⠋⠐⠣⠭⠐⠜⠀⠳⠕⠀⠐⠤⠼⠿⠂⠀⠁⠝⠙⠀⠁⠎⠀⠭⠀⠳⠕⠀⠐⠤⠼⠃⠔⠐⠖⠂⠀⠋⠐⠣⠭⠐⠜⠀⠳⠕⠀⠼⠿⠲⠰⠄ | <math><mrow><mtext>As </mtext><mi>x</mi><mo stretchy="false">→</mo><mo>−</mo><msup><mn>2</mn><mo>−</mo></msup><mo>,</mo><mo> </mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mo>−</mo><mi>∞</mi><mo>,</mo><mtext>and as</mtext><mo> </mo><mi>x</mi><mo stretchy="false">→</mo><mo>−</mo><msup><mn>2</mn><mo>+</mo></msup><mo>,</mo><mo> </mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mi>∞</mi><mo>.</mo></mrow></math> | <math><mi>x</mi><mo>=</mo><mn>2</mn></math>
✗ | ⠰⠰⠰⠠⠁⠎⠀⠭⠀⠳⠕⠀⠸⠖⠼⠿⠂⠀⠋⠐⠣⠭⠐⠜⠀⠳⠕⠀⠼⠉⠲⠰⠄ | <math><mrow><mtext>As </mtext><mi>x</mi><mo stretchy="false">→</mo><mo>±</mo><mi>∞</mi><mo>,</mo><mo> </mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mn>3.</mn></mrow></math> | <math><mtext>Example:</mtext><mo>&#xA0;</mo><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mfrac><mrow><mn>4</mn><mi>x</mi><mo>+</mo><mn>2</mn></mrow><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>4</mn><mi>x</mi><mo>&#x2212;</mo><mn>5</mn></mrow></mfrac></math>
✗ | ⠠⠏⠐⠣⠭⠐⠜⠀⠯⠀⠠⠟⠐⠣⠭⠐⠜⠲ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo> </mo><mtext>and</mtext><mo> </mo><mi>Q</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>.</mo></mrow></math> | <math><mi>g</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mfrac><mn>4</mn><mi>x</mi></mfrac><mo>.</mo></math>
✗ | ⠰⠞ | <math><mi>t</mi></math> | <math><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mfrac><mrow><mi>p</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mrow><mi>q</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow></mfrac><mo>.</mo><mtext>&#xA0;q(x)=?&#xA0;where degree of p &lt; degree of q.</mtext></math>
✗ | ⠰⠠⠉ | <math><mi>C</mi></math> | <math><mi>f</mi><mo>'</mo><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mfrac><mrow><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup></mrow><mi>x</mi></mfrac><mo>=</mo><mn>3</mn><mi>x</mi><mo>.</mo></math>
✗ | ⠠⠉⠐⠣⠞⠐⠜ | <math><mrow><mi>C</mi><mrow><mo>(</mo><mi>t</mi><mo>)</mo></mrow></mrow></math> | <math><mi>g</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>3</mn><mi>x</mi></math>
✗ | ⠠⠠⠉⠐⠣⠼⠁⠃⠐⠜⠀⠐⠶⠀⠰⠷⠼⠑⠐⠖⠼⠁⠃⠨⠌⠼⠁⠚⠚⠐⠖⠼⠁⠚⠐⠣⠼⠁⠃⠐⠜⠾⠠⠠⠬⠀⠐⠶⠀⠼⠁⠛⠌⠃⠃⠚⠠ | <math><mtable><mtr rowalign="center"><mtd columnalign="right"><mrow><mi>C</mi><mo stretchy="false">(</mo><mn>12</mn><mo stretchy="false">)</mo></mrow></mtd><mtd rowalign="center"><mo>=</mo></mtd><mtd columnalign="left" rowalign="center"><mfrac><mrow><mn>5</mn><mo>+</mo><mn>12</mn></mrow><mrow><mn>100</mn><mo>+</mo><mn>10</mn><mo stretchy="false">(</mo><mn>12</mn><mo stretchy="false">)</mo></mrow></mfrac></mtd></mtr><mtr rowalign="center"><mtd rowalign="center"/><mtd rowalign="center"><mo>=</mo></mtd><mtd columnalign="left" rowalign="center"><mfrac><mn>17</mn><mn>220</mn></mfrac></mtd></mtr></mtable></math> | <math><mi>y</mi><mo>=</mo><mn>3</mn><mi>x</mi><mo>.</mo></math>
✗ | ⠼⠁⠛⠌⠃⠃⠚⠀⠘⠔⠀⠼⠚⠲⠚⠓⠀⠈⠜⠀⠼⠁⠌⠃⠚⠀⠐⠶⠀⠼⠚⠲⠚⠑⠂⠀ | <math><mrow><mfrac><mn>17</mn><mn>220</mn></mfrac><mo>≈</mo><mn>0.08</mn><mo>&gt;</mo><mfrac><mn>1</mn><mn>20</mn></mfrac><mo>=</mo><mn>0.05</mn><mo>,</mo></mrow></math> | <math><mn>3</mn><mi>x</mi><mo>+</mo><mn>1</mn></math>
✗ | ⠠⠭⠰⠔⠼⠃⠐⠤⠼⠊⠀⠐⠶⠀⠼⠚⠠⠠⠭⠔⠼⠃⠀⠐⠶⠀⠼⠊⠠⠠⠭⠀⠐⠶⠀⠸⠖⠼⠉⠠ | <math><mtable><mtr><mtd columnalign="right"><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>9</mn></mrow></mtd><mtd><mo>=</mo></mtd><mtd columnalign="left"><mn>0</mn></mtd></mtr><mtr><mtd columnalign="right"><msup><mi>x</mi><mn>2</mn></msup></mtd><mtd><mo>=</mo></mtd><mtd columnalign="left"><mn>9</mn></mtd></mtr><mtr><mtd columnalign="right"><mi>x</mi></mtd><mtd><mo>=</mo></mtd><mtd columnalign="left"><mn>±3</mn></mtd></mtr></mtable></math> | <math><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mfrac><mrow><mi>p</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mrow><mi>q</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow></mfrac><mo>.</mo><mtext>&#xA0;q(x) has degree 2.</mtext></math>
✗ | ⠰⠭⠀⠐⠶⠀⠼⠉ | <math><mrow><mi>x</mi><mo>=</mo><mn>3</mn></mrow></math> | <math><mi>y</mi><mo>=</mo><mfrac><msup><mi>a</mi><mi>n</mi></msup><msup><mi>b</mi><mi>n</mi></msup></mfrac></math>
✗ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠰⠷⠼⠙⠭⠨⠌⠼⠑⠐⠣⠭⠐⠤⠼⠁⠐⠜⠐⠣⠭⠐⠤⠼⠑⠐⠜⠾⠲ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mn>4</mn><mi>x</mi></mrow><mrow><mn>5</mn><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mn>1</mn><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mn>5</mn><mo stretchy="false">)</mo></mrow></mfrac><mo>.</mo></mrow></math> | <math><msup><mi>b</mi><mi>n</mi></msup></math>
✗ | ⠰⠰⠰⠠⠅⠐⠣⠭⠐⠜⠀⠐⠶⠀⠷⠼⠑⠐⠖⠼⠃⠭⠔⠼⠃⠨⠌⠼⠃⠐⠤⠭⠐⠤⠭⠔⠼⠃⠾⠠⠠⠬⠀⠐⠶⠀⠷⠼⠑⠐⠖⠼⠃⠭⠔⠼⠃⠨⠌⠐⠣⠼⠃⠐⠖⠭⠐⠜⠐⠣⠼⠁⠐⠤⠭⠐⠜⠾⠠⠰⠄ | <math><mtable><mtr rowalign="center"><mtd rowalign="center" columnalign="right"><mrow><mi>k</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></mtd><mtd rowalign="center"><mo>=</mo></mtd><mtd rowalign="center" columnalign="left"><mfrac><mrow><mn>5</mn><mo>+</mo><mn>2</mn><msup><mi>x</mi><mn>2</mn></msup></mrow><mrow><mn>2</mn><mo>−</mo><mi>x</mi><mo>−</mo><msup><mi>x</mi><mn>2</mn></msup></mrow></mfrac></mtd></mtr><mtr rowalign="center"><mtd rowalign="center"/><mtd rowalign="center"><mo>=</mo></mtd><mtd rowalign="center" columnalign="left"><mfrac><mrow><mn>5</mn><mo>+</mo><mn>2</mn><msup><mi>x</mi><mn>2</mn></msup></mrow><mrow><mo stretchy="false">(</mo><mn>2</mn><mo>+</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mn>1</mn><mo>−</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></mfrac></mtd></mtr></mtable></math> | <math><mi>q</mi><mo>(</mo><mi>x</mi><mo>)</mo></math>
✗ | ⠰⠭⠀⠐⠶⠀⠠⠤⠼⠃ | <math><mrow><mi>x</mi><mo>=</mo><mn>–2</mn></mrow></math> | <math><mtext>Example:</mtext><mo>&#xA0;</mo><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mfrac><mrow><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>2</mn></mrow><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>4</mn><mi>x</mi><mo>&#x2212;</mo><mn>5</mn></mrow></mfrac></math>
✗ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠰⠰⠷⠭⠔⠼⠃⠐⠤⠼⠁⠨⠌⠭⠔⠼⠃⠐⠤⠼⠃⠭⠐⠤⠼⠉⠾ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>1</mn></mrow><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>2</mn><mi>x</mi><mo>−</mo><mn>3</mn></mrow></mfrac></mrow></math> | <math><mi>g</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>3</mn></math>
