# Configuration:
#   Braille Code: nemeth
#   Generate Braille: False
#   Model: gemini-3.1-pro-preview 
#   API Key: GEMINI_API_KEY
#   Batch Size: 40
#   Number of Examples: 2471
#   Example Braille File: RustTestData/Nemeth.brls
#   Example MathML File: RustTestData/Nemeth.mmls
#   Input Braille Dir: test_data/nemeth.brls
#   Input MathML Dir: test_data/mathml.mmls
#
# 80 items. Usage info: prompt=517234, candidates=4017, total=525388, time=17407ms, TPS=4333.333333333333.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠿⠹⠒⠭⠌⠲⠼⠤⠂⠀⠨⠅⠀⠼⠆⠭⠬⠹⠔⠌⠆⠼ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mtext> </mtext><mtext> </mtext><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mn>3</mn><mi>x</mi></mrow><mn>4</mn></mfrac></mstyle><mo>−</mo><mn>1</mn><mo>=</mo><mn>2</mn><mi>x</mi><mo>+</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>9</mn><mn>2</mn></mfrac></mstyle></math> | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mtext> </mtext><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mn>3</mn><mi>x</mi></mrow><mn>4</mn></mfrac></mstyle><mo>−</mo><mn>1</mn><mo>=</mo><mn>2</mn><mi>x</mi><mo>+</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>9</mn><mn>2</mn></mfrac></mstyle></math>
✓ | ⠽⠀⠨⠅⠀⠍⠭⠬⠃⠸⠲ | <math> <mrow> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mrow> <mi>m</mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mi>b</mi> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mrow> <mi>m</mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mi>b</mi> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠨⠁ | <math> <mi>α</mi> </math> | <math> <mi>α</mi> </math>
✓ | ⠁⠲⠀⠨⠅⠀⠼⠂⠲ | <math> <mrow> <msub> <mi>a</mi> <mn>4</mn> </msub> <mo>=</mo> <mn>14</mn> </mrow> </math> | <math> <mrow> <msub> <mi>a</mi> <mn>4</mn> </msub> <mo>=</mo> <mn>14</mn> </mrow> </math>
✓ | ⠼⠒⠖⠸⠌⠆⠂⠖⠀⠨⠅⠀⠼⠴⠨⠂⠖⠶ | <math> <mrow> <mrow> <mn>36</mn> <mo>/</mo> <mn>216</mn> </mrow> <mo>=</mo> <mn>0.167</mn> </mrow> </math> | <math> <mrow> <mrow> <mn>36</mn> <mo>/</mo> <mn>216</mn> </mrow> <mo>=</mo> <mn>0.167</mn> </mrow> </math>
✓ | ⠁⠢⠀⠨⠅⠀⠼⠂⠶ | <math> <mrow> <msub> <mi>a</mi> <mn>5</mn> </msub> <mo>=</mo> <mn>17</mn> </mrow> </math> | <math> <mrow> <msub> <mi>a</mi> <mn>5</mn> </msub> <mo>=</mo> <mn>17</mn> </mrow> </math>
✓ | ⠤⠼⠦ | <math> <mrow> <mo>-</mo> <mn>8</mn> </mrow> </math> | <math> <mrow> <mo>-</mo> <mn>8</mn> </mrow> </math>
✓ | ⠠⠁⠴ | <math> <msub> <mi>A</mi> <mn>0</mn> </msub> </math> | <math> <msub> <mi>A</mi> <mn>0</mn> </msub> </math>
✓ | ⠼⠒⠘⠲ | <math> <msup> <mn>3</mn> <mn>4</mn> </msup> </math> | <math> <msup> <mn>3</mn> <mn>4</mn> </msup> </math>
✓ | ⠼⠒⠨ | <math> <mn>3.</mn> </math> | <math> <mn>3.</mn> </math>
✓ | ⠃⠈⠡⠭ | <math> <mrow> <mi>b</mi> <mo>×</mo> <mi>x</mi> </mrow> </math> | <math> <mrow> <mi>b</mi> <mo>×</mo> <mi>x</mi> </mrow> </math>
✓ | ⠽⠀⠨⠅⠀⠼⠒⠭⠤⠲ | <math> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mn>4</mn> </mrow> </mrow> </math> | <math> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mn>4</mn> </mrow> </mrow> </math>
✓ | ⠰⠁ | <math> <mi>a</mi> </math> | <math> <mi>a</mi> </math>
✗ | ⠼⠖⠢⠈⠴ | <math> <mi>65%</mi> </math> | <math> <mrow> <mn>65</mn> <mo>%</mo> </mrow> </math>
✓ | ⠰⠅⠠ | <math> <mrow> <mi>k</mi> <mo>,</mo> </mrow> </math> | <math> <mrow> <mi>k</mi> <mo>,</mo> </mrow> </math>
✓ | ⠰⠛⠠ | <math> <mrow> <mi>g</mi> <mo>,</mo> </mrow> </math> | <math> <mrow> <mi>g</mi> <mo>,</mo> </mrow> </math>
✓ | ⠋⠷⠭⠾⠀⠨⠅⠀⠑⠘⠤⠭⠘⠘⠆⠠ | <math> <mrow> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <msup> <mi>e</mi> <mrow> <mo>-</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> </msup> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <msup> <mi>e</mi> <mrow> <mo>-</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> </msup> </mrow> <mo>,</mo> </mrow> </math>
✓ | ⠋⠬⠛ | <math> <mrow> <mi>f</mi> <mo>+</mo> <mi>g</mi> </mrow> </math> | <math> <mrow> <mi>f</mi> <mo>+</mo> <mi>g</mi> </mrow> </math>
✓ | ⠷⠶⠃⠘⠒⠐⠤⠖⠾⠘⠆ | <math> <msup> <mrow> <mo>(</mo> <mrow> <mrow> <mn>7</mn> <mo>⁢</mo> <msup> <mi>b</mi> <mn>3</mn> </msup> </mrow> <mo>-</mo> <mn>6</mn> </mrow> <mo>)</mo> </mrow> <mn>2</mn> </msup> </math> | <math> <msup> <mrow> <mo>(</mo> <mrow> <mrow> <mn>7</mn> <mo>⁢</mo> <msup> <mi>b</mi> <mn>3</mn> </msup> </mrow> <mo>-</mo> <mn>6</mn> </mrow> <mo>)</mo> </mrow> <mn>2</mn> </msup> </math>
✓ | ⠛⠷⠭⠾⠀⠨⠅⠀⠼⠆⠘⠭⠤⠂⠸⠲ | <math> <mrow> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <msup> <mn>2</mn> <mrow> <mi>x</mi> <mo>-</mo> <mn>1</mn> </mrow> </msup> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <msup> <mn>2</mn> <mrow> <mi>x</mi> <mo>-</mo> <mn>1</mn> </mrow> </msup> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠰⠍ | <math> <mi>m</mi> </math> | <math> <mi>m</mi> </math>
✓ | ⠷⠆⠽⠬⠔⠺⠾⠷⠆⠽⠤⠔⠺⠾ | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>y</mi> </mrow> <mo>+</mo> <mrow> <mn>9</mn> <mo>⁢</mo> <mi>w</mi> </mrow> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>y</mi> </mrow> <mo>-</mo> <mrow> <mn>9</mn> <mo>⁢</mo> <mi>w</mi> </mrow> </mrow> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>y</mi> </mrow> <mo>+</mo> <mrow> <mn>9</mn> <mo>⁢</mo> <mi>w</mi> </mrow> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>y</mi> </mrow> <mo>-</mo> <mrow> <mn>9</mn> <mo>⁢</mo> <mi>w</mi> </mrow> </mrow> <mo>)</mo> </mrow> </mrow> </math>
✓ | ⠁⠘⠍⠸⠌⠝ | <math> <msup> <mi>a</mi> <mrow> <mi>m</mi> <mo>/</mo> <mi>n</mi> </mrow> </msup> </math> | <math> <msup> <mi>a</mi> <mrow> <mi>m</mi> <mo>/</mo> <mi>n</mi> </mrow> </msup> </math>
✓ | ⠃⠀⠨⠅⠀⠼⠢ | <math> <mrow> <mi>b</mi> <mo>=</mo> <mn>5</mn> </mrow> </math> | <math> <mrow> <mi>b</mi> <mo>=</mo> <mn>5</mn> </mrow> </math>
✓ | ⠛⠷⠥⠾⠀⠨⠅⠀⠜⠥⠬⠆⠻⠤⠒ | <math> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>u</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <msqrt> <mrow> <mi>u</mi> <mo>+</mo> <mn>2</mn> </mrow> </msqrt> <mo>-</mo> <mn>3</mn> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>u</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <msqrt> <mrow> <mi>u</mi> <mo>+</mo> <mn>2</mn> </mrow> </msqrt> <mo>-</mo> <mn>3</mn> </mrow> </mrow> </math>
✓ | ⠊⠀⠨⠅⠀⠷⠹⠅⠌⠂⠴⠴⠼⠾⠷⠝⠬⠂⠾ | <math> <mrow> <mi>i</mi> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mfrac> <mi>k</mi> <mn>100</mn> </mfrac> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>n</mi> <mo>+</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mi>i</mi> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mfrac> <mi>k</mi> <mn>100</mn> </mfrac> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>n</mi> <mo>+</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✓ | ⠨⠅⠀⠠⠹⠹⠒⠌⠂⠔⠼⠠⠌⠹⠖⠌⠂⠔⠼⠠⠼ | <math> <mrow> <mo>=</mo> <mfrac> <mfrac> <mn>3</mn> <mn>19</mn> </mfrac> <mfrac> <mn>6</mn> <mn>19</mn> </mfrac> </mfrac> </mrow> </math> | <math> <mrow> <mo>=</mo> <mfrac> <mfrac> <mn>3</mn> <mn>19</mn> </mfrac> <mfrac> <mn>6</mn> <mn>19</mn> </mfrac> </mfrac> </mrow> </math>
✓ | ⠼⠆⠨⠏⠠ | <math> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>π</mi> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>π</mi> </mrow> <mo>,</mo> </mrow> </math>
✓ | ⠹⠖⠌⠆⠴⠼ | <math> <mfrac> <mn>6</mn> <mn>20</mn> </mfrac> </math> | <math> <mfrac> <mn>6</mn> <mn>20</mn> </mfrac> </math>
# Matches: 73 out of 80: 91%.
