# Configuration:
#   Braille Code: ueb
#   Generate Braille: False
#   Model: gemini-2.5-pro 
#   API Key: GEMINI_API_KEY
#   Batch Size: 40
#   Number of Examples: 940
#   Example Braille File: RustTestData/UEB.brls
#   Example MathML File: RustTestData/UEB.mmls
#   Input Braille Dir: test_data/ueb.brls
#   Input MathML Dir: test_data/mathml.mmls
#
# 200 items. Usage info: prompt=551491, candidates=10304, total=674485, time=64968ms, TPS=6305.124223602485.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠬⠰⠷⠼⠉⠭⠨⠌⠼⠙⠾⠐⠤⠼⠁⠀⠐⠶⠀⠼⠃⠭⠐⠖⠼⠊⠌⠃ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mtext> </mtext><mtext> </mtext><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mn>3</mn><mi>x</mi></mrow><mn>4</mn></mfrac></mstyle><mo>−</mo><mn>1</mn><mo>=</mo><mn>2</mn><mi>x</mi><mo>+</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>9</mn><mn>2</mn></mfrac></mstyle></math> | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mtext> </mtext><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mn>3</mn><mi>x</mi></mrow><mn>4</mn></mfrac></mstyle><mo>−</mo><mn>1</mn><mo>=</mo><mn>2</mn><mi>x</mi><mo>+</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>9</mn><mn>2</mn></mfrac></mstyle></math>
✓ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠙⠭⠔⠼⠃⠐⠤⠼⠃⠚⠭⠐⠖⠼⠃⠑ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>4</mn><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>20</mn><mi>x</mi><mo>+</mo><mn>25</mn></mrow></math> | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>4</mn><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>20</mn><mi>x</mi><mo>+</mo><mn>25</mn></mrow></math>
✓ | ⠼⠓⠌⠁⠁ | <math><mfrac><mn>8</mn><mn>11</mn></mfrac></math> | <math><mfrac><mn>8</mn><mn>11</mn></mfrac></math>
✗ | ⠈⠎⠼⠁⠲⠁⠛⠦ | <math><mrow><mtext>$1.17</mtext><mo>?</mo></mrow></math> | <math><mrow><mi>$</mi><mn>1.17</mn><mtext>?</mtext></mrow></math>
✓ | ⠘⠆⠨⠆⠰⠽ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi mathvariant="bold-italic">y</mi></math> | <math><mi mathvariant="bold-italic">y</mi></math>
✓ | ⠰⠰⠰⠷⠝⠥⠍⠃⠑⠗⠀⠕⠋⠀⠏⠑⠕⠏⠇⠑⠨⠌⠝⠥⠍⠃⠑⠗⠀⠕⠋⠀⠽⠑⠁⠗⠎⠾⠰⠄ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mfrac><mtext>number of people</mtext><mtext>number of years</mtext></mfrac></mstyle></math> | <math><mrow><mfrac><mtext>number of people</mtext><mtext>number of years</mtext></mfrac></mrow></math>
✓ | ⠼⠙⠰⠓⠔⠼⠃⠐⠖⠼⠉⠋⠰⠓⠅⠐⠖⠼⠓⠁⠅⠔⠼⠃ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mn>4</mn><msup><mi>h</mi><mn>2</mn></msup><mo>+</mo><mn>36</mn><mi>h</mi><mi>k</mi><mo>+</mo><mn>81</mn><msup><mi>k</mi><mn>2</mn></msup></mstyle></math> | <math><mrow><mn>4</mn><msup><mi>h</mi><mn>2</mn></msup><mo>+</mo><mn>36</mn><mi>h</mi><mi>k</mi><mo>+</mo><mn>81</mn><msup><mi>k</mi><mn>2</mn></msup></mrow></math>
✓ | ⠁⠰⠢⠼⠊⠀⠐⠶⠀⠼⠑⠙ | <math><mrow><msub><mi>a</mi><mn>9</mn></msub><mo>=</mo><mn>54</mn></mrow></math> | <math><mrow><msub><mi>a</mi><mn>9</mn></msub><mo>=</mo><mn>54</mn></mrow></math>
✓ | ⠰⠩⠼⠛⠑⠬ | <math><msqrt><mn>75</mn></msqrt></math> | <math><msqrt><mn>75</mn></msqrt></math>
✓ | ⠼⠁⠑⠌⠉⠃ | <math><mfrac><mn>15</mn><mn>32</mn></mfrac></math> | <math><mfrac><mn>15</mn><mn>32</mn></mfrac></math>
✓ | ⠰⠽⠀⠐⠶⠀⠞⠁⠝⠐⠣⠞⠐⠜ | <math><mrow><mi>y</mi><mo>=</mo><mi>tan</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>y</mi><mo>=</mo><mi>tan</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></math>
✓ | ⠼⠃⠀⠈⠣⠀⠰⠑⠀⠈⠣⠀⠼⠉ | <math><mrow><mn>2</mn><mo>&lt;</mo><mi>e</mi><mo>&lt;</mo><mn>3</mn></mrow></math> | <math><mrow><mn>2</mn><mo>&lt;</mo><mi>e</mi><mo>&lt;</mo><mn>3</mn></mrow></math>
✓ | ⠽⠰⠔⠼⠁⠌⠉ | <math><msup><mi>y</mi><mfrac><mn>1</mn><mn>3</mn></mfrac></msup></math> | <math><msup><mi>y</mi><mfrac><mn>1</mn><mn>3</mn></mfrac></msup></math>
✓ | ⠁⠰⠔⠼⠃⠐⠤⠃⠔⠼⠃⠦ | <math xmlns="http://www.w3.org/1998/Math/MathML"><msup><mi>a</mi><mn>2</mn></msup><mo>−</mo><msup><mi>b</mi><mn>2</mn></msup><mtext>?</mtext></math> | <math><mrow><msup><mi>a</mi><mn>2</mn></msup><mo>−</mo><msup><mi>b</mi><mn>2</mn></msup><mtext>?</mtext></mrow></math>
✓ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠉⠭⠔⠼⠃⠐⠖⠼⠙⠭⠐⠖⠼⠙⠲ | <math><mrow><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>4</mn><mi>x</mi><mo>+</mo><mn>4</mn><mo>.</mo></mrow></math> | <math><mrow><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>4</mn><mi>x</mi><mo>+</mo><mn>4</mn><mo>.</mo></mrow></math>
✓ | ⠼⠑⠃⠚ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>520</mn></math> | <math><mn>520</mn></math>
✓ | ⠬⠰⠷⠼⠑⠚⠚⠚⠐⠖⠼⠑⠚⠭⠨⠌⠭⠾⠀⠐⠶⠀⠼⠛⠑ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mtext> </mtext><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mn>5000</mn><mo>+</mo><mn>50</mn><mi>x</mi></mrow><mi>x</mi></mfrac></mstyle><mo>=</mo><mn>75</mn></math> | <math><mrow><mspace width="1em"></mspace><mfrac><mrow><mn>5000</mn><mo>+</mo><mn>50</mn><mi>x</mi></mrow><mi>x</mi></mfrac><mo>=</mo><mn>75</mn></mrow></math>
✓ | ⠐⠤⠼⠛⠂ | <math><mrow><mo>−</mo><mn>7</mn><mtext>,</mtext></mrow></math> | <math><mrow><mo>−</mo><mn>7</mn><mtext>,</mtext></mrow></math>
✗ | ⠠⠏⠐⠣⠓⠕⠝⠕⠗⠀⠗⠕⠇⠇⠀⠸⠳⠀⠌⠥⠙⠽⠀⠁⠞⠀⠇⠂⠌⠀⠼⠁⠑⠀⠓⠳⠗⠎⠀⠺⠕⠗⠙⠀⠏⠻⠀⠺⠑⠑⠅⠐⠜⠀⠐⠶⠀⠼⠙⠓⠃⠌⠁⠚⠚⠚⠀⠐⠶⠀⠼⠚⠲⠙⠓⠃ | <math><mrow><mi>P</mi><mtext>(honor roll|study at least 15 hours word per week) = </mtext><mfrac><mn>482</mn><mn>1000</mn></mfrac><mo>=</mo><mn>0.482</mn></mrow></math> | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mtext>honor roll | studies at least 15 hours word per week</mtext><mo stretchy="false">)</mo><mo>=</mo><mfrac><mn>482</mn><mn>1000</mn></mfrac><mo>=</mo><mn>0.482</mn></mrow></math>
✓ | ⠼⠃⠑⠽⠔⠼⠃⠐⠤⠺⠔⠼⠃ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mn>25</mn><msup><mi>y</mi><mn>2</mn></msup><mo>−</mo><msup><mi>w</mi><mn>2</mn></msup></mstyle></math> | <math><mrow><mn>25</mn><msup><mi>y</mi><mn>2</mn></msup><mo>−</mo><msup><mi>w</mi><mn>2</mn></msup></mrow></math>
✓ | ⠰⠗⠀⠐⠶⠀⠼⠚⠲⠑⠂ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>r</mi><mo>=</mo><mn>0.5</mn><mtext>,</mtext></math> | <math><mrow><mi>r</mi><mo>=</mo><mn>0.5</mn><mtext>,</mtext></mrow></math>
✓ | ⠼⠃⠑ | <math><mn>25</mn></math> | <math><mn>25</mn></math>
✓ | ⠼⠙⠲⠙⠂ | <math><mrow><mn>4.4</mn><mtext>,</mtext></mrow></math> | <math><mrow><mn>4.4</mn><mtext>,</mtext></mrow></math>
✗ | ⠈⠎⠼⠁⠲⠊⠑⠦ | <math><mrow><mtext>$1.95</mtext><mo>?</mo></mrow></math> | <math><mrow><mi>$</mi><mn>1.95</mn><mtext>?</mtext></mrow></math>
✗ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠰⠷⠼⠁⠨⠌⠨⠎⠩⠼⠃⠨⠏⠬⠾⠑⠔⠷⠣⠐⠤⠐⠣⠭⠐⠤⠨⠍⠐⠜⠜⠔⠼⠃⠨⠌⠣⠼⠃⠨⠎⠜⠔⠼⠃⠾ | <math><mrow><mi>f</mi><mtext>(</mtext><mi>x</mi><mtext>)</mtext><mo>=</mo><mfrac><mn>1</mn><mrow><mi>σ</mi><msqrt><mn>2</mn><mi>π</mi></msqrt></mrow></mfrac><msup><mi>e</mi><mfrac><msup><mrow><mo>−</mo><mo>(</mo><mi>x</mi><mo>−</mo><mi>μ</mi><mo>)</mo></mrow><mn>2</mn></msup><msup><mrow><mn>2</mn><mi>σ</mi></mrow><mn>2</mn></msup></mfrac></msup></mrow></math> | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mn>1</mn><mrow><mi>σ</mi><msqrt><mrow><mn>2</mn><mi>π</mi></mrow></msqrt></mrow></mfrac><msup><mi>e</mi><mfrac><msup><mrow><mo>(</mo><mrow><mo>−</mo><mrow><mo>(</mo><mrow><mi>x</mi><mo>−</mo><mi>μ</mi></mrow><mo>)</mo></mrow></mrow><mo>)</mo></mrow><mn>2</mn></msup><msup><mrow><mo>(</mo><mrow><mn>2</mn><mi>σ</mi></mrow><mo>)</mo></mrow><mn>2</mn></msup></mfrac></msup></mrow></math>
✓ | ⠎⠔⠐⠣⠄⠸⠡⠭⠼⠚⠚⠚⠉⠰⠙⠼⠑⠄⠐⠜ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>ϕ</mi><mo stretchy="false">)</mo></mstyle></math> | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>ϕ</mi><mo stretchy="false">)</mo></mstyle></math>
✗ | ⠐⠤⠼⠓⠐⠲⠼⠁⠚⠔⠣⠏⠐⠖⠼⠛⠜⠐⠤⠼⠛⠀⠐⠶⠀⠐⠤⠼⠃⠙ | <math><mrow><mo>−</mo><mn>8</mn><mo>⋅</mo><msup><mn>10</mn><mrow><mi>p</mi><mo>+</mo><mn>7</mn></mrow></msup><mo>−</mo><mn>7</mn><mo>=</mo><mn>−24</mn></mrow></math> | <math><mrow><mo>−</mo><mn>8</mn><mrow><mo>(</mo><mrow><mi>p</mi><mo>+</mo><mn>7</mn></mrow><mo>)</mo></mrow><mo>−</mo><mn>7</mn><mo>=</mo><mn>−24</mn></mrow></math>
✓ | ⠋⠐⠣⠐⠤⠼⠃⠐⠜ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mi>f</mi><mo stretchy="false">(</mo><mo>−</mo><mn>2</mn><mo stretchy="false">)</mo></mstyle></math> | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mo>−</mo><mn>2</mn><mo stretchy="false">)</mo></mrow></math>
✓ | ⠭⠰⠱ | <math><mover accent="true"><mi>x</mi><mo>¯</mo></mover></math> | <math><mover accent="true"><mi>x</mi><mo>¯</mo></mover></math>
✓ | ⠐⠣⠼⠁⠲⠚⠛⠔⠼⠙⠐⠜⠔⠏ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mo stretchy="false">(</mo><msup><mn>1.07</mn><mn>4</mn></msup><msup><mo stretchy="false">)</mo><mi>p</mi></msup></mstyle></math> | <math><msup><mrow><mo>(</mo><msup><mn>1.07</mn><mn>4</mn></msup><mo>)</mo></mrow><mi>p</mi></msup></math>
✓ | ⠋⠐⠣⠼⠋⠚⠐⠜⠀⠐⠶⠀⠼⠚⠲⠚⠙ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mn>60</mn><mo stretchy="false">)</mo><mo>=</mo><mn>0.04</mn></mrow></math> | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mn>60</mn><mo stretchy="false">)</mo><mo>=</mo><mn>0.04</mn></mrow></math>
✓ | ⠼⠃⠲⠚ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>2.0</mn></math> | <math><mn>2.0</mn></math>
✓ | ⠛⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠃⠭⠔⠼⠃ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>2</mn><msup><mi>x</mi><mn>2</mn></msup></mstyle></math> | <math><mrow><mi>g</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><mn>2</mn><msup><mi>x</mi><mn>2</mn></msup></mrow></math>
✗ | ⠰⠰⠰⠎⠊⠝⠔⠣⠐⠤⠼⠁⠜⠐⠣⠎⠊⠝⠐⠣⠭⠐⠜⠐⠜⠬⠍⠁⠽⠀⠝⠕⠞⠀⠃⠑⠀⠑⠟⠥⠁⠇⠀⠞⠕⠀⠭⠰⠄ | <math xmlns="http://www.w3.org/1998/Math/MathML"><msup><mi>sin</mi><mrow data-mjx-texclass="ORD"><mo>−</mo><mn>1</mn></mrow></msup><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">)</mo><mtext> </mtext><mtext> </mtext><mtext>may not be equal to</mtext><mtext> </mtext><mi>x</mi></math> | <math><msup><mi>sin</mi><mrow><mo>−</mo><mn>1</mn></mrow></msup><mo>&#x2061;</mo><mrow><mo>(</mo><mi>sin</mi><mo>&#x2061;</mo><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>)</mo></mrow><mtext>&#xA0;may&#xA0;not&#xA0;be&#xA0;equal&#xA0;to&#xA0;</mtext><mi>x</mi></math>
✓ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠭⠰⠔⠼⠃⠐⠖⠼⠑⠭⠐⠖⠼⠋ | <math><mrow><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>5</mn><mi>x</mi><mo>+</mo><mn>6</mn></mrow></math> | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>5</mn><mi>x</mi><mo>+</mo><mn>6</mn></mrow></math>
✓ | ⠰⠩⠐⠣⠼⠑⠃⠲⠉⠐⠜⠬ | <math><msqrt><mo>(</mo><mn>52.3</mn><mo>)</mo></msqrt></math> | <math><msqrt><mrow><mo>(</mo><mn>52.3</mn><mo>)</mo></mrow></msqrt></math>
✓ | ⠰⠰⠰⠭⠀⠐⠶⠀⠭⠢⠼⠁⠂⠀⠭⠢⠼⠃⠂⠀⠲⠲⠲⠂⠀⠭⠢⠝⠂⠀⠰⠄ | <math><mrow><mi>x</mi><mo>=</mo><msub><mi>x</mi><mn>1</mn></msub><mo>,</mo><msub><mi>x</mi><mn>2</mn></msub><mo>,</mo><mo>…</mo><mo>,</mo><msub><mi>x</mi><mi>n</mi></msub><mo>,</mo></mrow></math> | <math><mrow><mi>x</mi><mo>=</mo><msub><mi>x</mi><mn>1</mn></msub><mo>,</mo><msub><mi>x</mi><mn>2</mn></msub><mo>,</mo><mo>…</mo><mo>,</mo><msub><mi>x</mi><mi>n</mi></msub><mo>,</mo></mrow></math>
✗ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠭⠰⠔⠼⠁⠸⠌⠼⠃ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><msup><mi>x</mi><mn>1/2</mn></msup></mrow></math> | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><msup><mi>x</mi><mrow><mn>1</mn><mo>/</mo><mn>2</mn></mrow></msup></mrow></math>
✓ | ⠰⠽⠀⠐⠶⠀⠼⠚⠲⠙⠭⠔⠼⠃⠐⠤⠼⠃⠲⠉⠀⠂ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mi>y</mi><mo>=</mo><mn>0.4</mn><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>2.3</mn><mtext> </mtext><mtext>,</mtext></math> | <math><mrow><mi>y</mi><mo>=</mo><mn>0.4</mn><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>2.3</mn><mtext>,</mtext></mrow></math>
✓ | ⠼⠙⠉⠃ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>432</mn></math> | <math><mn>432</mn></math>
✓ | ⠠⠽⠍⠔⠀⠐⠶⠀⠐⠤⠼⠃⠚⠂ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext>Ymin</mtext><mo>=</mo><mo>−</mo><mn>20</mn><mtext>,</mtext></math> | <math><mrow><mtext>Ymin</mtext><mo>=</mo><mo>−</mo><mn>20</mn><mtext>,</mtext></mrow></math>
✓ | ⠰⠰⠰⠇⠕⠛⠢⠃⠐⠣⠠⠎⠐⠜⠀⠐⠶⠀⠉⠀⠊⠋⠀⠁⠝⠙⠀⠕⠝⠇⠽⠀⠊⠋⠀⠃⠔⠉⠀⠐⠶⠀⠠⠎⠰⠄ | <math><mrow><msub><mi>log</mi><mi>b</mi></msub><mo stretchy="false">(</mo><mi>S</mi><mo stretchy="false">)</mo><mo>=</mo><mi>c</mi><mspace width="0.5em"></mspace><mspace width="0.5em"></mspace><mtext>if and only if</mtext><mspace width="0.5em"></mspace><mspace width="0.5em"></mspace><msup><mi>b</mi><mi>c</mi></msup><mo>=</mo><mi>S</mi></mrow></math> | <math><mrow><msub><mi>log</mi><mi>b</mi></msub><mrow><mo>(</mo><mi>S</mi><mo>)</mo></mrow><mo>=</mo><mi>c</mi><mspace width="0.5em"></mspace><mtext>if and only if</mtext><mspace width="0.5em"></mspace><msup><mi>b</mi><mi>c</mi></msup><mo>=</mo><mi>S</mi></mrow></math>
✓ | ⠰⠳⠕ | <math><mo stretchy="false">→</mo></math> | <math><mo>&#x2192;</mo></math>
✓ | ⠼⠁⠋⠰⠁⠔⠼⠃⠐⠤⠼⠙⠚⠰⠁⠃⠐⠖⠼⠃⠑⠰⠃⠔⠼⠃ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mn>16</mn><msup><mi>a</mi><mn>2</mn></msup><mo>−</mo><mn>40</mn><mi>a</mi><mi>b</mi><mo>+</mo><mn>25</mn><msup><mi>b</mi><mn>2</mn></msup></mstyle></math> | <math><mstyle displaystyle="true" scriptlevel="0"><mn>16</mn><msup><mi>a</mi><mn>2</mn></msup><mo>−</mo><mn>40</mn><mi>a</mi><mi>b</mi><mo>+</mo><mn>25</mn><msup><mi>b</mi><mn>2</mn></msup></mstyle></math>
✓ | ⠰⠓ | <math><mi>h</mi></math> | <math><mi>h</mi></math>
✗ | ⠓⠐⠣⠧⠐⠜⠀⠐⠶⠀⠧⠐⠲⠋⠐⠣⠧⠐⠜⠲ | <math><mrow><mi>h</mi><mo stretchy="false">(</mo><mi>v</mi><mo stretchy="false">)</mo><mo>=</mo><mi>v</mi><mo>⋅</mo><mi>f</mi><mo stretchy="false">(</mo><mi>v</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mrow><mi>h</mi><mo stretchy="false">(</mo><mi>v</mi><mo stretchy="false">)</mo><mo>=</mo><mi>v</mi><mo>·</mo><mi>f</mi><mo stretchy="false">(</mo><mi>v</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math>
✓ | ⠐⠣⠰⠓⠂⠀⠰⠅⠐⠜ | <math><mrow><mo stretchy="false">(</mo><mi>h</mi><mo>,</mo><mi>k</mi><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mo>(</mo><mi>h</mi><mo>,</mo><mi>k</mi><mo>)</mo></mrow></math>
✓ | ⠰⠩⠼⠉⠐⠣⠼⠙⠐⠜⠬⠀⠘⠔⠀⠼⠉⠲⠙⠋ | <math><mrow><msqrt><mn>3</mn><mo stretchy="false">(</mo><mn>4</mn><mo stretchy="false">)</mo></msqrt><mo>≈</mo><mn>3.46</mn></mrow></math> | <math><mrow><msqrt><mn>3</mn><mo stretchy="false">(</mo><mn>4</mn><mo stretchy="false">)</mo></msqrt><mo>≈</mo><mn>3.46</mn></mrow></math>
✓ | ⠁⠰⠢⠝ | <math><msub><mi>a</mi><mi>n</mi></msub></math> | <math><msub><mi>a</mi><mi>n</mi></msub></math>
✓ | ⠬⠼⠉⠌⠙⠀⠐⠶⠀⠼⠓⠐⠤⠷⠼⠃⠭⠐⠖⠼⠁⠁⠨⠌⠭⠐⠤⠼⠑⠾ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mtext> </mtext><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>3</mn><mn>4</mn></mfrac></mstyle><mo>=</mo><mn>8</mn><mo>−</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mn>2</mn><mi>x</mi><mo>+</mo><mn>11</mn></mrow><mrow><mi>x</mi><mo>−</mo><mn>5</mn></mrow></mfrac></mstyle></math> | <math><mrow><mtext>&#xA0;</mtext><mfrac><mn>3</mn><mn>4</mn></mfrac><mo>=</mo><mn>8</mn><mo>−</mo><mfrac><mrow><mn>2</mn><mi>x</mi><mo>+</mo><mn>11</mn></mrow><mrow><mi>x</mi><mo>−</mo><mn>5</mn></mrow></mfrac></mrow></math>
✓ | ⠼⠙⠲⠉ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>4.3</mn></math> | <math><mn>4.3</mn></math>
✓ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠞⠁⠝⠐⠣⠭⠐⠜⠨⠣⠉⠕⠎⠐⠣⠭⠐⠜⠐⠤⠉⠕⠞⠐⠣⠭⠐⠜⠨⠜ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mi>tan</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">[</mo><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>−</mo><mi>cot</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">]</mo></math> | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mi>tan</mi><mo>&#x2061;</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mrow><mo>[</mo><mi>cos</mi><mo>&#x2061;</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>−</mo><mi>cot</mi><mo>&#x2061;</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>]</mo></mrow></mrow></math>
✓ | ⠭⠰⠔⠼⠃ | <math><msup><mi>x</mi><mn>2</mn></msup></math> | <math><msup><mi>x</mi><mn>2</mn></msup></math>
✓ | ⠐⠣⠐⠤⠼⠑⠰⠉⠐⠤⠼⠋⠐⠜⠐⠖⠐⠣⠐⠤⠼⠁⠁⠰⠉⠐⠖⠼⠁⠑⠐⠜ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mo stretchy="false">(</mo><mo>−</mo><mn>5</mn><mi>c</mi><mo>−</mo><mn>6</mn><mo stretchy="false">)</mo><mo>+</mo><mo stretchy="false">(</mo><mo>−</mo><mn>11</mn><mi>c</mi><mo>+</mo><mn>15</mn><mo stretchy="false">)</mo></math> | <math><mrow><mrow><mo>(</mo><mrow><mo>−</mo><mn>5</mn><mi>c</mi><mo>−</mo><mn>6</mn></mrow><mo>)</mo></mrow><mo>+</mo><mrow><mo>(</mo><mrow><mo>−</mo><mn>11</mn><mi>c</mi><mo>+</mo><mn>15</mn></mrow><mo>)</mo></mrow></mrow></math>
✓ | ⠰⠰⠉⠕⠎⠔⠼⠃⠐⠣⠨⠁⠐⠜⠐⠤⠎⠊⠝⠔⠼⠃⠐⠣⠨⠁⠐⠜⠀⠐⠶⠀⠐⠤⠼⠁ | <math xmlns="http://www.w3.org/1998/Math/MathML"><msup><mi>cos</mi><mn>2</mn></msup><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>α</mi><mo stretchy="false">)</mo><mo>−</mo><msup><mi>sin</mi><mn>2</mn></msup><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>α</mi><mo stretchy="false">)</mo><mo>=</mo><mo>−</mo><mn>1</mn></math> | <math><mrow><msup><mi>cos</mi><mn>2</mn></msup><mo>&#x2061;</mo><mo stretchy="false">(</mo><mi>α</mi><mo stretchy="false">)</mo><mo>−</mo><msup><mi>sin</mi><mn>2</mn></msup><mo>&#x2061;</mo><mo stretchy="false">(</mo><mi>α</mi><mo stretchy="false">)</mo><mo>=</mo><mo>−</mo><mn>1</mn></mrow></math>
